"time","light_switch","light_intensity","headlight"
1.68,2,99.6101,1
1.7,2,99.6038,1
1.72,2,99.5975,1
1.74,2,99.5912,1
1.76,2,99.5849,1
1.78,2,99.5786,1
1.8,2,99.5723,1
1.82,2,99.566,1
1.84,2,99.5597,1
1.86,2,99.5535,1
1.88,2,99.5472,1
1.9,2,99.5409,1
1.92,2,99.5346,1
1.94,2,99.5283,1
1.96,2,99.522,1
1.98,2,99.5157,1
2,2,99.5094,1
2.02,2,99.5031,1
2.04,2,99.4969,1
2.06,2,99.4906,1
2.08,2,99.4843,1
2.1,2,99.478,1
2.12,2,99.4717,1
2.14,2,99.4654,1
2.16,2,99.4591,1
2.18,2,99.4528,1
2.2,2,99.4465,1
2.22,2,99.4403,1
2.24,2,99.434,1
2.26,2,99.4277,1
2.28,2,99.4214,1
2.3,2,99.4151,1
2.32,2,99.4088,1
2.34,2,99.4025,1
2.36,2,99.3962,1
2.38,2,99.3899,1
2.4,2,99.3836,1
2.42,2,99.3774,1
2.44,2,99.3711,1
2.46,2,99.3648,1
2.48,2,99.3585,1
2.5,2,99.3522,1
2.52,2,99.3459,1
2.54,2,99.3396,1
2.56,2,99.3333,1
2.58,2,99.327,1
2.6,2,99.3208,1
2.62,2,99.3145,1
2.64,2,99.3082,1
2.66,2,99.3019,1
2.68,2,99.2956,1
2.7,2,99.2893,1
2.72,2,99.283,1
2.74,2,99.2767,1
2.76,2,99.2704,1
2.78,2,99.2642,1
2.8,2,99.2579,1
2.82,2,99.2516,1
2.84,2,99.2453,1
2.86,2,99.239,1
2.88,2,99.2327,1
2.9,2,99.2264,1
2.92,2,99.2201,1
2.94,2,99.2138,1
2.96,2,99.2075,1
2.98,2,99.2013,1
3,2,99.195,1
3.02,2,99.1887,1
3.04,2,99.1824,1
3.06,2,99.1761,1
3.08,2,99.1698,1
3.1,2,99.1635,1
3.12,2,99.1572,1
3.14,2,99.1509,1
3.16,2,99.1447,1
3.18,2,99.1384,1
3.2,2,99.1321,1
3.22,2,99.1258,1
3.24,2,99.1195,1
3.26,2,99.1132,1
3.28,2,99.1069,1
3.3,2,99.1006,1
3.32,2,99.0943,1
3.34,2,99.0881,1
3.36,2,99.0818,1
3.38,2,99.0755,1
3.4,2,99.0692,1
3.42,2,99.0629,0
3.44,2,99.0566,0
3.46,2,99.0503,0
3.48,2,99.044,0
3.5,2,99.0377,0
3.52,2,99.0314,0
3.54,2,99.0252,0
3.56,2,99.0189,0
3.58,2,99.0126,0
3.6,2,99.0063,0
3.62,2,99,0
3.64,2,83,0
3.66,2,52,0
3.68,2,34,0
3.7,2,28,0
3.72,2,27.0214,0
3.74,2,27.0643,0
3.76,2,27.1071,0
3.78,2,27.15,0
3.8,2,27.1929,0
3.82,2,27.2357,0
3.84,2,27.2786,0
3.86,2,27.3214,0
3.88,2,27.3643,0
3.9,2,27.4071,0
3.92,2,27.45,0
3.94,2,27.4929,0
3.96,2,27.5357,0
3.98,2,27.5786,0
4,2,27.6214,0
4.02,2,27.6643,0
4.04,2,27.7071,0
4.06,2,27.75,0
4.08,2,27.7929,0
4.1,2,27.8357,0
4.12,2,27.8786,0
4.14,2,27.9214,0
4.16,2,27.9643,0
4.18,2,28.0071,0
4.2,2,28.05,0
4.22,2,28.0929,0
4.24,2,28.1357,0
4.26,2,28.1786,0
4.28,2,28.2214,0
4.3,2,28.2643,0
4.32,2,28.3071,0
4.34,2,28.35,0
4.36,2,28.3929,0
4.38,2,28.4357,0
4.4,2,28.4786,0
4.42,2,28.5214,0
4.44,2,28.5643,0
4.46,2,28.6071,0
4.48,2,28.65,0
4.5,2,28.6929,0
4.52,2,28.7357,0
4.54,2,28.7786,0
4.56,2,28.8214,0
4.58,2,28.8643,0
4.6,2,28.9071,0
4.62,2,28.95,0
4.64,2,28.9929,0
4.66,2,29.0357,0
4.68,2,29.0786,0
4.7,2,29.1214,0
4.72,2,29.1643,0
4.74,2,29.2071,0
4.76,2,29.25,0
4.78,2,29.2929,0
4.8,2,29.3357,0
4.82,2,29.3786,0
4.84,2,29.4214,0
4.86,2,29.4643,0
4.88,2,29.5071,0
4.9,2,29.55,0
4.92,2,29.5929,0
4.94,2,29.6357,0
4.96,2,29.6786,0
4.98,2,29.7214,0
5,2,29.7643,0
5.02,2,29.8071,0
5.04,2,29.85,0
5.06,2,29.8929,0
5.08,2,29.9357,0
5.1,2,29.9786,0
5.12,2,30.0214,0
5.14,2,30.0643,0
5.16,2,30.1071,0
5.18,2,30.15,0
5.2,2,30.1929,0
5.22,2,30.2357,0
5.24,2,30.2786,0
5.26,2,30.3214,0
5.28,2,30.3643,0
5.3,2,30.4071,0
5.32,2,30.45,0
5.34,2,30.4929,0
5.36,2,30.5357,0
5.38,2,30.5786,0
5.4,2,30.6214,0
5.42,2,30.6643,0
5.44,2,30.7071,0
5.46,2,30.75,0
5.48,2,30.7929,0
5.5,2,30.8357,0
5.52,2,30.8786,0
5.54,2,30.9214,0
5.56,2,30.9643,0
5.58,2,31.0071,0
5.6,2,31.05,0
5.62,2,31.0929,0
5.64,2,31.1357,0
5.66,2,31.1786,1
5.68,2,31.2214,1
5.7,2,31.2643,1
5.72,2,31.3071,1
5.74,2,31.35,1
5.76,2,31.3929,1
5.78,2,31.4357,1
5.8,2,31.4786,1
5.82,2,31.5214,1
5.84,2,31.5643,1
5.86,2,31.6071,1
5.88,2,31.65,1
5.9,2,31.6929,1
5.92,2,31.7357,1
5.94,2,31.7786,1
5.96,2,31.8214,1
5.98,2,31.8643,1
6,2,31.9071,1
6.02,2,31.95,1
6.04,2,31.9929,1
6.06,2,32.0357,1
6.08,2,32.0786,1
6.1,2,32.1214,1
6.12,2,32.1643,1
6.14,2,32.2071,1
6.16,2,32.25,1
6.18,2,32.2929,1
6.2,2,32.3357,1
6.22,2,32.3786,1
6.24,2,32.4214,1
6.26,2,32.4643,1
6.28,2,32.5071,1
6.3,2,32.55,1
6.32,2,32.5929,1
6.34,2,32.6357,1
6.36,2,32.6786,1
6.38,2,32.7214,1
6.4,2,32.7643,1
6.42,2,32.8071,1
6.44,2,32.85,1
6.46,2,32.8929,1
6.48,2,32.9357,1
6.5,2,32.9786,1
6.52,2,48,1
6.54,2,72,1
6.56,2,100,1
6.58,2,100,1
6.6,2,100,1
6.62,2,100,1
6.64,2,100,1
6.66,2,100,1
6.68,2,100,1
6.7,2,100,1
6.72,2,100,1
6.74,2,100,1
6.76,2,100,1
6.78,2,100,1
6.8,2,100,1
6.82,2,100,1
6.84,2,100,1
6.86,2,100,1
6.88,2,100,1
6.9,2,100,1
6.92,2,100,1
6.94,2,100,1
6.96,2,100,1
6.98,2,100,1
7,2,100,1
7.01,2,100,1
