"time","heatCapacitor_T","switch_Controll"
4.2,307.526,0
4.21,307.607,0
4.22,307.687,0
4.23,307.767,0
4.24,307.847,0
4.25,307.926,0
4.26,308.006,0
4.27,308.086,0
4.28,308.165,0
4.29,308.245,0
4.3,308.324,0
4.31,308.403,0
4.32,308.482,0
4.33,308.561,0
4.34,308.64,0
4.35,308.719,0
4.36,308.798,0
4.37,308.876,0
4.38,308.955,0
4.39,309.033,0
4.4,309.111,0
4.41,309.189,0
4.42,309.179,1
4.43,309.163,1
4.44,309.147,1
4.45,309.132,1
4.46,309.116,1
4.47,309.1,1
4.48,309.084,1
4.49,309.068,1
4.5,309.052,1
4.51,309.036,1
4.52,309.02,1
4.53,309.005,1
4.54,308.989,1
4.55,308.973,1
4.56,308.957,1
4.57,308.941,1
4.58,308.926,1
4.59,308.91,1
4.6,308.894,1
4.61,308.878,1
4.62,308.863,1
4.63,308.847,1
4.64,308.831,1
4.65,308.816,1
4.66,308.8,1
4.67,308.785,1
4.68,308.769,1
4.69,308.753,1
4.7,308.738,1
4.71,308.722,1
4.72,308.707,1
4.73,308.691,1
4.74,308.676,1
4.75,308.66,1
4.76,308.653,0
4.77,308.732,0
4.78,308.811,0
4.79,308.889,0
4.8,308.967,0
4.81,309.046,0
4.82,309.124,0
4.83,309.202,0
4.84,309.28,0
4.85,309.357,0
4.86,309.435,0
4.87,309.513,0
4.88,309.59,0
4.89,309.668,0
4.9,309.745,0
4.91,309.822,0
4.92,309.899,0
4.93,309.976,0
4.94,310.053,0
4.95,310.13,0
4.96,310.207,0
4.97,310.283,0
4.98,310.36,0
4.99,310.436,0
5,310.512,0
5.01,310.589,0
5.02,310.665,0
5.03,310.741,0
5.04,310.817,0
5.05,310.892,0
5.06,310.968,0
5.07,311.044,0
5.08,311.119,0
5.09,311.195,0
5.1,311.27,0
5.11,311.345,0
5.12,311.42,0
5.13,311.495,0
5.14,311.57,0
5.15,311.645,0
5.16,311.72,0
5.17,311.794,0
5.18,311.869,0
5.19,311.943,0
5.2,312.018,0
5.21,312.092,0
5.22,312.166,0
5.23,312.24,0
5.24,312.314,0
5.25,312.388,0
5.26,312.462,0
5.27,312.535,0
5.28,312.609,0
5.29,312.682,0
5.3,312.756,0
5.31,312.829,0
5.32,312.902,0
5.33,312.975,0
5.34,313.048,0
5.35,313.083,1
5.36,313.064,1
5.37,313.044,1
5.38,313.024,1
5.39,313.004,1
5.4,312.984,1
5.41,312.964,1
5.42,312.945,1
5.43,312.925,1
5.44,312.905,1
5.45,312.885,1
5.46,312.866,1
5.47,312.846,1
5.48,312.826,1
5.49,312.807,1
5.5,312.787,1
5.51,312.768,1
5.52,312.748,1
5.53,312.729,1
5.54,312.709,1
5.55,312.689,1
5.56,312.67,1
5.57,312.65,1
5.58,312.631,1
5.59,312.612,1
5.6,312.592,1
5.61,312.573,1
5.62,312.553,1
5.63,312.534,1
5.64,312.515,1
5.65,312.495,1
5.66,312.476,1
5.67,312.457,1
5.68,312.507,0
5.69,312.581,0
5.7,312.654,0
5.71,312.727,0
5.72,312.8,0
5.73,312.872,0
5.74,312.945,0
5.75,313.018,0
5.76,313.091,0
5.77,313.163,0
5.78,313.236,0
5.79,313.308,0
5.8,313.381,0
5.81,313.453,0
5.82,313.525,0
5.83,313.597,0
5.84,313.669,0
5.85,313.741,0
5.86,313.813,0
5.87,313.884,0
5.88,313.956,0
5.89,314.028,0
5.9,314.099,0
5.91,314.17,0
5.92,314.242,0
5.93,314.313,0
5.94,314.384,0
5.95,314.455,0
5.96,314.526,0
5.97,314.597,0
5.98,314.667,0
5.99,314.738,0
6,314.809,0
6.01,314.879,0
6.02,314.949,0
6.03,315.02,0
6.04,315.09,0
6.05,315.16,0
6.06,315.23,0
6.07,315.3,0
6.08,315.369,0
6.09,315.439,0
6.1,315.509,0
6.11,315.578,0
6.12,315.648,0
6.13,315.717,0
6.14,315.786,0
6.15,315.855,0
6.16,315.924,0
6.17,315.993,0
6.18,316.062,0
6.19,316.131,0
6.2,316.2,0
6.21,316.268,0
6.22,316.337,0
6.23,316.405,0
6.24,316.474,0
6.25,316.542,0
6.26,316.61,0
6.27,316.678,0
6.28,316.746,0
6.29,316.814,0
6.3,316.882,0
6.31,316.95,0
6.32,317.018,0
6.33,317.085,0
6.34,317.153,0
6.35,317.22,0
6.36,317.287,0
6.37,317.355,0
6.38,317.344,1
6.39,317.319,1
6.4,317.295,1
6.41,317.271,1
6.42,317.247,1
6.43,317.223,1
6.44,317.199,1
6.45,317.175,1
6.46,317.151,1
6.47,317.128,1
6.48,317.104,1
6.49,317.08,1
6.5,317.056,1
6.51,317.032,1
6.52,317.008,1
6.53,316.984,1
6.54,316.96,1
6.55,316.937,1
6.56,316.913,1
6.57,316.889,1
6.58,316.866,1
6.59,316.842,1
6.6,316.818,1
6.61,316.795,1
6.62,316.771,1
6.63,316.748,1
6.64,316.724,1
6.65,316.701,1
6.66,316.677,1
6.67,316.654,1
6.68,316.658,0
6.69,316.726,0
6.7,316.794,0
6.71,316.861,0
6.72,316.929,0
6.73,316.996,0
6.74,317.064,0
6.75,317.131,0
6.76,317.199,0
6.77,317.266,0
6.78,317.333,0
6.79,317.4,0
6.8,317.467,0
6.81,317.534,0
6.82,317.601,0
6.83,317.667,0
6.84,317.734,0
6.85,317.8,0
6.86,317.867,0
6.87,317.933,0
6.88,318,0
6.89,318.066,0
6.9,318.132,0
6.91,318.198,0
6.92,318.264,0
6.93,318.33,0
6.94,318.395,0
6.95,318.461,0
6.96,318.527,0
6.97,318.592,0
6.98,318.657,0
6.99,318.723,0
7,318.788,0
7.01,318.853,0
7.02,318.918,0
7.03,318.983,0
7.04,319.048,0
7.05,319.113,0
7.06,319.178,0
7.07,319.242,0
7.08,319.307,0
7.09,319.371,0
7.1,319.436,0
7.11,319.5,0
7.12,319.564,0
7.13,319.629,0
7.14,319.693,0
7.15,319.757,0
7.16,319.821,0
7.17,319.884,0
7.18,319.948,0
7.19,320.012,0
7.2,320.076,0
7.21,320.139,0
7.22,320.202,0
7.23,320.266,0
7.24,320.329,0
7.25,320.392,0
7.26,320.455,0
7.27,320.518,0
7.28,320.581,0
7.29,320.644,0
7.3,320.707,0
7.31,320.77,0
7.32,320.832,0
7.33,320.895,0
7.34,320.957,0
7.35,321.02,0
7.36,321.082,0
7.37,321.144,0
7.38,321.206,0
7.39,321.268,0
7.4,321.33,0
7.41,321.392,0
