"time","dateOut1","dateOut2"
15.0501,4,3
15.1001,4,3
15.1501,4,3
15.2001,4,3
15.2501,4,3
15.3001,4,3
15.3501,4,3
15.4001,4,3
15.4501,4,3
15.5001,4,3
15.5501,4,3
15.6001,4,3
15.6501,4,3
15.7001,4,3
15.7501,4,3
15.8001,4,3
15.8501,4,3
15.9001,4,3
15.9501,4,3
16.0001,4,3
16.0501,4,2
16.1001,4,2
16.1501,4,2
16.2001,4,2
16.2501,4,2
16.3001,4,2
16.3501,4,2
16.4001,4,2
16.4501,4,2
16.5001,4,2
16.5501,4,2
16.6001,4,2
16.6501,4,2
16.7001,4,2
16.7501,4,2
16.8001,4,2
16.8501,4,2
16.9001,4,2
16.9501,4,2
17.0001,4,2
17.0501,4,2
17.1001,4,2
17.1501,4,2
17.2001,4,2
17.2501,4,2
17.3001,4,2
17.3501,4,2
17.4001,4,2
17.4501,4,2
17.5001,4,2
17.5501,4,2
17.6001,4,2
17.6501,4,2
17.7001,4,2
17.7501,4,2
17.8001,4,2
17.8501,4,2
17.9001,4,2
17.9501,4,2
18.0001,4,2
18.0501,4,2
18.1001,4,2
18.1501,4,2
18.2001,4,2
18.2501,4,2
18.3001,4,2
18.3501,4,2
18.4001,4,2
18.4501,4,2
18.5001,4,2
18.5501,4,2
18.6001,4,2
18.6501,4,2
18.7001,4,2
18.7501,4,2
18.8001,4,2
18.8501,4,2
18.9001,4,2
18.9501,4,2
19.0001,4,2
19.0501,4,2
19.1001,4,2
19.1501,4,2
19.2001,4,2
19.2501,4,2
19.3001,4,2
19.3501,4,2
19.4001,4,2
19.4501,4,2
19.5001,4,2
19.5501,4,2
19.6001,4,2
19.6501,4,2
19.7001,4,2
19.7501,4,2
19.8001,4,2
19.8501,4,2
19.9001,4,2
19.9501,4,2
20.0001,4,2
20.0501,3,2
20.1001,3,2
20.1501,3,2
20.2001,3,2
20.2501,3,2
20.3001,3,2
20.3501,3,2
20.4001,3,2
20.4501,3,2
20.5001,3,2
20.5501,3,2
20.6001,3,2
20.6501,3,2
20.7001,3,2
20.7501,3,2
20.8001,3,2
20.8501,3,2
20.9001,3,2
20.9501,3,2
21.0001,3,2
21.0501,3,2
21.1001,3,2
21.1501,3,2
21.2001,3,2
21.2501,3,2
21.3001,3,2
21.3501,3,2
21.4001,3,2
21.4501,3,2
21.5001,3,2
21.5501,3,2
21.6001,3,2
21.6501,3,2
21.7001,3,2
21.7501,3,2
21.8001,3,2
21.8501,3,2
21.9001,3,2
21.9501,3,2
22.0001,3,2
22.0501,3,2
22.1001,3,2
22.1501,3,2
22.2001,3,2
22.2501,3,2
22.3001,3,2
22.3501,3,2
22.4001,3,2
22.4501,3,2
22.5001,3,2
22.5501,3,2
22.6001,3,2
22.6501,3,2
22.7001,3,2
22.7501,3,2
22.8001,3,2
22.8501,3,2
22.9001,3,2
22.9501,3,2
23.0001,3,2
23.0501,3,2
23.1001,3,2
23.1501,3,2
23.2001,3,2
23.2501,3,2
23.3001,3,2
23.3501,3,2
23.4001,3,2
23.4501,3,2
23.5001,3,2
23.5501,3,2
23.6001,3,2
23.6501,3,2
23.7001,3,2
23.7501,3,2
23.8001,3,2
23.8501,3,2
23.9001,3,2
23.9501,3,2
24.0001,3,2
24.0501,3,2
24.1001,3,2
24.1501,3,2
24.2001,3,2
24.2501,3,2
24.3001,3,2
24.3501,3,2
24.4001,3,2
24.4501,3,2
24.5001,3,2
24.5501,3,2
24.6001,3,2
24.6501,3,2
24.7001,3,2
24.7501,3,2
24.8001,3,2
24.8501,3,2
24.9001,3,2
24.9501,3,2
25,3,2
