Time,onOffController_reference,temperatureSensor_T,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
1.58,0,20,0,1,1,2
1.6,0,20,0,1,1,2
1.62,0,20,0,1,1,2
1.64,0,20,0,1,1,2
1.66,0,20,0,1,1,2
1.68,0,20,0,1,1,2
1.7,0,20,0,1,1,2
1.72,0,20,0,1,1,2
1.74,0,20,0,1,1,2
1.76,0,20,0,1,1,2
1.78,0,20,0,1,1,2
1.8,0,20,0,1,1,2
1.82,0,20,0,1,1,2
1.84,0,20,0,1,1,2
1.86,0,20,0,1,1,2
1.88,0,20,0,1,1,2
1.9,0,20,0,1,1,2
1.92,0,20,0,1,1,2
1.94,0,20,0,1,1,2
1.96,0,20,0,1,1,2
1.98,0,20,0,1,1,2
2,0,20,0,1,1,2
2.02,0,20,0,1,1,2
2.04,0,20,0,1,1,2
2.06,0,20,0,1,1,2
2.08,0,20,0,1,1,2
2.1,0,20,0,1,1,2
2.12,0,20,0,1,1,2
2.14,0,20,0,1,1,2
2.16,0,20,0,1,1,2
2.18,0,20,0,1,1,2
2.2,0,20,0,1,1,2
2.22,0,20,0,1,1,2
2.24,0,20,0,1,1,2
2.26,0,20,0,1,1,2
2.28,0,20,0,1,1,2
2.3,0,20,0,1,1,2
2.32,0,20,0,1,1,2
2.34,0,20,0,1,1,2
2.36,0,20,0,1,1,2
2.38,0,20,0,1,1,2
2.4,0,20,0,1,1,2
2.42,0,20,0,1,1,2
2.44,0,20,0,1,1,2
2.46,0,20,0,1,1,2
2.48,0,20,0,1,1,2
2.5,0,20,0,1,1,2
2.52,0,20,0,1,1,2
2.54,0,20,0,1,1,2
2.56,0,20,0,1,1,2
2.58,0,20,0,1,1,2
2.6,0,20,0,1,1,2
2.62,0,20,0,1,1,2
2.64,0,20,0,1,1,2
2.66,0,20,0,1,1,2
2.68,0,20,0,1,1,2
2.7,0,20,0,1,1,2
2.72,0,20,0,1,1,2
2.74,0,20,0,1,1,2
2.76,0,20,0,1,1,2
2.78,0,20,0,1,1,2
2.8,0,20,0,1,1,2
2.82,0,20,0,1,1,2
2.84,0,20,0,1,1,2
2.86,0,20,0,1,1,2
2.88,0,20,0,1,1,2
2.9,0,20,0,1,1,2
2.92,0,20,0,1,1,2
2.94,0,20,0,1,1,2
2.96,0,20,0,1,1,2
2.98,0,20,0,1,1,2
3,0,20,0,1,1,2
3.02,0,20,0,1,1,2
3.04,0,20,0,1,1,2
3.06,0,20,0,1,1,2
3.08,0,20,0,1,1,2
3.1,0,20,0,1,1,2
3.12,0,20,0,1,1,2
3.14,0,20,0,1,1,2
3.16,0,20,0,1,1,2
3.18,0,20,0,1,1,2
3.2,0,20,0,1,1,2
3.22,0,20,0,1,1,2
3.24,0,20,0,1,1,2
3.26,0,20,0,1,1,2
3.28,0,20,0,1,1,2
3.3,0,20,0,1,1,2
3.32,0,20,0,1,1,2
3.34,0,20,0,1,1,2
3.36,0,20,0,1,1,2
3.38,0,20,0,1,1,2
3.4,0,20,0,1,1,2
3.42,0,20,0,1,1,2
3.44,0,20,0,1,1,2
3.46,0,20,0,1,1,2
3.48,0,20,0,1,1,2
3.5,0,20,0,1,1,2
3.52,0,20,0,1,1,2
3.54,0,20,0,1,1,2
3.56,0,20,0,1,1,2
3.58,0,20,0,1,1,2
3.6,0,20,0,1,1,2
3.62,0,20,0,1,1,2
3.64,0,20,0,1,1,2
3.66,0,20,0,1,1,2
3.68,0,20,0,1,1,2
3.7,0,20,0,1,1,2
3.72,0,20,0,1,1,2
3.74,0,20,0,1,1,2
3.76,0,20,0,1,1,2
3.78,0,20,0,1,1,2
3.8,0,20,0,1,1,2
3.82,0,20,0,1,1,2
3.84,0,20,0,1,1,2
3.86,0,20,0,1,1,2
3.88,0,20,0,1,1,2
3.9,0,20,0,1,1,2
3.92,0,20,0,1,1,2
3.94,0,20,0,1,1,2
3.96,0,20,0,1,1,2
3.98,0,20,0,1,1,2
4,0,20,0,1,1,2
4.02,0,20,0,1,1,2
4.04,0,20,0,1,1,2
4.06,0,20,0,1,1,2
4.08,0,20,0,1,1,2
4.1,0,20,0,1,1,2
4.12,0,20,0,1,1,2
4.14,0,20,0,1,1,2
4.16,0,20,0,1,1,2
4.18,0,20,0,1,1,2
4.2,0,20,0,1,1,2
4.22,0,20,0,1,1,2
4.24,0,20,0,1,1,2
4.26,0,20,0,1,1,2
4.28,0,20,0,1,1,2
4.3,0,20,0,1,1,2
4.32,0,20,0,1,1,2
4.34,0,20,0,1,1,2
4.36,0,20,0,1,1,2
4.38,0,20,0,1,1,2
4.4,0,20,0,1,1,2
4.42,0,20,0,1,1,2
4.44,0,20,0,1,1,2
4.46,0,20,0,1,1,2
4.48,0,20,0,1,1,2
4.5,0,20,0,1,1,2
4.52,0,20,0,1,1,2
4.54,0,20,0,1,1,2
4.56,0,20,0,1,1,2
4.58,0,20,0,1,1,2
4.6,0,20,0,1,1,2
4.62,0,20,0,1,1,2
4.64,0,20,0,1,1,2
4.66,0,20,0,1,1,2
4.68,0,20,0,1,1,2
4.7,0,20,0,1,1,2
4.72,0,20,0,1,1,2
4.74,0,20,0,1,1,2
4.76,0,20,0,1,1,2
4.78,0,20,0,1,1,2
4.8,0,20,0,1,1,2
4.82,0,20,0,1,1,2
4.84,0,20,0,1,1,2
4.86,0,20,0,1,1,2
4.88,0,20,0,1,1,2
4.9,0,20,0,1,1,2
4.92,0,20,0,1,1,2
4.94,0,20,0,1,1,2
4.96,0,20,0,1,1,2
4.98,0,20,0,1,1,2
5,0,20,0,1,1,2
5.02,0,20,0,1,1,2
5.04,0,20,0,1,1,2
5.06,0,20,0,1,1,2
5.08,0,20,0,1,1,2
5.1,0,20,0,1,1,2
5.12,0,20,0,1,1,2
5.14,0,20,0,1,1,2
5.16,0,20,0,1,1,2
5.18,0,20,0,1,1,2
5.2,0,20,0,1,1,2
5.22,0,20,0,1,1,2
5.24,0,20,0,1,1,2
5.26,0,20,0,1,1,2
5.28,0,20,0,1,1,2
5.3,0,20,0,1,1,2
5.32,0,20,0,1,1,2
5.34,0,20,0,1,1,2
5.36,0,20,0,1,1,2
5.38,0,20,0,1,1,2
5.4,0,20,0,1,1,2
5.42,0,20,0,1,1,2
5.44,0,20,0,1,1,2
5.46,0,20,0,1,1,2
5.48,0,20,0,1,1,2
5.5,0,20,0,1,1,2
5.52,0,20,0,1,1,2
5.54,0,20,0,1,1,2
5.56,0,20,0,1,1,2
5.58,0,20,0,1,1,2
5.6,0,20,0,1,1,2
5.62,0,20,0,1,1,2
5.64,0,20,0,1,1,2
5.66,0,20,0,1,1,2
5.68,0,20,0,1,1,2
5.7,0,20,0,1,1,2
5.72,0,20,0,1,1,2
5.74,0,20,0,1,1,2
5.76,0,20,0,1,1,2
5.78,0,20,0,1,1,2
5.8,0,20,0,1,1,2
5.82,0,20,0,1,1,2
5.84,0,20,0,1,1,2
5.86,0,20,0,1,1,2
5.88,0,20,0,1,1,2
5.9,0,20,0,1,1,2
5.92,0,20,0,1,1,2
5.94,0,20,0,1,1,2
5.96,0,20,0,1,1,2
5.98,0,20,0,1,1,2
6,0,20,0,1,1,2
6.02,0,20,0,1,1,2
6.04,0,20,0,1,1,2
6.06,0,20,0,1,1,2
6.08,0,20,0,1,1,2
6.1,0,20,0,1,1,2
6.12,0,20,0,1,1,2
6.14,0,20,0,1,1,2
6.16,0,20,0,1,1,2
6.18,0,20,0,1,1,2
6.2,0,20,0,1,1,2
6.22,0,20,0,1,1,2
6.24,0,20,0,1,1,2
6.26,0,20,0,1,1,2
6.28,0,20,0,1,1,2
6.3,0,20,0,1,1,2
6.32,0,20,0,1,1,2
6.34,0,20,0,1,1,2
6.36,0,20,0,1,1,2
6.38,0,20,0,1,1,2
6.4,0,20,0,1,1,2
6.42,0,20,0,1,1,2
6.44,0,20,0,1,1,2
6.46,0,20,0,1,1,2
6.48,0,20,0,1,1,2
6.5,0,20,0,1,1,2
6.52,0,20,0,1,1,2
6.54,0,20,0,1,1,2
6.56,0,20,0,1,1,2
6.58,0,20,0,1,1,2
6.6,0,20,0,1,1,2
6.62,0,20,0,1,1,2
6.64,0,20,0,1,1,2
6.66,0,20,0,1,1,2
6.68,0,20,0,1,1,2
6.7,0,20,0,1,1,2
6.72,0,20,0,1,1,2
6.74,0,20,0,1,1,2
6.76,0,20,0,1,1,2
6.78,0,20,0,1,1,2
6.8,0,20,0,1,1,2
6.82,0,20,0,1,1,2
6.84,0,20,0,1,1,2
6.86,0,20,0,1,1,2
6.88,0,20,0,1,1,2
6.9,0,20,0,1,1,2
6.92,0,20,0,1,1,2
6.94,0,20,0,1,1,2
6.96,0,20,0,1,1,2
6.98,0,20,0,1,1,2
7,0,20,0,1,1,2
7.02,0,20,0,1,1,2
7.04,0,20,0,1,1,2
7.06,0,20,0,1,1,2
7.08,0,20,0,1,1,2
7.1,0,20,0,1,1,2
7.12,0,20,0,1,1,2
7.14,0,20,0,1,1,2
7.16,0,20,0,1,1,2
7.18,0,20,0,1,1,2
7.2,0,20,0,1,1,2
7.22,0,20,0,1,1,2
7.24,0,20,0,1,1,2
7.26,0,20,0,1,1,2
7.28,0,20,0,1,1,2
7.3,0,20,0,1,1,2
7.32,0,20,0,1,1,2
7.34,0,20,0,1,1,2
7.36,0,20,0,1,1,2
7.38,0,20,0,1,1,2
7.4,0,20,0,1,1,2
7.42,0,20,0,1,1,2
7.44,0,20,0,1,1,2
7.46,0,20,0,1,1,2
7.48,0,20,0,1,1,2
7.5,0,20,0,1,1,2
7.52,0,20,0,1,1,2
7.54,0,20,0,1,1,2
7.56,0,20,0,1,1,2
7.58,0,20,0,1,1,2
7.6,0,20,0,1,1,2
7.62,0,20,0,1,1,2
7.64,0,20,0,1,1,2
7.66,0,20,0,1,1,2
7.68,0,20,0,1,1,2
7.7,0,20,0,1,1,2
7.72,0,20,0,1,1,2
7.74,0,20,0,1,1,2
7.76,0,20,0,1,1,2
7.78,0,20,0,1,1,2
7.8,0,20,0,1,1,2
7.82,0,20,0,1,1,2
7.84,0,20,0,1,1,2
7.86,0,20,0,1,1,2
7.88,0,20,0,1,1,2
7.9,0,20,0,1,1,2
7.92,0,20,0,1,1,2
7.94,0,20,0,1,1,2
7.96,0,20,0,1,1,2
7.98,0,20,0,1,1,2
8,0,20,0,1,1,2
8.02,0,20,0,1,1,2
8.04,0,20,0,1,1,2
8.06,0,20,0,1,1,2
8.08,0,20,0,1,1,2
8.1,0,20,0,1,1,2
8.12,0,20,0,1,1,2
8.14,0,20,0,1,1,2
8.16,0,20,0,1,1,2
8.18,0,20,0,1,1,2
8.2,0,20,0,1,1,2
8.22,0,20,0,1,1,2
8.24,0,20,0,1,1,2
8.26,0,20,0,1,1,2
8.28,0,20,0,1,1,2
8.3,0,20,0,1,1,2
8.32,0,20,0,1,1,2
8.34,0,20,0,1,1,2
8.36,0,20,0,1,1,2
8.38,0,20,0,1,1,2
8.4,0,20,0,1,1,2
8.42,0,20,0,1,1,2
8.44,0,20,0,1,1,2
8.46,0,20,0,1,1,2
8.48,0,20,0,1,1,2
8.5,0,20,0,1,1,2
8.52,0,20,0,1,1,2
8.54,0,20,0,1,1,2
8.56,0,20,0,1,1,2
8.58,0,20,0,1,1,2
8.6,0,20,0,1,1,2
8.62,0,20,0,1,1,2
8.64,0,20,0,1,1,2
8.66,0,20,0,1,1,2
8.68,0,20,0,1,1,2
8.7,0,20,0,1,1,2
8.72,0,20,0,1,1,2
8.74,0,20,0,1,1,2
8.76,0,20,0,1,1,2
8.78,0,20,0,1,1,2
8.8,0,20,0,1,1,2
8.82,0,20,0,1,1,2
8.84,0,20,0,1,1,2
8.86,0,20,0,1,1,2
8.88,0,20,0,1,1,2
8.9,0,20,0,1,1,2
8.92,0,20,0,1,1,2
8.94,0,20,0,1,1,2
8.96,0,20,0,1,1,2
8.98,0,20,0,1,1,2
9,0,20,0,1,1,2
9.02,0,20,0,1,1,2
9.04,0,20,0,1,1,2
9.06,0,20,0,1,1,2
9.08,0,20,0,1,1,2
9.1,0,20,0,1,1,2
9.12,0,20,0,1,1,2
9.14,0,20,0,1,1,2
9.16,0,20,0,1,1,2
9.18,0,20,0,1,1,2
9.2,0,20,0,1,1,2
9.22,0,20,0,1,1,2
9.24,0,20,0,1,1,2
9.26,0,20,0,1,1,2
9.28,0,20,0,1,1,2
9.3,0,20,0,1,1,2
9.32,0,20,0,1,1,2
9.34,0,20,0,1,1,2
9.36,0,20,0,1,1,2
9.38,0,20,0,1,1,2
9.4,0,20,0,1,1,2
9.42,0,20,0,1,1,2
9.44,0,20,0,1,1,2
9.46,0,20,0,1,1,2
9.48,0,20,0,1,1,2
9.5,0,20,0,1,1,2
9.52,0,20,0,1,1,2
9.54,0,20,0,1,1,2
9.56,0,20,0,1,1,2
9.58,0,20,0,1,1,2
9.6,0,20,0,1,1,2
9.62,0,20,0,1,1,2
9.64,0,20,0,1,1,2
9.66,0,20,0,1,1,2
9.68,0,20,0,1,1,2
9.7,0,20,0,1,1,2
9.72,0,20,0,1,1,2
9.74,0,20,0,1,1,2
9.76,0,20,0,1,1,2
9.78,0,20,0,1,1,2
9.8,0,20,0,1,1,2
9.82,0,20,0,1,1,2
9.84,0,20,0,1,1,2
9.86,0,20,0,1,1,2
9.88,0,20,0,1,1,2
9.9,0,20,0,1,1,2
9.92,0,20,0,1,1,2
9.94,0,20,0,1,1,2
9.96,0,20,0,1,1,2
9.98,0,20,0,1,1,2
10,0,20,0,1,1,2
10,0,20,0,1,1,2
