Time,TAmb,TDif,ground_p_v,ground_p_i,constantVoltage_V,constantVoltage_v,constantVoltage_i,constantVoltage_p_v,constantVoltage_p_i,constantVoltage_n_v,constantVoltage_n_i,heatCapacitor_C,heatCapacitor_T,der_heatCapacitor_T_,heatCapacitor_der_0T,heatCapacitor_port_T,heatCapacitor_port_Q_0flow,heatingResistor_R_0ref,heatingResistor_T_0ref,heatingResistor_alpha,heatingResistor_v,heatingResistor_i,heatingResistor_p_v,heatingResistor_p_i,heatingResistor_n_v,heatingResistor_n_i,heatingResistor_useHeatPort,heatingResistor_T,heatingResistor_heatPort_T,heatingResistor_heatPort_Q_0flow,heatingResistor_LossPower,heatingResistor_T_0heatPort,heatingResistor_R,fixedTemperature_T,fixedTemperature_port_T,fixedTemperature_port_Q_0flow,temperatureSensor_T,temperatureSensor_port_T,temperatureSensor_port_Q_0flow,thermalConductor_Q_0flow,thermalConductor_dT,thermalConductor_port_0a_T,thermalConductor_port_0a_Q_0flow,thermalConductor_port_0b_T,thermalConductor_port_0b_Q_0flow,thermalConductor_G,idealSwitch_v,idealSwitch_i,idealSwitch_p_v,idealSwitch_p_i,idealSwitch_n_v,idealSwitch_n_i,idealSwitch_Ron,idealSwitch_Goff,idealSwitch_useHeatPort,idealSwitch_T,idealSwitch_LossPower,idealSwitch_T_0heatPort,idealSwitch_control,idealSwitch_s,idealSwitch_unitVoltage,idealSwitch_unitCurrent,ramp_height,ramp_duration,ramp_offset,ramp_startTime,ramp_y,onOffController_reference,onOffController_u,onOffController_y,onOffController_bandwidth,onOffController_pre_0y_0start,logicalNot_u,logicalNot_y,TRes,heatCapacitor_0T,switch_0Controll,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0.2,293.15,2,0,0,10,10,-0.992323,10,-0.992323,0,0.992323,1,295.123,9.72597,9.72597,295.123,9.72597,10,293.15,0.00392157,9.99999,0.992323,9.99999,0.992323,0,-0.992323,1,293.15,295.123,-9.92322,9.92322,295.123,10.0774,293.15,293.15,0.197253,21.9725,295.123,0,0.197253,1.97253,295.123,0.197253,293.15,-0.197253,0.1,9.92323e-006,0.992323,10,0.992323,9.99999,-0.992323,1e-005,1e-005,0,293.15,9.84705e-006,293.15,0,0.992323,1,1,25,6,25,2,25,25,21.9725,1,2,0,1,0,295.123,21.9725,0,0,1,1,6
0.22,293.15,2,0,0,10,10,-0.991573,10,-0.991573,0,0.991573,1,295.317,9.69904,9.69904,295.317,9.69904,10,293.15,0.00392157,9.99999,0.991573,9.99999,0.991573,0,-0.991573,1,293.15,295.317,-9.91572,9.91572,295.317,10.085,293.15,293.15,0.216681,22.1668,295.317,0,0.216681,2.16681,295.317,0.216681,293.15,-0.216681,0.1,9.91573e-006,0.991573,10,0.991573,9.99999,-0.991573,1e-005,1e-005,0,293.15,9.83218e-006,293.15,0,0.991573,1,1,25,6,25,2,25,25,22.1668,1,2,0,1,0,295.317,22.1668,0,0,1,1,6
0.24,293.15,2,0,0,10,10,-0.990827,10,-0.990827,0,0.990827,1,295.511,9.6722,9.6722,295.511,9.6722,10,293.15,0.00392157,9.99999,0.990827,9.99999,0.990827,0,-0.990827,1,293.15,295.511,-9.90826,9.90826,295.511,10.0926,293.15,293.15,0.236055,22.3606,295.511,0,0.236055,2.36055,295.511,0.236055,293.15,-0.236055,0.1,9.90827e-006,0.990827,10,0.990827,9.99999,-0.990827,1e-005,1e-005,0,293.15,9.81738e-006,293.15,0,0.990827,1,1,25,6,25,2,25,25,22.3606,1,2,0,1,0,295.511,22.3606,0,0,1,1,6
0.26,293.15,2,0,0,10,10,-0.990084,10,-0.990084,0,0.990084,1,295.704,9.64545,9.64545,295.704,9.64545,10,293.15,0.00392157,9.99999,0.990084,9.99999,0.990084,0,-0.990084,1,293.15,295.704,-9.90083,9.90083,295.704,10.1001,293.15,293.15,0.255376,22.5538,295.704,0,0.255376,2.55376,295.704,0.255376,293.15,-0.255376,0.1,9.90084e-006,0.990084,10,0.990084,9.99999,-0.990084,1e-005,1e-005,0,293.15,9.80265e-006,293.15,0,0.990084,1,1,25,6,25,2,25,25,22.5538,1,2,0,1,0,295.704,22.5538,0,0,1,1,6
0.28,293.15,2,0,0,10,10,-0.989343,10,-0.989343,0,0.989343,1,295.896,9.61878,9.61878,295.896,9.61878,10,293.15,0.00392157,9.99999,0.989343,9.99999,0.989343,0,-0.989343,1,293.15,295.896,-9.89342,9.89342,295.896,10.1077,293.15,293.15,0.274643,22.7464,295.896,0,0.274643,2.74643,295.896,0.274643,293.15,-0.274643,0.1,9.89344e-006,0.989343,10,0.989343,9.99999,-0.989343,1e-005,1e-005,0,293.15,9.788e-006,293.15,0,0.989343,1,1,25,6,25,2,25,25,22.7464,1,2,0,1,0,295.896,22.7464,0,0,1,1,6
0.3,293.15,2,0,0,10,10,-0.988607,10,-0.988607,0,0.988607,1,296.089,9.5922,9.5922,296.089,9.5922,10,293.15,0.00392157,9.99999,0.988607,9.99999,0.988607,0,-0.988607,1,293.15,296.089,-9.88606,9.88606,296.089,10.1152,293.15,293.15,0.293856,22.9386,296.089,0,0.293856,2.93856,296.089,0.293856,293.15,-0.293856,0.1,9.88607e-006,0.988607,10,0.988607,9.99999,-0.988607,1e-005,1e-005,0,293.15,9.77343e-006,293.15,0,0.988607,1,1,25,6,25,2,25,25,22.9386,1,2,0,1,0,296.089,22.9386,0,0,1,1,6
0.32,293.15,2,0,0,10,10,-0.987873,10,-0.987873,0,0.987873,1,296.28,9.5657,9.5657,296.28,9.5657,10,293.15,0.00392157,9.99999,0.987873,9.99999,0.987873,0,-0.987873,1,293.15,296.28,-9.87872,9.87872,296.28,10.1228,293.15,293.15,0.313016,23.1302,296.28,0,0.313016,3.13016,296.28,0.313016,293.15,-0.313016,0.1,9.87873e-006,0.987873,10,0.987873,9.99999,-0.987873,1e-005,1e-005,0,293.15,9.75893e-006,293.15,0,0.987873,1,1,25,6,25,2,25,25,23.1302,1,2,0,1,0,296.28,23.1302,0,0,1,1,6
0.34,293.15,2,0,0,10,10,-0.987142,10,-0.987142,0,0.987142,1,296.471,9.53928,9.53928,296.471,9.53928,10,293.15,0.00392157,9.99999,0.987142,9.99999,0.987142,0,-0.987142,1,293.15,296.471,-9.87141,9.87141,296.471,10.1302,293.15,293.15,0.332127,23.3213,296.471,0,0.332127,3.32127,296.471,0.332127,293.15,-0.332127,0.1,9.87142e-006,0.987142,10,0.987142,9.99999,-0.987142,1e-005,1e-005,0,293.15,9.74449e-006,293.15,0,0.987142,1,1,25,6,25,2,25,25,23.3213,1,2,0,1,0,296.471,23.3213,0,0,1,1,6
0.36,293.15,2,0,0,10,10,-0.986414,10,-0.986414,0,0.986414,1,296.662,9.51294,9.51294,296.662,9.51294,10,293.15,0.00392157,9.99999,0.986414,9.99999,0.986414,0,-0.986414,1,293.15,296.662,-9.86413,9.86413,296.662,10.1377,293.15,293.15,0.351189,23.5119,296.662,0,0.351189,3.51189,296.662,0.351189,293.15,-0.351189,0.1,9.86414e-006,0.986414,10,0.986414,9.99999,-0.986414,1e-005,1e-005,0,293.15,9.73013e-006,293.15,0,0.986414,1,1,25,6,25,2,25,25,23.5119,1,2,0,1,0,296.662,23.5119,0,0,1,1,6
0.38,293.15,2,0,0,10,10,-0.985689,10,-0.985689,0,0.985689,1,296.852,9.48668,9.48668,296.852,9.48668,10,293.15,0.00392157,9.99999,0.985689,9.99999,0.985689,0,-0.985689,1,293.15,296.852,-9.85688,9.85688,296.852,10.1452,293.15,293.15,0.370199,23.702,296.852,0,0.370199,3.70199,296.852,0.370199,293.15,-0.370199,0.1,9.85689e-006,0.985689,10,0.985689,9.99999,-0.985689,1e-005,1e-005,0,293.15,9.71583e-006,293.15,0,0.985689,1,1,25,6,25,2,25,25,23.702,1,2,0,1,0,296.852,23.702,0,0,1,1,6
0.4,293.15,2,0,0,10,10,-0.984967,10,-0.984967,0,0.984967,1,297.042,9.46051,9.46051,297.042,9.46051,10,293.15,0.00392157,9.99999,0.984967,9.99999,0.984967,0,-0.984967,1,293.15,297.042,-9.84966,9.84966,297.042,10.1526,293.15,293.15,0.389157,23.8916,297.042,0,0.389157,3.89157,297.042,0.389157,293.15,-0.389157,0.1,9.84967e-006,0.984967,10,0.984967,9.99999,-0.984967,1e-005,1e-005,0,293.15,9.70161e-006,293.15,0,0.984967,1,1,25,6,25,2,25,25,23.8916,1,2,0,1,0,297.042,23.8916,0,0,1,1,6
0.42,293.15,2,0,0,10,10,-0.984249,10,-0.984249,0,0.984249,1,297.231,9.43441,9.43441,297.231,9.43441,10,293.15,0.00392157,9.99999,0.984249,9.99999,0.984249,0,-0.984249,1,293.15,297.231,-9.84248,9.84248,297.231,10.16,293.15,293.15,0.408064,24.0806,297.231,0,0.408064,4.08064,297.231,0.408064,293.15,-0.408064,0.1,9.84249e-006,0.984249,10,0.984249,9.99999,-0.984249,1e-005,1e-005,0,293.15,9.68745e-006,293.15,0,0.984249,1,1,25,6,25,2,25,25,24.0806,1,2,0,1,0,297.231,24.0806,0,0,1,1,6
0.44,293.15,2,0,0,10,10,-0.983533,10,-0.983533,0,0.983533,1,297.419,9.4084,9.4084,297.419,9.4084,10,293.15,0.00392157,9.99999,0.983533,9.99999,0.983533,0,-0.983533,1,293.15,297.419,-9.83532,9.83532,297.419,10.1674,293.15,293.15,0.426918,24.2692,297.419,0,0.426918,4.26918,297.419,0.426918,293.15,-0.426918,0.1,9.83533e-006,0.983533,10,0.983533,9.99999,-0.983533,1e-005,1e-005,0,293.15,9.67337e-006,293.15,0,0.983533,1,1,25,6,25,2,25,25,24.2692,1,2,0,1,0,297.419,24.2692,0,0,1,1,6
0.46,293.15,2,0,0,10,10,-0.98282,10,-0.98282,0,0.98282,1,297.607,9.38247,9.38247,297.607,9.38247,10,293.15,0.00392157,9.99999,0.98282,9.99999,0.98282,0,-0.98282,1,293.15,297.607,-9.82819,9.82819,297.607,10.1748,293.15,293.15,0.445721,24.4572,297.607,0,0.445721,4.45721,297.607,0.445721,293.15,-0.445721,0.1,9.8282e-006,0.98282,10,0.98282,9.99999,-0.98282,1e-005,1e-005,0,293.15,9.65935e-006,293.15,0,0.98282,1,1,25,6,25,2,25,25,24.4572,1,2,0,1,0,297.607,24.4572,0,0,1,1,6
0.48,293.15,2,0,0,10,10,-0.98211,10,-0.98211,0,0.98211,1,297.795,9.35662,9.35662,297.795,9.35662,10,293.15,0.00392157,9.99999,0.98211,9.99999,0.98211,0,-0.98211,1,293.15,297.795,-9.82109,9.82109,297.795,10.1821,293.15,293.15,0.464472,24.6447,297.795,0,0.464472,4.64472,297.795,0.464472,293.15,-0.464472,0.1,9.8211e-006,0.98211,10,0.98211,9.99999,-0.98211,1e-005,1e-005,0,293.15,9.64541e-006,293.15,0,0.98211,1,1,25,6,25,2,25,25,24.6447,1,2,0,1,0,297.795,24.6447,0,0,1,1,6
0.5,293.15,2,0,0,10,10,-0.981403,10,-0.981403,0,0.981403,1,297.982,9.33085,9.33085,297.982,9.33085,10,293.15,0.00392157,9.99999,0.981403,9.99999,0.981403,0,-0.981403,1,293.15,297.982,-9.81402,9.81402,297.982,10.1895,293.15,293.15,0.483171,24.8317,297.982,0,0.483171,4.83171,297.982,0.483171,293.15,-0.483171,0.1,9.81403e-006,0.981403,10,0.981403,9.99999,-0.981403,1e-005,1e-005,0,293.15,9.63153e-006,293.15,0,0.981403,1,1,25,6,25,2,25,25,24.8317,1,2,0,1,0,297.982,24.8317,0,0,1,1,6
0.52,293.15,2,0,0,10,10,-0.9807,10,-0.9807,0,0.9807,1,298.168,9.30517,9.30517,298.168,9.30517,10,293.15,0.00392157,9.99999,0.9807,9.99999,0.9807,0,-0.9807,1,293.15,298.168,-9.80699,9.80699,298.168,10.1968,293.15,293.15,0.501819,25.0182,298.168,0,0.501819,5.01819,298.168,0.501819,293.15,-0.501819,0.1,9.807e-006,0.9807,10,0.9807,9.99999,-0.9807,1e-005,1e-005,0,293.15,9.61772e-006,293.15,0,0.9807,1,1,25,6,25,2,25,25,25.0182,1,2,0,1,0,298.168,25.0182,0,0,1,1,6
0.54,293.15,2,0,0,10,10,-0.979999,10,-0.979999,0,0.979999,1,298.354,9.27956,9.27956,298.354,9.27956,10,293.15,0.00392157,9.99999,0.979999,9.99999,0.979999,0,-0.979999,1,293.15,298.354,-9.79998,9.79998,298.354,10.2041,293.15,293.15,0.520414,25.2041,298.354,0,0.520414,5.20414,298.354,0.520414,293.15,-0.520414,0.1,9.79999e-006,0.979999,10,0.979999,9.99999,-0.979999,1e-005,1e-005,0,293.15,9.60398e-006,293.15,0,0.979999,1,1,25,6,25,2,25,25,25.2041,1,2,0,1,0,298.354,25.2041,0,0,1,1,6
0.56,293.15,2,0,0,10,10,-0.979301,10,-0.979301,0,0.979301,1,298.54,9.25404,9.25404,298.54,9.25404,10,293.15,0.00392157,9.99999,0.979301,9.99999,0.979301,0,-0.979301,1,293.15,298.54,-9.793,9.793,298.54,10.2114,293.15,293.15,0.538958,25.3896,298.54,0,0.538958,5.38958,298.54,0.538958,293.15,-0.538958,0.1,9.79301e-006,0.979301,10,0.979301,9.99999,-0.979301,1e-005,1e-005,0,293.15,9.5903e-006,293.15,0,0.979301,1,1,25,6,25,2,25,25,25.3896,1,2,0,1,0,298.54,25.3896,0,0,1,1,6
0.58,293.15,2,0,0,10,10,-0.978606,10,-0.978606,0,0.978606,1,298.724,9.2286,9.2286,298.724,9.2286,10,293.15,0.00392157,9.99999,0.978606,9.99999,0.978606,0,-0.978606,1,293.15,298.724,-9.78605,9.78605,298.724,10.2186,293.15,293.15,0.55745,25.5745,298.724,0,0.55745,5.5745,298.724,0.55745,293.15,-0.55745,0.1,9.78606e-006,0.978606,10,0.978606,9.99999,-0.978606,1e-005,1e-005,0,293.15,9.5767e-006,293.15,0,0.978606,1,1,25,6,25,2,25,25,25.5745,1,2,0,1,0,298.724,25.5745,0,0,1,1,6
0.6,293.15,2,0,0,10,10,-0.977914,10,-0.977914,0,0.977914,1,298.909,9.20324,9.20324,298.909,9.20324,10,293.15,0.00392157,9.99999,0.977914,9.99999,0.977914,0,-0.977914,1,293.15,298.909,-9.77913,9.77913,298.909,10.2258,293.15,293.15,0.57589,25.7589,298.909,0,0.57589,5.7589,298.909,0.57589,293.15,-0.57589,0.1,9.77914e-006,0.977914,10,0.977914,9.99999,-0.977914,1e-005,1e-005,0,293.15,9.56316e-006,293.15,0,0.977914,1,1,25,6,25,2,25,25,25.7589,1,2,0,1,0,298.909,25.7589,0,0,1,1,6
0.62,293.15,2,0,0,10,10,-0.977225,10,-0.977225,0,0.977225,1,299.093,9.17796,9.17796,299.093,9.17796,10,293.15,0.00392157,9.99999,0.977225,9.99999,0.977225,0,-0.977225,1,293.15,299.093,-9.77224,9.77224,299.093,10.2331,293.15,293.15,0.594278,25.9428,299.093,0,0.594278,5.94278,299.093,0.594278,293.15,-0.594278,0.1,9.77225e-006,0.977225,10,0.977225,9.99999,-0.977225,1e-005,1e-005,0,293.15,9.54968e-006,293.15,0,0.977225,1,1,25,6,25,2,25,25,25.9428,1,2,0,1,0,299.093,25.9428,0,0,1,1,6
0.626235,293.15,2,0,0,10,10,-0.977011,10,-0.977011,0,0.977011,1,299.15,9.1701,9.1701,299.15,9.1701,10,293.15,0.00392157,9.99999,0.977011,9.99999,0.977011,0,-0.977011,1,293.15,299.15,-9.7701,9.7701,299.15,10.2353,293.15,293.15,0.6,26,299.15,0,0.6,6,299.15,0.6,293.15,-0.6,0.1,9.7701e-006,0.977011,10,0.977011,9.99999,-0.977011,1e-005,1e-005,0,293.15,9.5455e-006,293.15,0,0.977011,1,1,25,6,25,2,25,25,26,1,2,0,1,0,299.15,26,0,0,1,1,6
0.626235,293.15,2,0,0,10,10,-9.99898e-005,10,-9.99898e-005,0,9.99898e-005,1,299.15,-0.6,-0.6,299.15,-0.6,10,293.15,0.00392157,0.00102342,9.99898e-005,0.00102342,9.99898e-005,0,-9.99898e-005,1,293.15,299.15,-1.02332e-007,1.02332e-007,299.15,10.2353,293.15,293.15,0.6,26,299.15,0,0.6,6,299.15,0.6,293.15,-0.6,0.1,9.99898,9.99898e-005,10,9.99898e-005,0.00102342,-9.99898e-005,1e-005,1e-005,0,293.15,0.000999795,293.15,1,9.99898,1,1,25,6,25,2,25,25,26,0,2,0,0,1,299.15,26,1,0,1,1,6
0.64,293.15,2,0,0,10,10,-9.99898e-005,10,-9.99898e-005,0,9.99898e-005,1,299.142,-0.599175,-0.599175,299.142,-0.599175,10,293.15,0.00392157,0.00102339,9.99898e-005,0.00102339,9.99898e-005,0,-9.99898e-005,1,293.15,299.142,-1.02329e-007,1.02329e-007,299.142,10.235,293.15,293.15,0.599175,25.9917,299.142,0,0.599175,5.99175,299.142,0.599175,293.15,-0.599175,0.1,9.99898,9.99898e-005,10,9.99898e-005,0.00102339,-9.99898e-005,1e-005,1e-005,0,293.15,0.000999795,293.15,1,9.99898,1,1,25,6,25,2,25,25,25.9917,0,2,0,0,1,299.142,25.9917,1,0,1,1,6
0.66,293.15,2,0,0,10,10,-9.99898e-005,10,-9.99898e-005,0,9.99898e-005,1,299.13,-0.597977,-0.597977,299.13,-0.597977,10,293.15,0.00392157,0.00102335,9.99898e-005,0.00102335,9.99898e-005,0,-9.99898e-005,1,293.15,299.13,-1.02324e-007,1.02324e-007,299.13,10.2345,293.15,293.15,0.597977,25.9798,299.13,0,0.597977,5.97977,299.13,0.597977,293.15,-0.597977,0.1,9.99898,9.99898e-005,10,9.99898e-005,0.00102335,-9.99898e-005,1e-005,1e-005,0,293.15,0.000999795,293.15,1,9.99898,1,1,25,6,25,2,25,25,25.9798,0,2,0,0,1,299.13,25.9798,1,0,1,1,6
0.68,293.15,2,0,0,10,10,-9.99898e-005,10,-9.99898e-005,0,9.99898e-005,1,299.118,-0.596783,-0.596783,299.118,-0.596783,10,293.15,0.00392157,0.0010233,9.99898e-005,0.0010233,9.99898e-005,0,-9.99898e-005,1,293.15,299.118,-1.02319e-007,1.02319e-007,299.118,10.234,293.15,293.15,0.596783,25.9678,299.118,0,0.596783,5.96783,299.118,0.596783,293.15,-0.596783,0.1,9.99898,9.99898e-005,10,9.99898e-005,0.0010233,-9.99898e-005,1e-005,1e-005,0,293.15,0.000999795,293.15,1,9.99898,1,1,25,6,25,2,25,25,25.9678,0,2,0,0,1,299.118,25.9678,1,0,1,1,6
0.7,293.15,2,0,0,10,10,-9.99898e-005,10,-9.99898e-005,0,9.99898e-005,1,299.106,-0.59559,-0.59559,299.106,-0.59559,10,293.15,0.00392157,0.00102325,9.99898e-005,0.00102325,9.99898e-005,0,-9.99898e-005,1,293.15,299.106,-1.02315e-007,1.02315e-007,299.106,10.2336,293.15,293.15,0.59559,25.9559,299.106,0,0.59559,5.9559,299.106,0.59559,293.15,-0.59559,0.1,9.99898,9.99898e-005,10,9.99898e-005,0.00102325,-9.99898e-005,1e-005,1e-005,0,293.15,0.000999795,293.15,1,9.99898,1,1,25,6,25,2,25,25,25.9559,0,2,0,0,1,299.106,25.9559,1,0,1,1,6
0.72,293.15,2,0,0,10,10,-9.99898e-005,10,-9.99898e-005,0,9.99898e-005,1,299.094,-0.5944,-0.5944,299.094,-0.5944,10,293.15,0.00392157,0.00102321,9.99898e-005,0.00102321,9.99898e-005,0,-9.99898e-005,1,293.15,299.094,-1.0231e-007,1.0231e-007,299.094,10.2331,293.15,293.15,0.5944,25.944,299.094,0,0.5944,5.944,299.094,0.5944,293.15,-0.5944,0.1,9.99898,9.99898e-005,10,9.99898e-005,0.00102321,-9.99898e-005,1e-005,1e-005,0,293.15,0.000999795,293.15,1,9.99898,1,1,25,6,25,2,25,25,25.944,0,2,0,0,1,299.094,25.944,1,0,1,1,6
