"time","Out1"
8.19,1.32499928
8.2,1.33444003
8.21,1.34384734
8.22,1.35322026
8.23,1.36255786
8.24,1.3718592
8.25,1.38112335
8.26,1.39034939
8.27,1.3995364
8.28,1.40868345
8.29,1.41778963
8.3,1.42685403
8.31,1.43587575
8.32,1.44485388
8.33,1.45378752
8.34,1.46267579
8.35,1.47151779
8.36,1.48031263
8.37,1.48905944
8.38,1.49775735
8.39,1.50640548
8.4,1.51500297
8.41,1.52354896
8.42,1.53204259
8.43,1.54048302
8.44,1.5488694
8.45,1.55720089
8.46,1.56547666
8.47,1.57369588
8.48,1.58185773
8.49,1.5899614
8.5,1.59800607
8.51,1.60599094
8.52,1.61391521
8.53,1.62177809
8.54,1.62957879
8.55,1.63731653
8.56,1.64499054
8.57,1.65260005
8.58,1.6601443
8.59,1.66762254
8.6,1.67503401
8.61,1.68237798
8.62,1.68965371
8.63,1.69686048
8.64,1.70399756
8.65,1.71106424
8.66,1.71805981
8.67,1.72498358
8.68,1.73183485
8.69,1.73861294
8.7,1.74531716
8.71,1.75194685
8.72,1.75850135
8.73,1.76498
8.74,1.77138215
8.75,1.77770716
8.76,1.7839544
8.77,1.79012324
8.78,1.79621307
8.79,1.80222328
8.8,1.80815327
8.81,1.81400244
8.82,1.81977021
8.83,1.825456
8.84,1.83105925
8.85,1.83657939
8.86,1.84201587
8.87,1.84736815
8.88,1.8526357
8.89,1.85781798
8.9,1.86291448
8.91,1.86792469
8.92,1.87284811
8.93,1.87768424
8.94,1.8824326
8.95,1.88709272
8.96,1.89166413
8.97,1.89614637
8.98,1.900539
8.99,1.90484157
9.0,1.90905366
9.01,1.91317484
9.02,1.91720471
9.03,1.92114286
9.04,1.92498889
9.05,1.92874242
9.06,1.93240308
9.07,1.9359705
9.08,1.93944432
9.09,1.9428242
9.1,1.94610979
9.11,1.94930077
9.12,1.95239682
9.13,1.95539763
9.14,1.9583029
9.15,1.96111234
9.16,1.96382567
9.17,1.96644262
9.18,1.96896293
9.19,1.97138634
9.2,1.97371261
9.21,1.97594151
9.22,1.97807281
9.23,1.98010631
9.24,1.9820418
9.25,1.98387908
9.26,1.98561797
9.27,1.9872583
9.28,1.98879991
9.29,1.99024264
9.3,1.99158634
9.31,1.99283088
9.32,1.99397614
9.33,1.995022
9.34,1.99596836
9.35,1.99681512
9.36,1.9975622
9.37,1.99820953
9.38,1.99875704
9.39,1.99920467
9.4,1.99955238
9.41,1.99980013
9.42,1.9999479
9.43,1.99999568
9.44,1.99994346
9.45,1.99979125
9.46,1.99953906
9.47,1.99918691
9.48,1.99873484
9.49,1.9981829
9.5,1.99753114
9.51,1.99677963
9.52,1.99592844
9.53,1.99497766
9.54,1.99392738
9.55,1.99277771
9.56,1.99152876
9.57,1.99018066
9.58,1.98873354
9.59,1.98718755
9.6,1.98554284
9.61,1.98379957
9.62,1.98195792
9.63,1.98001808
9.64,1.97798023
9.65,1.97584459
9.66,1.97361136
9.67,1.97128077
9.68,1.96885305
9.69,1.96632845
9.7,1.96370721
9.71,1.9609896
9.72,1.95817589
9.73,1.95526637
9.74,1.95226132
9.75,1.94916104
9.76,1.94596585
9.77,1.94267606
9.78,1.939292
9.79,1.93581401
9.8,1.93224244
9.81,1.92857765
9.82,1.92482
9.83,1.92096987
9.84,1.91702764
9.85,1.91299371
9.86,1.90886848
9.87,1.90465236
9.88,1.90034578
9.89,1.89594916
9.9,1.89146295
9.91,1.88688759
9.92,1.88222354
9.93,1.87747127
9.94,1.87263125
9.95,1.86770397
9.96,1.86268992
9.97,1.8575896
9.98,1.85240352
9.99,1.8471322
10.0,1.84177617
