"time","Piston.frame_a.r_0[1]","Piston.frame_a.r_0[2]","Piston.frame_a.r_0[3]"
0.081011,0.15,0.340449,0
0.082011,0.15,0.333484,0
0.083011,0.15,0.32609,0
0.084011,0.15,0.318296,0
0.085011,0.15,0.31014,0
0.086011,0.15,0.301674,0
0.087011,0.15,0.292959,0
0.088011,0.15,0.28407,0
0.089011,0.15,0.275098,0
0.090011,0.15,0.266147,0
0.091011,0.15,0.257333,0
0.092011,0.15,0.248784,0
0.093011,0.15,0.240629,0
0.094011,0.15,0.232998,0
0.095011,0.15,0.226008,0
0.096011,0.15,0.219757,0
0.097011,0.15,0.214317,0
0.098011,0.15,0.209734,0
0.099011,0.15,0.206032,0
0.100011,0.15,0.203217,0
0.101011,0.15,0.201284,0
0.102011,0.15,0.200225,0
0.103011,0.15,0.200034,0
0.104011,0.15,0.20071,0
0.105011,0.15,0.202258,0
0.106011,0.15,0.204685,0
0.107011,0.15,0.208,0
0.108011,0.15,0.212209,0
0.109011,0.15,0.217306,0
0.110011,0.15,0.223272,0
0.111011,0.15,0.230068,0
0.112011,0.15,0.237636,0
0.113011,0.15,0.245897,0
0.114011,0.15,0.25476,0
0.115011,0.15,0.264122,0
0.116011,0.15,0.273875,0
0.117011,0.15,0.283911,0
0.118011,0.15,0.294126,0
0.119011,0.15,0.304416,0
0.120011,0.15,0.314687,0
0.121011,0.15,0.324846,0
0.122011,0.15,0.334805,0
0.123011,0.15,0.344478,0
0.124011,0.15,0.353775,0
0.125011,0.15,0.362603,0
0.126011,0.15,0.370854,0
0.127011,0.15,0.378406,0
0.128011,0.15,0.385113,0
0.129011,0.15,0.390804,0
0.130011,0.15,0.395286,0
0.131011,0.15,0.398362,0
0.132011,0.15,0.399864,0
0.133011,0.15,0.399699,0
0.134011,0.15,0.397867,0
0.135011,0.15,0.39444,0
0.136011,0.15,0.389536,0
0.137011,0.15,0.383295,0
0.138011,0.15,0.37586,0
0.139011,0.15,0.36737,0
0.140011,0.15,0.357951,0
0.141011,0.15,0.347722,0
0.142011,0.15,0.336799,0
0.143011,0.15,0.325298,0
0.144011,0.15,0.313342,0
0.145011,0.15,0.301072,0
0.146011,0.15,0.288645,0
0.147011,0.15,0.276248,0
0.148011,0.15,0.264093,0
0.149011,0.15,0.252419,0
0.150011,0.15,0.241478,0
0.151011,0.15,0.231515,0
0.152011,0.15,0.222746,0
0.153011,0.15,0.215327,0
0.154011,0.15,0.209353,0
0.155011,0.15,0.204857,0
0.156011,0.15,0.201832,0
0.157011,0.15,0.200257,0
0.158011,0.15,0.200115,0
0.159011,0.15,0.201404,0
0.160011,0.15,0.204139,0
0.161011,0.15,0.208344,0
0.162011,0.15,0.214038,0
0.163011,0.15,0.22121,0
0.164011,0.15,0.229807,0
0.165011,0.15,0.239717,0
0.166011,0.15,0.250779,0
0.167011,0.15,0.262791,0
0.168011,0.15,0.275532,0
0.169011,0.15,0.288778,0
0.170011,0.15,0.302312,0
0.171011,0.15,0.315925,0
0.172011,0.15,0.329416,0
0.173011,0.15,0.342581,0
0.174011,0.15,0.355202,0
0.175011,0.15,0.367027,0
0.176011,0.15,0.377741,0
0.177011,0.15,0.386936,0
0.178011,0.15,0.394091,0
0.179011,0.15,0.398611,0
0.180011,0.15,0.399987,0
0.181011,0.15,0.39803,0
0.182011,0.15,0.392951,0
0.183011,0.15,0.385215,0
0.184011,0.15,0.375339,0
0.185011,0.15,0.363784,0
0.186011,0.15,0.350926,0
0.187011,0.15,0.337075,0
0.188011,0.15,0.322501,0
0.189011,0.15,0.307465,0
0.190011,0.15,0.292238,0
0.191011,0.15,0.277123,0
0.192011,0.15,0.262466,0
0.193011,0.15,0.248648,0
0.194011,0.15,0.236068,0
0.195011,0.15,0.225087,0
