"time","addr","datao","oeb","sync","vpab","we_n"
0.108,49547,244,1,1,1,1
0.109,49547,244,1,1,1,1
0.109,49547,244,1,1,1,1
0.11,49547,244,1,1,1,1
0.11,49547,244,1,1,1,1
0.111,49547,244,1,0,1,1
0.111,49547,244,1,0,1,1
0.112,49547,244,1,0,1,1
0.112,49547,244,1,0,1,1
0.113,49547,244,1,0,1,1
0.113,49547,244,1,0,1,1
0.114,494,193,1,0,1,0
0.114,494,193,1,0,1,0
0.115,494,193,0,0,1,0
0.115,494,193,0,0,1,0
0.116,493,139,0,0,1,0
0.116,493,139,0,0,1,0
0.117,492,70,0,0,1,0
0.117,492,70,0,0,1,0
0.118,65530,244,0,0,0,1
0.118,65530,244,0,0,0,1
0.119,65530,244,1,0,0,1
0.119,65530,244,1,0,0,1
0.12,65531,244,1,0,0,1
0.12,65531,244,1,0,0,1
0.121,33122,244,1,1,1,1
0.121,33122,244,1,1,1,1
0.122,33122,244,1,1,1,1
0.122,33122,244,1,1,1,1
0.123,33122,244,1,1,1,1
0.123,33122,244,1,1,1,1
0.124,33122,244,1,0,1,1
0.124,33122,244,1,0,1,1
0.125,491,129,1,0,1,0
0.125,491,129,1,0,1,0
0.126,490,98,0,0,1,0
0.126,490,98,0,0,1,0
0.127,490,98,0,0,1,0
0.127,490,98,0,0,1,0
0.128,489,70,0,0,1,0
0.128,489,70,0,0,1,0
0.129,65530,244,0,0,0,1
0.129,65530,244,0,0,0,1
0.13,65530,244,1,0,0,1
0.13,65530,244,1,0,0,1
0.131,65531,244,1,0,0,1
0.131,65531,244,1,0,0,1
0.132,61462,244,1,1,1,1
0.132,61462,244,1,1,1,1
0.133,61462,244,1,0,1,1
0.133,61462,244,1,0,1,1
0.134,61462,244,1,0,1,1
0.134,61462,244,1,0,1,1
0.135,488,240,1,0,1,0
0.135,488,240,1,0,1,0
0.136,488,240,0,0,1,0
0.136,488,240,0,0,1,0
0.137,487,22,0,0,1,0
0.137,487,22,0,0,1,0
0.138,486,70,0,0,1,0
0.138,486,70,0,0,1,0
0.139,486,70,0,0,1,0
0.139,486,70,0,0,1,0
0.14,65530,244,0,0,0,1
0.14,65530,244,0,0,0,1
0.141,65531,244,1,0,0,1
0.141,65531,244,1,0,0,1
0.142,65531,244,1,0,0,1
0.142,65531,244,1,0,0,1
0.143,65531,244,1,0,0,1
0.143,65531,244,1,0,0,1
0.144,65531,244,1,0,0,1
0.144,65531,244,1,0,0,1
0.145,65531,244,1,0,0,1
0.145,65531,244,1,0,0,1
0.146,65531,244,1,0,0,1
0.146,65531,244,1,0,0,1
0.147,39097,244,1,1,1,1
0.147,39097,244,1,1,1,1
0.148,39097,244,1,1,1,1
0.148,39097,244,1,1,1,1
0.149,39097,244,1,1,1,1
0.149,39097,244,1,1,1,1
0.15,39097,244,1,1,1,1
0.15,39097,244,1,1,1,1
0.151,39097,244,1,1,1,1
0.151,39097,244,1,1,1,1
0.152,39097,244,1,0,1,1
0.152,39097,244,1,0,1,1
0.153,39097,244,1,0,1,1
0.153,39097,244,1,0,1,1
0.154,485,152,1,0,1,0
0.154,485,152,1,0,1,0
0.155,485,152,0,0,1,0
0.155,485,152,0,0,1,0
0.156,485,152,0,0,1,0
0.156,485,152,0,0,1,0
0.157,485,152,0,0,1,0
0.157,485,152,0,0,1,0
0.158,485,152,0,0,1,0
0.158,485,152,0,0,1,0
0.159,485,152,0,0,1,0
0.159,485,152,0,0,1,0
0.16,484,185,0,0,1,0
0.16,484,185,0,0,1,0
0.161,483,70,0,0,1,0
0.161,483,70,0,0,1,0
0.162,483,70,0,0,1,0
0.162,483,70,0,0,1,0
0.163,65530,244,0,0,0,1
0.163,65530,244,0,0,0,1
0.164,65530,244,1,0,0,1
0.164,65530,244,1,0,0,1
0.165,65530,244,1,0,0,1
0.165,65530,244,1,0,0,1
0.166,65530,244,1,0,0,1
0.166,65530,244,1,0,0,1
0.167,65530,244,1,0,0,1
0.167,65530,244,1,0,0,1
0.168,65531,244,1,0,0,1
0.168,65531,244,1,0,0,1
0.169,65531,244,1,0,0,1
0.169,65531,244,1,0,0,1
0.17,65531,244,1,0,0,1
0.17,65531,244,1,0,0,1
0.171,65531,244,1,0,0,1
0.171,65531,244,1,0,0,1
0.172,64412,244,1,1,1,1
0.172,64412,244,1,1,1,1
0.173,64412,244,1,0,1,1
0.173,64412,244,1,0,1,1
0.174,482,251,1,0,1,0
0.174,482,251,1,0,1,0
0.175,481,156,0,0,1,0
0.175,481,156,0,0,1,0
0.176,481,156,0,0,1,0
0.176,481,156,0,0,1,0
0.177,480,70,0,0,1,0
0.177,480,70,0,0,1,0
0.178,65530,244,0,0,0,1
0.178,65530,244,0,0,0,1
0.179,65531,244,1,0,0,1
0.179,65531,244,1,0,0,1
0.18,65531,244,1,0,0,1
0.18,65531,244,1,0,0,1
0.181,65531,244,1,0,0,1
0.181,65531,244,1,0,0,1
0.182,65531,244,1,0,0,1
0.182,65531,244,1,0,0,1
0.183,48237,244,1,1,1,1
0.183,48237,244,1,1,1,1
0.184,48237,244,1,0,1,1
0.184,48237,244,1,0,1,1
0.185,479,188,1,0,1,0
0.185,479,188,1,0,1,0
0.186,478,109,0,0,1,0
0.186,478,109,0,0,1,0
0.187,477,70,0,0,1,0
0.187,477,70,0,0,1,0
0.188,477,70,0,0,1,0
0.188,477,70,0,0,1,0
0.189,65530,244,0,0,0,1
0.189,65530,244,0,0,0,1
0.19,65530,244,1,0,0,1
0.19,65530,244,1,0,0,1
0.191,65530,244,1,0,0,1
0.191,65530,244,1,0,0,1
0.192,65530,244,1,0,0,1
0.192,65530,244,1,0,0,1
0.193,65530,244,1,0,0,1
0.193,65530,244,1,0,0,1
0.194,65530,244,1,0,0,1
0.194,65530,244,1,0,0,1
0.195,65531,244,1,0,0,1
0.195,65531,244,1,0,0,1
0.196,38983,244,1,1,1,1
0.196,38983,244,1,1,1,1
0.197,38983,244,1,1,1,1
0.197,38983,244,1,1,1,1
0.198,38984,244,1,0,1,1
0.198,38984,244,1,0,1,1
0.199,38984,244,1,0,1,1
0.199,38984,244,1,0,1,1
0.2,38984,244,1,0,1,1
0.2,38984,244,1,0,1,1
0.201,38984,244,1,0,1,1
0.201,38984,244,1,0,1,1
0.202,38984,244,1,0,1,1
0.202,38984,244,1,0,1,1
0.203,38985,63,1,1,1,1
0.203,38985,63,1,1,1,1
0.204,38985,63,1,1,1,1
0.204,38985,63,1,1,1,1
0.205,38985,63,1,1,1,1
0.205,38985,63,1,1,1,1
0.206,38985,63,1,1,1,1
0.206,38985,63,1,1,1,1
0.207,38985,63,1,0,1,1
0.207,38985,63,1,0,1,1
0.208,38985,63,1,0,1,1
0.208,38985,63,1,0,1,1
0.209,38985,63,1,0,1,1
0.209,38985,63,1,0,1,1
0.21,476,152,1,0,1,0
0.21,476,152,1,0,1,0
0.211,476,152,0,0,1,0
0.211,476,152,0,0,1,0
0.212,476,152,0,0,1,0
0.212,476,152,0,0,1,0
0.213,476,152,0,0,1,0
0.213,476,152,0,0,1,0
0.214,475,73,0,0,1,0
0.214,475,73,0,0,1,0
0.215,475,73,0,0,1,0
0.215,475,73,0,0,1,0
0.216,474,68,0,0,1,0
0.216,474,68,0,0,1,0
0.217,474,68,0,0,1,0
0.217,474,68,0,0,1,0
0.218,65530,63,0,0,0,1
0.218,65530,63,0,0,0,1
0.219,65531,63,1,0,0,1
0.219,65531,63,1,0,0,1
0.22,65531,63,1,0,0,1
0.22,65531,63,1,0,0,1
0.221,44765,63,1,1,1,1
0.221,44765,63,1,1,1,1
0.222,44765,63,1,0,1,1
0.222,44765,63,1,0,1,1
0.223,473,174,1,0,1,0
0.223,473,174,1,0,1,0
0.224,473,174,0,0,1,0
0.224,473,174,0,0,1,0
0.225,473,174,0,0,1,0
0.225,473,174,0,0,1,0
0.226,472,221,0,0,1,0
0.226,472,221,0,0,1,0
0.227,472,221,0,0,1,0
0.227,472,221,0,0,1,0
0.228,472,221,0,0,1,0
0.228,472,221,0,0,1,0
0.229,472,221,0,0,1,0
0.229,472,221,0,0,1,0
0.23,471,68,0,0,1,0
0.23,471,68,0,0,1,0
0.231,65530,63,0,0,0,1
0.231,65530,63,0,0,0,1
0.232,65531,63,1,0,0,1
0.232,65531,63,1,0,0,1
0.233,24694,63,1,1,1,1
0.233,24694,63,1,1,1,1
0.234,24694,63,1,1,1,1
0.234,24694,63,1,1,1,1
0.235,24694,63,1,1,1,1
0.235,24694,63,1,1,1,1
0.236,24694,63,1,1,1,1
0.236,24694,63,1,1,1,1
0.237,24694,63,1,0,1,1
0.237,24694,63,1,0,1,1
0.238,470,96,1,0,1,0
0.238,470,96,1,0,1,0
0.239,470,96,0,0,1,0
0.239,470,96,0,0,1,0
0.24,470,96,0,0,1,0
0.24,470,96,0,0,1,0
0.241,470,96,0,0,1,0
0.241,470,96,0,0,1,0
0.242,469,118,0,0,1,0
0.242,469,118,0,0,1,0
0.243,468,68,0,0,1,0
0.243,468,68,0,0,1,0
0.244,65530,63,0,0,0,1
0.244,65530,63,0,0,0,1
0.245,65531,63,1,0,0,1
0.245,65531,63,1,0,0,1
0.246,65531,63,1,0,0,1
0.246,65531,63,1,0,0,1
0.247,61314,63,1,1,1,1
0.247,61314,63,1,1,1,1
0.248,61314,63,1,0,1,1
0.248,61314,63,1,0,1,1
0.249,467,239,1,0,1,0
0.249,467,239,1,0,1,0
0.25,467,239,0,0,1,0
0.25,467,239,0,0,1,0
0.251,466,130,0,0,1,0
0.251,466,130,0,0,1,0
0.252,465,68,0,0,1,0
0.252,465,68,0,0,1,0
0.253,465,68,0,0,1,0
0.253,465,68,0,0,1,0
0.254,465,68,0,0,1,0
0.254,465,68,0,0,1,0
0.255,65530,63,0,0,0,1
0.255,65530,63,0,0,0,1
0.256,65530,63,1,0,0,1
0.256,65530,63,1,0,0,1
0.257,65531,63,1,0,0,1
0.257,65531,63,1,0,0,1
0.258,37114,63,1,1,1,1
0.258,37114,63,1,1,1,1
0.259,37114,63,1,1,1,1
0.259,37114,63,1,1,1,1
0.26,37114,63,1,1,1,1
0.26,37114,63,1,1,1,1
0.261,37115,63,1,0,1,1
0.261,37115,63,1,0,1,1
0.262,163,63,1,0,1,1
0.262,163,63,1,0,1,1
0.263,37116,252,1,0,1,1
0.263,37116,252,1,0,1,1
0.264,37116,252,1,0,1,1
0.264,37116,252,1,0,1,1
0.265,37117,144,1,1,1,1
0.265,37117,144,1,1,1,1
0.266,37117,145,1,0,1,1
0.266,37117,145,1,0,1,1
0.267,37117,145,1,0,1,1
0.267,37117,145,1,0,1,1
0.268,37117,145,1,0,1,1
0.268,37117,145,1,0,1,1
0.269,37117,145,1,0,1,1
0.269,37117,145,1,0,1,1
0.27,464,144,1,0,1,0
0.27,464,144,1,0,1,0
0.271,463,253,0,0,1,0
0.271,463,253,0,0,1,0
0.272,463,253,0,0,1,0
0.272,463,253,0,0,1,0
0.273,463,253,0,0,1,0
0.273,463,253,0,0,1,0
0.274,462,68,0,0,1,0
0.274,462,68,0,0,1,0
0.275,65530,144,0,0,0,1
0.275,65530,144,0,0,0,1
0.276,65530,144,1,0,0,1
0.276,65530,144,1,0,0,1
0.277,65531,144,1,0,0,1
0.277,65531,144,1,0,0,1
0.278,6863,144,1,1,1,1
0.278,6863,144,1,1,1,1
0.279,6863,144,1,1,1,1
0.279,6863,144,1,1,1,1
0.28,6864,144,1,0,1,1
0.28,6864,144,1,0,1,1
0.281,6865,0,1,0,1,1
0.281,6865,0,1,0,1,1
0.282,6865,0,1,0,1,1
0.282,6865,0,1,0,1,1
0.283,8960,0,1,0,1,1
0.283,8960,0,1,0,1,1
0.284,8960,118,1,0,1,1
0.284,8960,118,1,0,1,1
0.285,8960,118,1,0,1,1
0.285,8960,118,1,0,1,1
0.286,8960,118,1,0,1,1
0.286,8960,118,1,0,1,1
0.287,8960,118,1,0,1,0
0.287,8960,118,1,0,1,0
0.288,6866,187,0,1,1,1
0.288,6866,187,0,1,1,1
0.289,6866,187,1,1,1,1
0.289,6866,187,1,1,1,1
0.29,6866,187,1,1,1,1
0.29,6866,187,1,1,1,1
0.291,6866,187,1,1,1,1
0.291,6866,187,1,1,1,1
0.292,6866,187,1,0,1,1
0.292,6866,187,1,0,1,1
0.293,461,26,1,0,1,0
0.293,461,26,1,0,1,0
0.294,461,26,0,0,1,0
0.294,461,26,0,0,1,0
0.295,460,210,0,0,1,0
0.295,460,210,0,0,1,0
0.296,460,210,0,0,1,0
0.296,460,210,0,0,1,0
0.297,460,210,0,0,1,0
0.297,460,210,0,0,1,0
0.298,460,210,0,0,1,0
0.298,460,210,0,0,1,0
0.299,460,210,0,0,1,0
0.299,460,210,0,0,1,0
0.3,459,69,0,0,1,0
0.3,459,69,0,0,1,0
0.301,459,69,0,0,1,0
0.301,459,69,0,0,1,0
0.302,459,69,0,0,1,0
0.302,459,69,0,0,1,0
0.303,65530,187,0,0,0,1
0.303,65530,187,0,0,0,1
0.304,65531,187,1,0,0,1
0.304,65531,187,1,0,0,1
0.305,7029,187,1,1,1,1
0.305,7029,187,1,1,1,1
0.306,7030,63,1,0,1,1
0.306,7030,63,1,0,1,1
0.307,7031,146,1,0,1,1
0.307,7031,146,1,0,1,1
0.308,146,147,1,0,1,1
0.308,146,147,1,0,1,1
0.309,147,134,1,0,1,1
0.309,147,134,1,0,1,1
0.31,147,134,1,0,1,1
0.31,147,134,1,0,1,1
0.311,147,134,1,0,1,1
0.311,147,134,1,0,1,1
0.312,147,134,1,0,1,1
0.312,147,134,1,0,1,1
0.313,147,134,1,0,1,1
0.313,147,134,1,0,1,1
0.314,147,134,1,0,1,1
0.314,147,134,1,0,1,1
0.315,57478,0,1,0,1,1
0.315,57478,0,1,0,1,1
0.316,57478,0,1,0,1,1
0.316,57478,0,1,0,1,1
0.317,57478,0,1,0,1,1
0.317,57478,0,1,0,1,1
0.318,57478,0,1,0,1,1
0.318,57478,0,1,0,1,1
0.319,57478,0,1,0,1,1
0.319,57478,0,1,0,1,1
0.32,7031,0,1,1,1,1
0.32,7031,0,1,1,1,1
0.321,7031,0,1,1,1,1
0.321,7031,0,1,1,1,1
0.322,7031,0,1,1,1,1
0.322,7031,0,1,1,1,1
0.323,7031,0,1,0,1,1
0.323,7031,0,1,0,1,1
0.324,458,27,1,0,1,0
0.324,458,27,1,0,1,0
0.325,458,27,0,0,1,0
0.325,458,27,0,0,1,0
0.326,458,27,0,0,1,0
0.326,458,27,0,0,1,0
0.327,458,27,0,0,1,0
0.327,458,27,0,0,1,0
0.328,457,119,0,0,1,0
0.328,457,119,0,0,1,0
0.329,457,119,0,0,1,0
0.329,457,119,0,0,1,0
0.33,457,119,0,0,1,0
0.33,457,119,0,0,1,0
0.331,456,71,0,0,1,0
0.331,456,71,0,0,1,0
0.332,65530,0,0,0,0,1
0.332,65530,0,0,0,0,1
0.333,65530,0,1,0,0,1
0.333,65530,0,1,0,0,1
0.334,65531,0,1,0,0,1
0.334,65531,0,1,0,0,1
0.335,20912,0,1,1,1,1
0.335,20912,0,1,1,1,1
0.336,20912,0,1,1,1,1
0.336,20912,0,1,1,1,1
0.337,20912,0,1,1,1,1
0.337,20912,0,1,1,1,1
0.338,20912,0,1,1,1,1
0.338,20912,0,1,1,1,1
0.339,20912,0,1,1,1,1
0.339,20912,0,1,1,1,1
0.34,20912,0,1,0,1,1
0.34,20912,0,1,0,1,1
0.341,20912,0,1,0,1,1
0.341,20912,0,1,0,1,1
0.342,20912,0,1,0,1,1
0.342,20912,0,1,0,1,1
0.343,20912,0,1,0,1,1
0.343,20912,0,1,0,1,1
0.344,20912,0,1,0,1,1
0.344,20912,0,1,0,1,1
0.345,20912,0,1,0,1,1
0.345,20912,0,1,0,1,1
0.346,20912,0,1,0,1,1
0.346,20912,0,1,0,1,1
0.347,455,81,1,0,1,0
0.347,455,81,1,0,1,0
0.348,455,81,0,0,1,0
0.348,455,81,0,0,1,0
0.349,455,81,0,0,1,0
0.349,455,81,0,0,1,0
0.35,454,176,0,0,1,0
0.35,454,176,0,0,1,0
0.351,453,71,0,0,1,0
0.351,453,71,0,0,1,0
0.352,65530,0,0,0,0,1
0.352,65530,0,0,0,0,1
0.353,65531,0,1,0,0,1
0.353,65531,0,1,0,0,1
0.354,47270,0,1,1,1,1
0.354,47270,0,1,1,1,1
0.355,47271,0,1,0,1,1
0.355,47271,0,1,0,1,1
0.356,47,0,1,0,1,1
0.356,47,0,1,0,1,1
0.357,47,0,1,0,1,1
0.357,47,0,1,0,1,1
0.358,47,0,1,0,1,1
0.358,47,0,1,0,1,1
0.359,47,126,1,0,1,1
0.359,47,126,1,0,1,1
0.36,47,122,1,0,1,0
0.36,47,122,1,0,1,0
0.361,47,122,0,0,1,0
0.361,47,122,0,0,1,0
0.362,47272,126,0,1,1,1
0.362,47272,126,0,1,1,1
0.363,47272,126,1,1,1,1
0.363,47272,126,1,1,1,1
0.364,47272,126,1,1,1,1
0.364,47272,126,1,1,1,1
0.365,47272,126,1,0,1,1
0.365,47272,126,1,0,1,1
0.366,47272,126,1,0,1,1
0.366,47272,126,1,0,1,1
0.367,47272,126,1,0,1,1
0.367,47272,126,1,0,1,1
0.368,452,184,1,0,1,0
0.368,452,184,1,0,1,0
0.369,452,184,0,0,1,0
0.369,452,184,0,0,1,0
0.37,452,184,0,0,1,0
0.37,452,184,0,0,1,0
0.371,451,168,0,0,1,0
0.371,451,168,0,0,1,0
0.372,450,71,0,0,1,0
0.372,450,71,0,0,1,0
0.373,65530,126,0,0,0,1
0.373,65530,126,0,0,0,1
0.374,65531,126,1,0,0,1
0.374,65531,126,1,0,0,1
0.375,65531,126,1,0,0,1
0.375,65531,126,1,0,0,1
0.376,43153,126,1,1,1,1
0.376,43153,126,1,1,1,1
0.377,43153,126,1,1,1,1
0.377,43153,126,1,1,1,1
0.378,43153,126,1,1,1,1
0.378,43153,126,1,1,1,1
0.379,43153,126,1,0,1,1
0.379,43153,126,1,0,1,1
0.38,449,168,1,0,1,0
0.38,449,168,1,0,1,0
0.381,449,168,0,0,1,0
0.381,449,168,0,0,1,0
0.382,449,168,0,0,1,0
0.382,449,168,0,0,1,0
0.383,449,168,0,0,1,0
0.383,449,168,0,0,1,0
0.384,448,145,0,0,1,0
0.384,448,145,0,0,1,0
0.385,447,71,0,0,1,0
0.385,447,71,0,0,1,0
0.386,65530,126,0,0,0,1
0.386,65530,126,0,0,0,1
0.387,65530,126,1,0,0,1
0.387,65530,126,1,0,0,1
0.388,65530,126,1,0,0,1
0.388,65530,126,1,0,0,1
0.389,65531,126,1,0,0,1
0.389,65531,126,1,0,0,1
0.39,60870,126,1,1,1,1
0.39,60870,126,1,1,1,1
0.391,60871,126,1,0,1,1
0.391,60871,126,1,0,1,1
0.392,60871,126,1,0,1,1
0.392,60871,126,1,0,1,1
0.393,60871,126,1,0,1,1
0.393,60871,126,1,0,1,1
0.394,20,126,1,0,1,1
0.394,20,126,1,0,1,1
0.395,20,126,1,0,1,1
0.395,20,126,1,0,1,1
0.396,20,126,1,0,1,1
0.396,20,126,1,0,1,1
0.397,60872,196,1,1,1,1
0.397,60872,196,1,1,1,1
0.398,60873,196,1,0,1,1
0.398,60873,196,1,0,1,1
0.399,60873,196,1,0,1,1
0.399,60873,196,1,0,1,1
0.4,60873,196,1,0,1,1
0.4,60873,196,1,0,1,1
0.401,60873,196,1,0,1,1
0.401,60873,196,1,0,1,1
0.402,60873,196,1,0,1,1
0.402,60873,196,1,0,1,1
0.403,60873,196,1,0,1,1
0.403,60873,196,1,0,1,1
0.404,60873,196,1,0,1,1
0.404,60873,196,1,0,1,1
0.405,60873,196,1,0,1,1
0.405,60873,196,1,0,1,1
0.406,60873,196,1,0,1,1
0.406,60873,196,1,0,1,1
0.407,60873,196,1,0,1,1
0.407,60873,196,1,0,1,1
0.408,60873,196,1,0,1,1
0.408,60873,196,1,0,1,1
0.409,60873,196,1,0,1,1
0.409,60873,196,1,0,1,1
0.41,60873,196,1,0,1,1
0.41,60873,196,1,0,1,1
0.411,60873,196,1,0,1,1
0.411,60873,196,1,0,1,1
0.412,60873,196,1,1,1,1
0.412,60873,196,1,1,1,1
0.413,60873,196,1,0,1,1
0.413,60873,196,1,0,1,1
0.414,60873,196,1,0,1,1
0.414,60873,196,1,0,1,1
0.415,446,237,1,0,1,0
0.415,446,237,1,0,1,0
0.416,446,237,0,0,1,0
0.416,446,237,0,0,1,0
0.417,446,237,0,0,1,0
0.417,446,237,0,0,1,0
0.418,446,237,0,0,1,0
0.418,446,237,0,0,1,0
0.419,446,237,0,0,1,0
