"time","Tres","heatCapacitor_T","switch_Control"
2.04,298.35898,25.208994,1
2.06,298.34866,25.198662,1
2.08,298.33835,25.188343,1
2.1,298.32803,25.178038,1
2.12,298.31775,25.167746,1
2.14,298.30746,25.157469,1
2.16,298.2972,25.147203,1
2.18,298.28696,25.136953,1
2.2,298.2767,25.126717,1
2.22,298.26648,25.116493,1
2.24,298.2563,25.106285,1
2.26,298.2461,25.096088,1
2.28,298.4048,25.254795,0
2.3,298.58948,25.43948,0
2.32,298.77374,25.623735,0
2.34,298.95764,25.807653,0
2.36,299.14124,25.991236,0
2.38,299.32425,26.174236,0
2.4,299.50677,26.356773,0
2.42,299.68887,26.538866,0
2.44,299.8705,26.72051,0
2.46,300.05164,26.901632,0
2.48,300.23227,27.082273,0
2.5,300.41245,27.262436,0
2.52,300.59213,27.442118,0
2.54,300.7713,27.621302,0
2.56,300.95,27.800003,0
2.58,301.1282,27.978218,0
2.6,301.30594,28.15595,0
2.62,301.4832,28.333199,0
2.64,301.65997,28.509962,0
2.66,301.83627,28.686272,0
2.68,301.95187,28.801865,1
2.7,301.93433,28.78432,1
2.72,301.9168,28.766811,1
2.74,301.89932,28.749325,1
2.76,301.88187,28.731861,1
2.78,301.8644,28.714422,1
2.8,301.84705,28.697035,1
2.82,301.82968,28.679682,1
2.84,301.81235,28.662357,1
2.86,301.79507,28.645065,1
2.88,301.7778,28.627804,1
2.9,301.76056,28.610573,1
2.92,301.74338,28.593372,1
2.94,301.7262,28.57621,1
2.96,301.70908,28.559086,1
2.98,301.692,28.541996,1
3,301.67493,28.524939,1
3.02,301.6579,28.507914,1
3.04,301.64093,28.490921,1
3.06,301.62396,28.473963,1
3.08,301.68985,28.539858,0
3.1,301.86566,28.71566,0
3.12,302.04105,28.891035,0
3.14,302.2161,29.06609,0
3.16,302.39075,29.240759,0
3.18,302.5649,29.414911,0
3.2,302.73865,29.58864,0
3.22,302.91196,29.761948,0
3.24,303.08478,29.934772,0
3.26,303.25714,30.107136,0
3.28,303.42905,30.279047,0
3.3,303.6005,30.450497,0
3.32,303.77148,30.621475,0
3.34,303.942,30.791996,0
3.36,304.11206,30.962057,0
3.38,304.28165,31.131657,0
3.4,304.4508,31.300798,0
3.42,304.61948,31.469484,0
3.44,304.78775,31.637758,0
3.46,304.95557,31.80558,0
3.48,305.12296,31.972948,0
3.5,305.28986,32.139866,0
3.52,305.45633,32.306328,0
3.54,305.49387,32.343872,1
3.56,305.46933,32.319317,1
3.58,305.44482,32.294834,1
3.6,305.42038,32.270382,1
3.62,305.39597,32.245964,1
3.64,305.37158,32.22158,1
3.66,305.34723,32.197227,1
3.68,305.3229,32.172905,1
3.7,305.2986,32.148617,1
3.72,305.27435,32.12436,1
3.74,305.25015,32.10016,1
3.76,305.226,32.076027,1
3.78,305.20193,32.051933,1
3.8,305.1779,32.02789,1
3.82,305.15387,32.003883,1
3.84,305.1299,31.97992,1
3.86,305.106,31.956001,1
3.88,305.08212,31.932125,1
3.9,305.0732,31.92322,0
3.92,305.24002,32.090015,0
3.94,305.4065,32.25648,0
3.96,305.5725,32.4225,0
3.98,305.73813,32.588116,0
4,305.90326,32.75326,0
4.02,306.068,32.91798,0
4.04,306.23227,33.082264,0
4.06,306.39612,33.246105,0
4.08,306.5595,33.409504,0
4.1,306.72247,33.572464,0
4.12,306.88498,33.73499,0
4.14,307.0471,33.89708,0
4.16,307.20874,34.058727,0
4.18,307.36996,34.21995,0
4.2,307.5308,34.38078,0
4.22,307.69116,34.541176,0
4.24,307.85114,34.70114,0
4.26,308.01068,34.860676,0
4.28,308.16977,35.01978,0
4.3,308.32846,35.178455,0
4.32,308.4867,35.336697,0
4.34,308.6445,35.49451,0
4.36,308.80188,35.651894,0
4.38,308.95886,35.80885,0
4.4,309.11536,35.96537,0
4.42,309.1728,36.022793,1
4.44,309.1409,35.9909,1
4.46,309.1091,35.959095,1
4.48,309.07733,35.927334,1
4.5,309.04562,35.895615,1
4.52,309.01395,35.863937,1
4.54,308.9823,35.832302,1
4.56,308.9507,35.800713,1
4.58,308.91916,35.76916,1
4.6,308.8877,35.737686,1
4.62,308.8563,35.70629,1
4.64,308.82495,35.67495,1
4.66,308.79367,35.643665,1
4.68,308.76242,35.612434,1
4.7,308.73126,35.58126,1
4.72,308.70013,35.550144,1
4.74,308.66907,35.51908,1
4.76,308.6577,35.50773,0
4.78,308.8148,35.664787,0
4.8,308.97153,35.821514,0
4.82,309.1279,35.97791,0
4.84,309.28387,36.133877,0
4.86,309.43948,36.28947,0
4.88,309.59464,36.44463,0
4.9,309.7494,36.59938,0
4.92,309.90372,36.75373,0
4.94,310.05768,36.90768,0
4.96,310.2112,37.061207,0
4.98,310.36432,37.21433,0
5,310.51703,37.367043,0
5.02,310.66934,37.51935,0
5.04,310.82126,37.67125,0
5.06,310.97275,37.822742,0
5.08,311.12384,37.973835,0
5.1,311.27457,38.124565,0
5.12,311.4249,38.2749,0
5.14,311.57483,38.42483,0
5.16,311.72437,38.574364,0
5.18,311.8735,38.723495,0
5.2,312.02222,38.872227,0
5.22,312.17056,39.02056,0
5.24,312.31848,39.16849,0
5.26,312.46603,39.316025,0
5.28,312.61316,39.463158,0
5.3,312.7599,39.60989,0
5.32,312.90622,39.75622,0
5.34,313.05215,39.902153,0
5.36,313.05554,39.905544,1
5.38,313.01596,39.86596,1
5.4,312.97653,39.826534,1
5.42,312.93716,39.787163,1
5.44,312.89783,39.74784,1
5.46,312.85858,39.708572,1
5.48,312.81937,39.669357,1
5.5,312.78018,39.63019,1
5.52,312.7411,39.59108,1
5.54,312.70203,39.55202,1
5.56,312.66302,39.513016,1
5.58,312.62405,39.47406,1
5.6,312.58517,39.43518,1
5.62,312.54645,39.396435,1
5.64,312.50775,39.357758,1
5.66,312.46915,39.319153,1
5.68,312.5109,39.360897,0
5.7,312.65753,39.507523,0
5.72,312.80374,39.65374,0
5.74,312.9497,39.799698,0
5.76,313.0954,39.945393,0
5.78,313.2407,40.090683,0
5.8,313.3856,40.235588,0
5.82,313.53015,40.38015,0
5.84,313.67438,40.524364,0
5.86,313.81818,40.66819,0
5.88,313.96164,40.811634,0
5.9,314.1047,40.954712,0
5.92,314.2474,41.097416,0
5.94,314.38974,41.23974,0
5.96,314.53168,41.381683,0
5.98,314.67325,41.52325,0
6,314.81445,41.664448,0
6.02,314.95526,41.80527,0
6.04,315.09573,41.94572,0
6.06,315.23578,42.085793,0
6.08,315.37552,42.22553,0
6.1,315.51492,42.364914,0
6.12,315.65393,42.50393,0
6.14,315.79257,42.642582,0
6.16,315.93088,42.780865,0
6.18,316.0688,42.91878,0
6.2,316.20633,43.056328,0
6.22,316.3435,43.19351,0
6.24,316.48032,43.330322,0
6.26,316.61676,43.466766,0
6.28,316.75284,43.602844,0
6.3,316.88855,43.738556,0
6.32,317.0239,43.873898,0
6.34,317.15887,44.008873,0
6.36,317.2935,44.143482,0
6.38,317.3282,44.178185,1
6.4,317.28006,44.13006,1
6.42,317.23212,44.082104,1
6.44,317.1842,44.03421,1
6.46,317.13638,43.986385,1
6.48,317.08862,43.938618,1
6.5,317.04092,43.89092,1
6.52,316.9933,43.84328,1
6.54,316.9457,43.795708,1
6.56,316.8982,43.748196,1
6.58,316.8508,43.70079,1
6.6,316.80353,43.65352,1
6.62,316.75635,43.60633,1
6.64,316.70923,43.55923,1
6.66,316.6622,43.51221,1
6.68,316.66403,43.514038,0
6.7,316.7995,43.649494,0
6.72,316.93454,43.78454,0
6.74,317.06934,43.919346,0
6.76,317.20392,44.053913,0
6.78,317.33826,44.188244,0
6.8,317.4723,44.322277,0
6.82,317.60587,44.455864,0
6.84,317.73914,44.589134,0
6.86,317.8721,44.72209,0
6.88,318.00473,44.854733,0
6.9,318.13705,44.98706,0
6.92,318.269,45.11902,0
6.94,318.40063,45.25063,0
6.96,318.5319,45.381905,0
6.98,318.66284,45.51284,0
7,318.79343,45.64344,0
7.02,318.9237,45.7737,0
7.04,319.05362,45.903614,0
7.06,319.1832,46.03319,0
7.08,319.31244,46.162426,0
7.1,319.4413,46.29132,0
7.12,319.5699,46.41988,0
7.14,319.6981,46.548096,0
7.16,319.826,46.675976,0
7.18,319.95352,46.803516,0
7.2,320.08078,46.93079,0
7.22,320.20773,47.05774,0
7.24,320.33435,47.184353,0
7.26,320.46063,47.310635,0
7.28,320.58658,47.43659,0
7.3,320.71222,47.56221,0
7.32,320.8375,47.687496,0
7.34,320.96246,47.812454,0
7.36,321.08707,47.93708,0
7.38,321.21136,48.061375,0
7.4,321.33533,48.185337,0
7.42,321.45898,48.30897,0
7.44,321.58228,48.43227,0
7.46,321.70523,48.555237,0
7.48,321.82788,48.677876,0
7.5,321.9502,48.800182,0
7.52,322.07214,48.922153,0
7.54,322.1938,49.043797,0
7.56,322.3151,49.165108,0
7.58,322.26434,49.11433,1
7.6,322.2063,49.056313,1
7.62,322.1485,48.998505,1
7.64,322.0908,48.940777,1
7.66,322.0331,48.883125,1
7.68,321.97556,48.82555,1
7.7,321.91806,48.76805,1
7.72,321.86063,48.710632,1
7.74,321.80328,48.653286,1
7.76,321.74612,48.596123,1
7.78,321.68906,48.53906,1
7.8,321.6321,48.482098,1
7.82,321.57523,48.42524,1
7.84,321.5185,48.36848,1
7.86,321.59628,48.446285,0
7.88,321.71887,48.56886,0
7.9,321.84097,48.690983,0
7.92,321.9629,48.812893,0
7.94,322.0846,48.93459,0
7.96,322.2061,49.05607,0
7.98,322.32724,49.177246,0
8,322.44806,49.29806,0
8.02,322.56836,49.41837,0
8.04,322.68842,49.5384,0
8.06,322.80795,49.657963,0
8.08,322.9273,49.777317,0
8.1,323.04645,49.89646,0
8.12,323.1654,50.0154,0
8.14,323.2841,50.134075,0
8.16,323.40237,50.25237,0
8.18,323.5204,50.370388,0
8.2,323.63812,50.48813,0
8.22,323.75558,50.60559,0
8.24,323.87277,50.72278,0
8.26,323.98962,50.83963,0
8.28,324.1062,50.956184,0
8.3,324.11142,50.96143,1
8.32,324.0498,50.899815,1
8.34,323.98846,50.838474,1
8.36,323.92722,50.777218,1
8.38,323.86603,50.716038,1
8.4,323.80493,50.654945,1
8.42,323.74393,50.59393,1
8.44,323.68298,50.532997,1
8.46,323.62213,50.472145,1
8.48,323.56137,50.411377,1
8.5,323.5007,50.350685,1
8.52,323.4401,50.290077,1
8.54,323.37964,50.229652,1
8.56,323.31937,50.169376,1
8.58,323.25922,50.109207,1
8.6,323.19916,50.049145,1
8.62,323.1392,49.98919,1
8.64,323.07935,49.92934,1
8.66,323.0196,49.8696,1
8.68,322.95996,49.809963,1
8.7,322.90042,49.750435,1
8.72,322.841,49.691013,1
8.74,322.7817,49.6317,1
8.76,322.72253,49.57252,1
8.78,322.66348,49.513466,1
8.8,322.60452,49.454525,1
8.82,322.5457,49.3957,1
8.84,322.487,49.336987,1
8.86,322.42838,49.278385,1
8.88,322.3699,49.219902,1
8.9,322.31152,49.16153,1
8.92,322.25327,49.10327,1
8.94,322.19513,49.045124,1
8.96,322.17703,49.02702,0
8.98,322.298,49.148,0
9,322.4186,49.268616,0
9.02,322.53903,49.389023,0
9.04,322.6592,49.50922,0
9.06,322.7792,49.629204,0
9.08,322.89886,49.748863,0
9.1,323.0182,49.86818,0
9.12,323.1372,49.987217,0
9.14,323.25598,50.105976,0
9.16,323.37445,50.224457,0
9.18,323.4926,50.34263,0
9.2,323.61047,50.460484,0
9.22,323.72803,50.578037,0
9.24,323.8453,50.695293,0
9.26,323.96225,50.812252,0
9.28,324.07892,50.92891,0
9.3,324.12592,50.975903,1
9.32,324.0642,50.914207,1
9.34,324.00272,50.85272,1
9.36,323.9413,50.791306,1
9.38,323.87997,50.729977,1
9.4,323.81873,50.66873,1
9.42,323.75757,50.607567,1
9.44,323.69647,50.546482,1
9.46,323.63547,50.48548,1
9.48,323.57465,50.424644,1
9.5,323.51395,50.36394,1
9.52,323.45334,50.30335,1
9.54,323.39285,50.24286,1
9.56,323.3325,50.18248,1
9.58,323.27222,50.122208,1
9.6,323.21204,50.062042,1
9.62,323.15198,50.001987,1
9.64,323.09207,49.942066,1
9.66,323.03226,49.882267,1
9.68,322.97256,49.82258,1
9.7,322.913,49.76301,1
9.72,322.85355,49.703552,1
9.74,322.79422,49.644215,1
9.76,322.735,49.584988,1
9.78,322.67587,49.52588,1
9.8,322.61688,49.466892,1
9.82,322.558,49.40802,1
9.84,322.49927,49.349262,1
9.86,322.4406,49.290623,1
9.88,322.3821,49.2321,1
9.9,322.3237,49.17369,1
9.92,322.2654,49.115402,1
9.94,322.2072,49.057224,1
9.96,322.15173,49.001747,0
9.98,322.27313,49.12312,0
10,322.39417,49.24417,0
