"Heure",	"outputs"
0.059,	285.3011
0.0591,	284.6062
0.0592,	283.5501
0.0593,	282.3945
0.0594,	281.5353
0.0595,	280.378
0.0596,	279.1896
0.0597,	277.9971
0.0598,	276.8126
0.0599,	275.6464
0.06,	274.5073
0.0601,	273.4023
0.0602,	272.3368
0.0603,	271.3143
0.0604,	270.3365
0.0605,	269.4034
0.0606,	268.5131
0.0607,	267.662
0.0608,	266.8447
0.0609,	266.0543
0.061,	265.282
0.0611,	264.5176
0.0612,	263.7495
0.0613,	262.9644
0.0614,	262.1478
0.0615,	261.2841
0.0616,	260.3564
0.0617,	259.3469
0.0618,	258.2369
0.0619,	257.007
0.062,	255.6373
0.0621,	254.107
0.0622,	252.4512
0.0623,	250.846
0.0624,	249.3251
0.0625,	247.9117
0.0626,	246.6271
0.0627,	245.49
0.0628,	244.5172
0.0629,	243.7227
0.063,	243.118
0.0631,	242.7122
0.0632,	242.5114
0.0633,	242.5194
0.0634,	242.7371
0.0635,	243.1625
0.0636,	243.7912
0.0637,	244.616
0.0638,	245.6272
0.0639,	246.8122
0.064,	248.1564
0.0641,	249.6425
0.0642,	251.2509
0.0643,	252.9602
0.0644,	254.7465
0.0645,	256.5845
0.0646,	258.4468
0.0647,	260.3047
0.0648,	262.1281
0.0649,	263.8857
0.065,	265.5453
0.0651,	267.0739
0.0652,	268.4377
0.0653,	269.6031
0.0654,	270.5358
0.0655,	271.202
0.0656,	271.5679
0.0657,	271.6004
0.0658,	271.2672
0.0659,	270.5367
0.066,	269.3786
0.0661,	267.8016
0.0662,	266.1757
0.0663,	264.6141
0.0664,	263.1319
0.0665,	261.742
0.0666,	260.4554
0.0667,	259.2809
0.0668,	258.2249
0.0669,	257.292
0.067,	256.4841
0.0671,	255.8012
0.0672,	255.241
0.0673,	254.799
0.0674,	254.4682
0.0675,	254.2401
0.0676,	254.1035
0.0677,	254.0456
0.0678,	254.0516
0.0679,	254.1049
0.068,	254.1873
0.0681,	254.2788
0.0682,	254.3583
0.0683,	254.4031
0.0684,	254.3895
0.0685,	254.2928
0.0686,	254.0875
0.0687,	253.7475
0.0688,	253.246
0.0689,	252.5562
0.069,	251.6509
0.0691,	250.5032
0.0692,	249.0862
0.0693,	247.4597
0.0694,	245.9496
0.0695,	244.605
0.0696,	243.4415
0.0697,	242.4721
0.0698,	241.7074
0.0699,	241.1552
0.07,	240.8203
0.0701,	240.7052
0.0702,	240.8093
0.0703,	241.1294
0.0704,	241.6593
0.0705,	242.3905
0.0706,	243.3116
0.0707,	244.4087
0.0708,	245.6653
0.0709,	247.0629
0.071,	248.5802
0.0711,	250.1944
0.0712,	251.8801
0.0713,	253.6106
0.0714,	255.3574
0.0715,	257.0903
0.0716,	258.7782
0.0717,	260.3886
0.0718,	261.8885
0.0719,	263.2457
0.072,	264.4425
0.0721,	265.4655
0.0722,	266.3006
0.0723,	266.9332
0.0724,	267.3487
0.0725,	267.5322
0.0726,	267.4689
0.0727,	267.2072
0.0728,	266.9807
0.0729,	266.8065
0.073,	266.6931
0.0731,	266.6469
0.0732,	266.6724
0.0733,	266.7722
0.0734,	266.947
0.0735,	267.1952
0.0736,	267.5137
0.0737,	267.8973
0.0738,	268.3387
0.0739,	268.8289
0.074,	269.3573
0.0741,	269.9114
0.0742,	270.4769
0.0743,	271.0383
0.0744,	271.5785
0.0745,	272.0789
0.0746,	272.52
0.0747,	272.881
0.0748,	273.1403
0.0749,	273.2752
0.075,	273.2628
0.0751,	273.0793
0.0752,	272.7007
0.0753,	272.1029
0.0754,	271.2616
0.0755,	270.1526
0.0756,	268.7522
0.0757,	267.1042
0.0758,	265.4353
0.0759,	263.7665
0.076,	262.0977
0.0761,	260.4289
0.0762,	258.76
0.0763,	257.0912
0.0764,	255.4224
0.0765,	253.7535
0.0766,	252.0847
0.0767,	250.4158
0.0768,	248.7469
0.0769,	247.078
0.077,	245.409
0.0771,	243.7401
0.0772,	242.0711
0.0773,	240.402
0.0774,	238.733
0.0775,	237.0644
0.0776,	235.3961
0.0777,	233.7279
0.0778,	232.0598
0.0779,	230.3917
0.078,	228.7237
0.0781,	227.0557
0.0782,	225.4481
0.0783,	223.9682
0.0784,	222.6282
0.0785,	221.4373
0.0786,	220.4022
0.0787,	219.5264
0.0788,	218.8103
0.0789,	218.2516
0.079,	217.904
0.0791,	217.8523
0.0792,	218.085
0.0793,	218.6133
0.0794,	219.4452
0.0795,	220.5857
0.0796,	222.0364
0.0797,	223.7956
0.0798,	225.8586
0.0799,	228.2171
0.08,	230.8599
0.0801,	233.7728
0.0802,	236.9382
0.0803,	240.3358
0.0804,	243.9427
0.0805,	247.7329
0.0806,	251.6782
0.0807,	255.748
0.0808,	259.9095
0.0809,	264.1279
0.081,	268.3667
0.0811,	272.588
0.0812,	276.7522
0.0813,	280.819
0.0814,	284.7472
0.0815,	288.4948
0.0816,	292.0197
0.0817,	295.2797
0.0818,	298.2327
0.0819,	300.837
0.082,	303.0518
0.0821,	304.837
0.0822,	306.1539
0.0823,	306.9651
0.0824,	307.235
0.0825,	306.9299
0.0826,	306.0179
0.0827,	304.5016
0.0828,	302.8319
0.0829,	301.1622
0.083,	299.4926
0.0831,	297.8229
0.0832,	296.1533
0.0833,	294.4836
0.0834,	292.814
0.0835,	291.1444
0.0836,	289.4749
0.0837,	287.8053
0.0838,	286.1358
0.0839,	284.4663
0.084,	282.7968
0.0841,	281.1273
0.0842,	279.4578
0.0843,	277.7884
0.0844,	276.1189
0.0845,	274.4495
0.0846,	272.7801
0.0847,	271.1107
0.0848,	269.4413
0.0849,	267.772
0.085,	266.1027
0.0851,	264.4333
0.0852,	262.764
0.0853,	261.0948
0.0854,	259.4255
0.0855,	257.7562
0.0856,	256.087
0.0857,	254.4178
0.0858,	252.7486
0.0859,	251.0794
0.086,	249.4102
0.0861,	247.7411
0.0862,	246.1142
0.0863,	244.656
0.0864,	243.3878
0.0865,	242.3211
0.0866,	241.4649
0.0867,	240.8254
0.0868,	240.4059
0.0869,	240.2073
0.087,	240.2273
0.0871,	240.4611
0.0872,	240.9012
0.0873,	241.5372
0.0874,	242.3564
0.0875,	243.3433
0.0876,	244.4803
0.0877,	245.7473
0.0878,	247.1219
0.0879,	248.58
0.088,	250.0955
0.0881,	251.6404
0.0882,	253.1854
0.0883,	254.6998
0.0884,	256.1517
0.0885,	257.5083
0.0886,	258.736
0.0887,	259.8007
0.0888,	260.668
0.0889,	261.3035
0.089,	261.6728
0.0891,	261.7419
0.0892,	261.4773
0.0893,	260.8464
0.0894,	259.8176
0.0895,	258.3604
0.0896,	256.7354
0.0897,	255.2335
0.0898,	253.8663
0.0899,	252.6451
0.09,	251.5787
0.0901,	250.6735
0.0902,	249.9336
0.0903,	249.3604
0.0904,	248.953
0.0905,	248.7079
0.0906,	248.6193
0.0907,	248.6789
0.0908,	248.8762
0.0909,	249.1983
0.091,	249.6302
0.0911,	250.1549
0.0912,	250.7532
0.0913,	251.4044
0.0914,	252.0859
0.0915,	252.7735
0.0916,	253.4418
0.0917,	254.0639
0.0918,	254.6124
0.0919,	255.0694
0.092,	255.4281
0.0921,	255.681
0.0922,	255.8197
0.0923,	255.8347
0.0924,	255.7156
0.0925,	255.4515
0.0926,	254.9964
0.0927,	254.0182
0.0928,	252.504
0.0929,	252.4001
0.093,	254.2135
0.0931,	255.5219
0.0932,	256.2784
0.0933,	256.4388
0.0934,	255.9609
0.0935,	254.8058
0.0936,	253.2157
0.0937,	251.7888
0.0938,	250.5123
0.0939,	249.3864
0.094,	248.4092
0.0941,	247.5764
0.0942,	246.8814
0.0943,	246.3153
0.0944,	245.8669
0.0945,	245.5232
0.0946,	245.2689
0.0947,	245.0869
0.0948,	244.9583
0.0949,	244.8624
0.095,	244.7771
0.0951,	244.6789
0.0952,	244.5431
0.0953,	244.3438
0.0954,	244.0544
0.0955,	243.6474
0.0956,	243.0948
0.0957,	242.3684
0.0958,	241.4396
0.0959,	240.2801
0.096,	238.8616
0.0961,	237.2223
0.0962,	235.6825
0.0963,	234.3761
0.0964,	233.3163
0.0965,	232.5137
0.0966,	231.9754
0.0967,	231.706
0.0968,	231.7066
0.0969,	231.9756
0.097,	232.5082
0.0971,	233.2965
0.0972,	234.3298
0.0973,	235.5946
0.0974,	237.0745
0.0975,	238.7504
0.0976,	240.6005
0.0977,	242.601
0.0978,	244.7254
0.0979,	246.9453
0.098,	249.2303
0.0981,	251.5483
0.0982,	253.8656
0.0983,	256.1472
0.0984,	258.357
0.0985,	260.458
0.0986,	262.4124
0.0987,	264.1823
0.0988,	265.7293
0.0989,	267.0153
0.099,	268.0022
0.0991,	268.6527
0.0992,	268.9303
0.0993,	268.7993
0.0994,	268.2254
0.0995,	267.1757
0.0996,	265.6454
0.0997,	264.0488
0.0998,	262.5381
0.0999,	261.1256
0.1,	259.8211
