"time","Folder number","Task number","FMU_Interface_OUT0_Battery Charge","FMU_Interface_OUT1_Current","FMU_Interface_OUT2_Net Voltage","FMU_Interface_OUT3_Power"
0.9,0,1,91.17148994,-115.2979247,19.57853356,-2.257372291
0.91,0,1,91.17116967,-115.297399,19.57855345,-2.257364289
0.92,0,1,91.1708494,-115.2968732,19.57857333,-2.257356288
0.93,0,1,91.17052913,-115.2963474,19.57859321,-2.257348286
0.94,0,1,91.17020886,-115.2958216,19.5786131,-2.257340284
0.95,0,1,91.1698886,-115.2952958,19.57863298,-2.257332283
0.96,0,1,91.16956833,-115.29477,19.57865287,-2.257324281
0.97,0,1,91.16924807,-115.2942442,19.57867275,-2.25731628
0.98,0,1,91.16892781,-115.2937185,19.57869263,-2.257308278
0.99,0,1,91.16860755,-115.2931927,19.57871252,-2.257300276
1,0,1,91.16828729,-115.2926669,19.5787324,-2.257292275
1.01,0,1,91.16796703,-115.2921411,19.57875228,-2.257284273
1.02,0,1,91.16764677,-115.2916153,19.57877217,-2.257276271
1.03,0,1,91.16732652,-115.2910896,19.57879205,-2.25726827
1.04,0,1,91.16700627,-115.2905638,19.57881194,-2.257260268
1.05,0,1,91.16668601,-115.290038,19.57883182,-2.257252267
1.06,0,1,91.16636576,-115.2895122,19.5788517,-2.257244265
1.07,0,1,91.16604552,-115.2889865,19.57887159,-2.257236263
1.08,0,1,91.16572527,-115.2884607,19.57889147,-2.257228262
1.09,0,1,91.16540502,-115.2879349,19.57891135,-2.25722026
1.1,0,1,91.16508478,-115.2874092,19.57893124,-2.257212258
1.11,0,1,91.16476454,-115.2868834,19.57895112,-2.257204257
1.12,0,1,91.16444429,-115.2863576,19.578971,-2.257196255
1.13,0,1,91.16412405,-115.2858319,19.57899089,-2.257188253
1.14,0,1,91.16380382,-115.2853061,19.57901077,-2.257180252
1.15,0,1,91.16348358,-115.2847803,19.57903065,-2.25717225
1.16,0,1,91.16316334,-115.2842546,19.57905054,-2.257164248
1.17,0,1,91.16284311,-115.2837288,19.57907042,-2.257156247
1.18,0,1,91.16252288,-115.2832031,19.5790903,-2.257148245
1.19,0,1,91.16220265,-115.2826773,19.57911019,-2.257140243
1.2,0,1,91.16188242,-115.2821515,19.57913007,-2.257132242
1.21,0,1,91.16156219,-115.2816258,19.57914995,-2.25712424
1.22,0,1,91.16124196,-115.2811,19.57916984,-2.257116238
1.23,0,1,91.16092174,-115.2805743,19.57918972,-2.257108237
1.24,0,1,91.16060151,-115.2800485,19.5792096,-2.257100235
1.25,0,1,91.16028129,-115.2795228,19.57922949,-2.257092233
1.26,0,1,91.15996107,-115.278997,19.57924937,-2.257084232
1.27,0,1,91.15964085,-115.2784713,19.57926925,-2.25707623
1.28,0,1,91.15932063,-115.2779455,19.57928914,-2.257068228
1.29,0,1,91.15900042,-115.2774198,19.57930902,-2.257060227
1.3,0,1,91.1586802,-115.276894,19.5793289,-2.257052225
1.31,0,1,91.15835999,-115.2763683,19.57934879,-2.257044223
1.32,0,1,91.15803977,-115.2758425,19.57936867,-2.257036221
1.33,0,1,91.15771956,-115.2753168,19.57938855,-2.25702822
1.34,0,1,91.15739935,-115.2747911,19.57940843,-2.257020218
1.35,0,1,91.15707915,-115.2742653,19.57942832,-2.257012216
1.36,0,1,91.15675894,-115.2737396,19.5794482,-2.257004215
1.37,0,1,91.15643874,-115.2732138,19.57946808,-2.256996213
1.38,0,1,91.15611853,-115.2726881,19.57948797,-2.256988211
1.39,0,1,91.15579833,-115.2721624,19.57950785,-2.256980209
1.4,0,1,91.15547813,-115.2716366,19.57952773,-2.256972208
1.41,0,1,91.15515793,-115.2711109,19.57954761,-2.256964206
1.42,0,1,91.15483773,-115.2705852,19.5795675,-2.256956204
1.43,0,1,91.15451754,-115.2700594,19.57958738,-2.256948203
1.44,0,1,91.15419734,-115.2695337,19.57960726,-2.256940201
1.45,0,1,91.15387715,-115.269008,19.57962714,-2.256932199
1.46,0,1,91.15355696,-115.2684822,19.57964703,-2.256924197
1.47,0,1,91.15323677,-115.2679565,19.57966691,-2.256916196
1.48,0,1,91.15291658,-115.2674308,19.57968679,-2.256908194
1.49,0,1,91.15259639,-115.2669051,19.57970667,-2.256900192
1.5,0,1,91.15227621,-115.2663793,19.57972656,-2.25689219
1.51,0,1,91.15195602,-115.2658536,19.57974644,-2.256884189
1.52,0,1,91.15163584,-115.2653279,19.57976632,-2.256876187
1.53,0,1,91.15131566,-115.2648022,19.5797862,-2.256868185
1.54,0,1,91.15099548,-115.2642764,19.57980609,-2.256860183
1.55,0,1,91.1506753,-115.2637507,19.57982597,-2.256852182
1.56,0,1,91.15035512,-115.263225,19.57984585,-2.25684418
1.57,0,1,91.15003495,-115.2626993,19.57986573,-2.256836178
1.58,0,1,91.14971477,-115.2621736,19.57988562,-2.256828176
1.59,0,1,91.1493946,-115.2616479,19.5799055,-2.256820175
1.6,0,1,91.14907443,-115.2611221,19.57992538,-2.256812173
1.61,0,1,91.14875426,-115.2605964,19.57994526,-2.256804171
1.62,0,1,91.14843409,-115.2600707,19.57996515,-2.256796169
1.63,0,1,91.14811392,-115.259545,19.57998503,-2.256788167
1.64,0,1,91.14779376,-115.2590193,19.58000491,-2.256780166
1.65,0,1,91.14747359,-115.2584936,19.58002479,-2.256772164
1.66,0,1,91.14715343,-115.2579679,19.58004467,-2.256764162
1.67,0,1,91.14683327,-115.2574422,19.58006456,-2.25675616
1.68,0,1,91.14651311,-115.2569165,19.58008444,-2.256748158
1.69,0,1,91.14619295,-115.2563908,19.58010432,-2.256740157
1.7,0,1,91.1458728,-115.2558651,19.5801242,-2.256732155
1.71,0,1,91.14555264,-115.2553394,19.58014408,-2.256724153
1.72,0,1,91.14523249,-115.2548137,19.58016397,-2.256716151
1.73,0,1,91.14491233,-115.254288,19.58018385,-2.256708149
1.74,0,1,91.14459218,-115.2537623,19.58020373,-2.256700148
1.75,0,1,91.14427203,-115.2532366,19.58022361,-2.256692146
1.76,0,1,91.14395189,-115.2527109,19.58024349,-2.256684144
1.77,0,1,91.14363174,-115.2521852,19.58026338,-2.256676142
1.78,0,1,91.14331159,-115.2516595,19.58028326,-2.25666814
1.79,0,1,91.14299145,-115.2511338,19.58030314,-2.256660139
1.8,0,1,91.14267131,-115.2506081,19.58032302,-2.256652137
1.81,0,1,91.14235117,-115.2500824,19.5803429,-2.256644135
1.82,0,1,91.14203103,-115.2495567,19.58036278,-2.256636133
1.83,0,1,91.14171089,-115.249031,19.58038267,-2.256628131
1.84,0,1,91.14139076,-115.2485053,19.58040255,-2.256620129
1.85,0,1,91.14107062,-115.2479797,19.58042243,-2.256612128
1.86,0,1,91.14075049,-115.247454,19.58044231,-2.256604126
1.87,0,1,91.14043036,-115.2469283,19.58046219,-2.256596124
1.88,0,1,91.14011023,-115.2464026,19.58048207,-2.256588122
1.89,0,1,91.1397901,-115.2458769,19.58050196,-2.25658012
1.9,0,1,91.13946997,-115.2453512,19.58052184,-2.256572118
1.91,0,1,91.13914984,-115.2448256,19.58054172,-2.256564117
1.92,0,1,91.13882972,-115.2442999,19.5805616,-2.256556115
1.93,0,1,91.1385096,-115.2437742,19.58058148,-2.256548113
1.94,0,1,91.13818947,-115.2432485,19.58060136,-2.256540111
1.95,0,1,91.13786935,-115.2427228,19.58062124,-2.256532109
1.96,0,1,91.13754924,-115.2421972,19.58064113,-2.256524107
1.97,0,1,91.13722912,-115.2416715,19.58066101,-2.256516105
1.98,0,1,91.136909,-115.2411458,19.58068089,-2.256508104
1.99,0,1,91.13658889,-115.2406202,19.58070077,-2.256500102
2,0,1,91.13626878,-115.2400945,19.58072065,-2.2564921
2.01,0,1,91.13594866,-115.2395688,19.58074053,-2.256484098
2.02,0,1,91.13562855,-115.2390431,19.58076041,-2.256476096
2.03,0,1,91.13530845,-115.2385175,19.58078029,-2.256468094
2.04,0,1,91.13498834,-115.2379918,19.58080018,-2.256460092
2.05,0,1,91.13466823,-115.2374661,19.58082006,-2.25645209
2.06,0,1,91.13434813,-115.2369405,19.58083994,-2.256444089
2.07,0,1,91.13402803,-115.2364148,19.58085982,-2.256436087
2.08,0,1,91.13370792,-115.2358892,19.5808797,-2.256428085
2.09,0,1,91.13338783,-115.2353635,19.58089958,-2.256420083
2.1,0,1,91.13306773,-115.2348378,19.58091946,-2.256412081
2.11,0,1,91.13274763,-115.2343122,19.58093934,-2.256404079
2.12,0,1,91.13242753,-115.2337865,19.58095922,-2.256396077
2.13,0,1,91.13210744,-115.2332609,19.58097911,-2.256388075
2.14,0,1,91.13178735,-115.2327352,19.58099899,-2.256380073
2.15,0,1,91.13146726,-115.2322096,19.58101887,-2.256372071
2.16,0,1,91.13114717,-115.2316839,19.58103875,-2.256364069
2.17,0,1,91.13082708,-115.2311583,19.58105863,-2.256356068
2.18,0,1,91.13050699,-115.2306326,19.58107851,-2.256348066
2.19,0,1,91.13018691,-115.230107,19.58109839,-2.256340064
2.2,0,1,91.12986683,-115.2295813,19.58111827,-2.256332062
2.21,0,1,91.12954674,-115.2290557,19.58113815,-2.25632406
2.22,0,1,91.12922666,-115.22853,19.58115803,-2.256316058
2.23,0,1,91.12890658,-115.2280044,19.58117791,-2.256308056
2.24,0,1,91.12858651,-115.2274787,19.58119779,-2.256300054
2.25,0,1,91.12826643,-115.2269531,19.58121767,-2.256292052
2.26,0,1,91.12794635,-115.2264274,19.58123756,-2.25628405
2.27,0,1,91.12762628,-115.2259018,19.58125744,-2.256276048
2.28,0,1,91.12730621,-115.2253762,19.58127732,-2.256268046
2.29,0,1,91.12698614,-115.2248505,19.5812972,-2.256260044
2.3,0,1,91.12666607,-115.2243249,19.58131708,-2.256252042
2.31,0,1,91.126346,-115.2237992,19.58133696,-2.25624404
2.32,0,1,91.12602594,-115.2232736,19.58135684,-2.256236039
2.33,0,1,91.12570587,-115.222748,19.58137672,-2.256228037
2.34,0,1,91.12538581,-115.2222223,19.5813966,-2.256220035
2.35,0,1,91.12506575,-115.2216967,19.58141648,-2.256212033
2.36,0,1,91.12474569,-115.2211711,19.58143636,-2.256204031
2.37,0,1,91.12442563,-115.2206454,19.58145624,-2.256196029
2.38,0,1,91.12410557,-115.2201198,19.58147612,-2.256188027
2.39,0,1,91.12378551,-115.2195942,19.581496,-2.256180025
2.4,0,1,91.12346546,-115.2190686,19.58151588,-2.256172023
2.41,0,1,91.12314541,-115.2185429,19.58153576,-2.256164021
2.42,0,1,91.12282535,-115.2180173,19.58155564,-2.256156019
2.43,0,1,91.1225053,-115.2174917,19.58157552,-2.256148017
2.44,0,1,91.12218526,-115.2169661,19.5815954,-2.256140015
2.45,0,1,91.12186521,-115.2164404,19.58161528,-2.256132013
2.46,0,1,91.12154516,-115.2159148,19.58163516,-2.256124011
2.47,0,1,91.12122512,-115.2153892,19.58165504,-2.256116009
2.48,0,1,91.12090508,-115.2148636,19.58167492,-2.256108007
2.49,0,1,91.12058503,-115.214338,19.5816948,-2.256100005
2.5,0,1,91.120265,-115.2138124,19.58171468,-2.256092003
2.51,0,1,91.11994496,-115.2132867,19.58173456,-2.256084001
2.52,0,1,91.11962492,-115.2127611,19.58175444,-2.256075999
2.53,0,1,91.11930488,-115.2122355,19.58177432,-2.256067997
2.54,0,1,91.11898485,-115.2117099,19.5817942,-2.256059995
2.55,0,1,91.11866482,-115.2111843,19.58181408,-2.256051993
2.56,0,1,91.11834479,-115.2106587,19.58183396,-2.256043991
2.57,0,1,91.11802476,-115.2101331,19.58185384,-2.256035989
2.58,0,1,91.11770473,-115.2096075,19.58187372,-2.256027987
2.59,0,1,91.1173847,-115.2090819,19.5818936,-2.256019985
2.6,0,1,91.11706468,-115.2085563,19.58191348,-2.256011983
2.61,0,1,91.11674465,-115.2080306,19.58193336,-2.256003981
2.62,0,1,91.11642463,-115.207505,19.58195324,-2.255995979
2.63,0,1,91.11610461,-115.2069794,19.58197312,-2.255987977
2.64,0,1,91.11578459,-115.2064538,19.581993,-2.255979975
2.65,0,1,91.11546457,-115.2059282,19.58201288,-2.255971973
2.66,0,1,91.11514456,-115.2054026,19.58203276,-2.255963971
2.67,0,1,91.11482454,-115.204877,19.58205264,-2.255955969
2.68,0,1,91.11450453,-115.2043515,19.58207252,-2.255947967
2.69,0,1,91.11418452,-115.2038259,19.5820924,-2.255939964
2.7,0,1,91.11386451,-115.2033003,19.58211228,-2.255931962
2.71,0,1,91.1135445,-115.2027747,19.58213216,-2.25592396
2.72,0,1,91.11322449,-115.2022491,19.58215204,-2.255915958
2.73,0,1,91.11290448,-115.2017235,19.58217192,-2.255907956
2.74,0,1,91.11258448,-115.2011979,19.58219179,-2.255899954
2.75,0,1,91.11226447,-115.2006723,19.58221167,-2.255891952
2.76,0,1,91.11194447,-115.2001467,19.58223155,-2.25588395
2.77,0,1,91.11162447,-115.1996211,19.58225143,-2.255875948
2.78,0,1,91.11130447,-115.1990955,19.58227131,-2.255867946
2.79,0,1,91.11098448,-115.19857,19.58229119,-2.255859944
2.8,0,1,91.11066448,-115.1980444,19.58231107,-2.255851942
2.81,0,1,91.11034448,-115.1975188,19.58233095,-2.25584394
2.82,0,1,91.11002449,-115.1969932,19.58235083,-2.255835938
2.83,0,1,91.1097045,-115.1964676,19.58237071,-2.255827936
2.84,0,1,91.10938451,-115.1959421,19.58239059,-2.255819933
2.85,0,1,91.10906452,-115.1954165,19.58241047,-2.255811931
2.86,0,1,91.10874453,-115.1948909,19.58243035,-2.255803929
2.87,0,1,91.10842455,-115.1943653,19.58245022,-2.255795927
2.88,0,1,91.10810456,-115.1938397,19.5824701,-2.255787925
2.89,0,1,91.10778458,-115.1933142,19.58248998,-2.255779923
2.9,0,1,91.1074646,-115.1927886,19.58250986,-2.255771921
2.91,0,1,91.10714462,-115.192263,19.58252974,-2.255763919
2.92,0,1,91.10682464,-115.1917375,19.58254962,-2.255755917
2.93,0,1,91.10650466,-115.1912119,19.5825695,-2.255747915
2.94,0,1,91.10618469,-115.1906863,19.58258938,-2.255739913
2.95,0,1,91.10586471,-115.1901608,19.58260926,-2.25573191
2.96,0,1,91.10554474,-115.1896352,19.58262914,-2.255723908
2.97,0,1,91.10522477,-115.1891096,19.58264901,-2.255715906
2.98,0,1,91.1049048,-115.1885841,19.58266889,-2.255707904
2.99,0,1,91.10458483,-115.1880585,19.58268877,-2.255699902
3,0,1,91.10426487,-115.1875329,19.58270865,-2.2556919
3.01,0,1,91.1039449,-115.1870074,19.58272853,-2.255683898
3.02,0,1,91.10362494,-115.1864818,19.58274841,-2.255675896
3.03,0,1,91.10330497,-115.1859563,19.58276829,-2.255667893
3.04,0,1,91.10298501,-115.1854307,19.58278817,-2.255659891
3.05,0,1,91.10266505,-115.1849051,19.58280804,-2.255651889
3.06,0,1,91.10234509,-115.1843796,19.58282792,-2.255643887
3.07,0,1,91.10202514,-115.183854,19.5828478,-2.255635885
3.08,0,1,91.10170518,-115.1833285,19.58286768,-2.255627883
3.09,0,1,91.10138523,-115.1828029,19.58288756,-2.255619881
3.1,0,1,91.10106528,-115.1822774,19.58290744,-2.255611878
3.11,0,1,91.10074533,-115.1817518,19.58292731,-2.255603876
3.12,0,1,91.10042538,-115.1812263,19.58294719,-2.255595874
3.13,0,1,91.10010543,-115.1807007,19.58296707,-2.255587872
3.14,0,1,91.09978548,-115.1801752,19.58298695,-2.25557987
3.15,0,1,91.09946554,-115.1796496,19.58300683,-2.255571868
3.16,0,1,91.09914559,-115.1791241,19.58302671,-2.255563865
3.17,0,1,91.09882565,-115.1785986,19.58304659,-2.255555863
3.18,0,1,91.09850571,-115.178073,19.58306646,-2.255547861
3.19,0,1,91.09818577,-115.1775475,19.58308634,-2.255539859
3.2,0,1,91.09786584,-115.1770219,19.58310622,-2.255531857
3.21,0,1,91.0975459,-115.1764964,19.5831261,-2.255523855
3.22,0,1,91.09722596,-115.1759709,19.58314598,-2.255515852
3.23,0,1,91.09690603,-115.1754453,19.58316585,-2.25550785
3.24,0,1,91.0965861,-115.1749198,19.58318573,-2.255499848
3.25,0,1,91.09626617,-115.1743942,19.58320561,-2.255491846
3.26,0,1,91.09594624,-115.1738687,19.58322549,-2.255483844
3.27,0,1,91.09562631,-115.1733432,19.58324537,-2.255475842
3.28,0,1,91.09530639,-115.1728177,19.58326525,-2.255467839
3.29,0,1,91.09498646,-115.1722921,19.58328512,-2.255459837
3.3,0,1,91.09466654,-115.1717666,19.583305,-2.255451835
3.31,0,1,91.09434662,-115.1712411,19.58332488,-2.255443833
3.32,0,1,91.0940267,-115.1707155,19.58334476,-2.255435831
3.33,0,1,91.09370678,-115.17019,19.58336463,-2.255427828
3.34,0,1,91.09338686,-115.1696645,19.58338451,-2.255419826
3.35,0,1,91.09306695,-115.169139,19.58340439,-2.255411824
3.36,0,1,91.09274703,-115.1686134,19.58342427,-2.255403822
3.37,0,1,91.09242712,-115.1680879,19.58344415,-2.255395819
3.38,0,1,91.09210721,-115.1675624,19.58346402,-2.255387817
3.39,0,1,91.0917873,-115.1670369,19.5834839,-2.255379815
3.4,0,1,91.09146739,-115.1665114,19.58350378,-2.255371813
3.41,0,1,91.09114748,-115.1659858,19.58352366,-2.255363811
3.42,0,1,91.09082758,-115.1654603,19.58354354,-2.255355808
3.43,0,1,91.09050767,-115.1649348,19.58356341,-2.255347806
3.44,0,1,91.09018777,-115.1644093,19.58358329,-2.255339804
3.45,0,1,91.08986787,-115.1638838,19.58360317,-2.255331802
3.46,0,1,91.08954797,-115.1633583,19.58362305,-2.255323799
3.47,0,1,91.08922807,-115.1628328,19.58364292,-2.255315797
3.48,0,1,91.08890817,-115.1623073,19.5836628,-2.255307795
3.49,0,1,91.08858828,-115.1617817,19.58368268,-2.255299793
3.5,0,1,91.08826839,-115.1612562,19.58370256,-2.25529179
3.51,0,1,91.08794849,-115.1607307,19.58372243,-2.255283788
3.52,0,1,91.0876286,-115.1602052,19.58374231,-2.255275786
3.53,0,1,91.08730871,-115.1596797,19.58376219,-2.255267784
3.54,0,1,91.08698882,-115.1591542,19.58378207,-2.255259781
3.55,0,1,91.08666894,-115.1586287,19.58380194,-2.255251779
3.56,0,1,91.08634905,-115.1581032,19.58382182,-2.255243777
3.57,0,1,91.08602917,-115.1575777,19.5838417,-2.255235775
3.58,0,1,91.08570929,-115.1570522,19.58386157,-2.255227772
3.59,0,1,91.08538941,-115.1565267,19.58388145,-2.25521977
3.6,0,1,91.08506953,-115.1560012,19.58390133,-2.255211768
3.61,0,1,91.08474965,-115.1554757,19.58392121,-2.255203765
3.62,0,1,91.08442977,-115.1549502,19.58394108,-2.255195763
3.63,0,1,91.0841099,-115.1544247,19.58396096,-2.255187761
3.64,0,1,91.08379002,-115.1538993,19.58398084,-2.255179759
3.65,0,1,91.08347015,-115.1533738,19.58400072,-2.255171756
3.66,0,1,91.08315028,-115.1528483,19.58402059,-2.255163754
3.67,0,1,91.08283041,-115.1523228,19.58404047,-2.255155752
3.68,0,1,91.08251055,-115.1517973,19.58406035,-2.255147749
3.69,0,1,91.08219068,-115.1512718,19.58408022,-2.255139747
3.7,0,1,91.08187081,-115.1507463,19.5841001,-2.255131745
3.71,0,1,91.08155095,-115.1502208,19.58411998,-2.255123743
3.72,0,1,91.08123109,-115.1496954,19.58413985,-2.25511574
3.73,0,1,91.08091123,-115.1491699,19.58415973,-2.255107738
3.74,0,1,91.08059137,-115.1486444,19.58417961,-2.255099736
3.75,0,1,91.08027151,-115.1481189,19.58419948,-2.255091733
3.76,0,1,91.07995166,-115.1475934,19.58421936,-2.255083731
3.77,0,1,91.0796318,-115.147068,19.58423924,-2.255075729
3.78,0,1,91.07931195,-115.1465425,19.58425912,-2.255067726
3.79,0,1,91.0789921,-115.146017,19.58427899,-2.255059724
3.8,0,1,91.07867225,-115.1454915,19.58429887,-2.255051722
3.81,0,1,91.0783524,-115.1449661,19.58431875,-2.255043719
3.82,0,1,91.07803255,-115.1444406,19.58433862,-2.255035717
3.83,0,1,91.07771271,-115.1439151,19.5843585,-2.255027715
3.84,0,1,91.07739286,-115.1433896,19.58437838,-2.255019712
3.85,0,1,91.07707302,-115.1428642,19.58439825,-2.25501171
3.86,0,1,91.07675318,-115.1423387,19.58441813,-2.255003708
3.87,0,1,91.07643334,-115.1418132,19.58443801,-2.254995705
3.88,0,1,91.0761135,-115.1412878,19.58445788,-2.254987703
3.89,0,1,91.07579366,-115.1407623,19.58447776,-2.254979701
3.9,0,1,91.07547383,-115.1402368,19.58449763,-2.254971698
3.91,0,1,91.07515399,-115.1397114,19.58451751,-2.254963696
3.92,0,1,91.07483416,-115.1391859,19.58453739,-2.254955694
3.93,0,1,91.07451433,-115.1386605,19.58455726,-2.254947691
3.94,0,1,91.0741945,-115.138135,19.58457714,-2.254939689
3.95,0,1,91.07387467,-115.1376095,19.58459702,-2.254931687
3.96,0,1,91.07355485,-115.1370841,19.58461689,-2.254923684
3.97,0,1,91.07323502,-115.1365586,19.58463677,-2.254915682
3.98,0,1,91.0729152,-115.1360332,19.58465665,-2.254907679
3.99,0,1,91.07259538,-115.1355077,19.58467652,-2.254899677
4,0,1,91.07227555,-115.1349823,19.5846964,-2.254891675
4.01,0,1,91.07195573,-115.1344568,19.58471627,-2.254883672
4.02,0,1,91.07163592,-115.1339314,19.58473615,-2.25487567
4.03,0,1,91.0713161,-115.1334059,19.58475603,-2.254867668
4.04,0,1,91.07099629,-115.1328805,19.5847759,-2.254859665
4.05,0,1,91.07067647,-115.132355,19.58479578,-2.254851663
4.06,0,1,91.07035666,-115.1318296,19.58481566,-2.25484366
4.07,0,1,91.07003685,-115.1313041,19.58483553,-2.254835658
