"time","prdata","stx","dtrn","rtsn","out1n","out2n","txrdyn","rxrdyn","irq","b_clk"
0.145,139,0,1,1,1,1,1,0,1,0
0.146,139,0,1,1,1,1,1,0,1,0
0.146,139,0,1,1,1,1,1,0,1,0
0.147,139,0,1,1,1,1,1,0,1,0
0.147,139,0,1,1,1,1,1,0,1,0
0.148,139,0,1,1,1,1,1,0,1,0
0.148,139,0,1,1,1,1,1,0,1,0
0.149,139,0,1,1,1,1,1,0,1,0
0.149,139,0,1,1,1,1,1,0,1,0
0.15,50,0,1,1,1,1,1,0,1,0
0.15,50,0,1,1,1,1,1,0,1,0
0.151,50,0,1,1,1,1,1,0,1,0
0.151,50,0,1,1,1,1,1,0,1,0
0.152,50,0,1,1,1,1,1,0,1,0
0.152,50,0,1,1,1,1,1,0,1,0
0.153,70,0,1,1,1,1,1,0,1,0
0.153,70,0,1,1,1,1,1,0,1,0
0.154,70,0,1,1,1,1,1,0,1,0
0.154,70,0,1,1,1,1,1,0,1,0
0.155,70,0,1,1,1,1,1,0,1,0
0.155,70,0,1,1,1,1,1,0,1,0
0.156,70,0,1,1,1,1,1,0,1,0
0.156,70,0,1,1,1,1,1,0,1,0
0.157,70,0,1,1,1,1,1,0,1,0
0.157,70,0,1,1,1,1,1,0,1,0
0.158,1,0,1,1,1,1,1,0,1,0
0.158,1,0,1,1,1,1,1,0,1,0
0.159,1,0,1,1,1,1,1,0,1,0
0.159,1,0,1,1,1,1,1,0,1,0
0.16,1,0,1,1,1,1,1,0,1,0
0.16,1,0,1,1,1,1,1,0,1,0
0.161,1,0,1,1,1,1,1,0,1,0
0.161,1,0,1,1,1,1,1,0,1,0
0.162,9,0,1,1,1,1,1,0,1,0
0.162,9,0,1,1,1,1,1,0,1,0
0.163,9,0,1,1,1,1,1,0,1,0
0.163,9,0,1,1,1,1,1,0,1,0
0.164,9,0,1,1,1,1,1,0,1,0
0.164,9,0,1,1,1,1,1,0,1,0
0.165,9,0,1,1,1,1,1,0,1,0
0.165,9,0,1,1,1,1,1,0,1,0
0.166,9,0,1,1,1,1,1,0,1,0
0.166,9,0,1,1,1,1,1,0,1,0
0.167,9,0,1,1,1,1,1,0,1,0
0.167,9,0,1,1,1,1,1,0,1,0
0.168,9,0,1,1,1,1,1,0,1,0
0.168,9,0,1,1,1,1,1,0,1,0
0.169,9,0,1,1,1,1,1,0,1,0
0.169,9,0,1,1,1,1,1,0,1,0
0.17,15,0,1,1,1,1,1,0,1,0
0.17,15,0,1,1,1,1,1,0,1,0
0.171,15,0,1,1,1,1,1,0,1,0
0.171,15,0,1,1,1,1,1,0,1,0
0.172,0,0,1,1,1,1,1,0,1,0
0.172,0,0,1,1,1,1,1,0,1,0
0.173,0,0,1,1,1,1,1,0,1,0
0.173,0,0,1,1,1,1,1,0,1,0
0.174,0,0,1,1,1,1,1,0,1,0
0.174,0,0,1,1,1,1,1,0,1,0
0.175,0,0,1,1,1,1,1,0,1,0
0.175,0,0,1,1,1,1,1,0,1,0
0.176,0,0,1,1,1,1,1,0,1,0
0.176,0,0,1,1,1,1,1,0,1,0
0.177,0,0,1,1,1,1,1,0,1,0
0.177,0,0,1,1,1,1,1,0,1,0
0.178,0,0,1,1,1,1,1,0,1,0
0.178,0,0,1,1,1,1,1,0,1,0
0.179,0,0,1,1,1,1,1,0,1,0
0.179,0,0,1,1,1,1,1,0,1,0
0.18,0,0,1,1,1,1,1,0,1,0
0.18,0,0,1,1,1,1,1,0,1,0
0.181,0,0,1,1,1,1,1,0,1,0
0.181,0,0,1,1,1,1,1,0,1,0
0.182,0,0,1,1,1,1,1,0,1,0
0.182,0,0,1,1,1,1,1,0,1,0
0.183,50,0,1,1,1,1,1,0,1,0
0.183,50,0,1,1,1,1,1,0,1,0
0.184,50,0,1,1,1,1,1,0,1,0
0.184,50,0,1,1,1,1,1,0,1,0
0.185,50,0,1,1,1,1,1,0,1,0
0.185,50,0,1,1,1,1,1,0,1,0
0.186,50,0,1,1,1,1,1,0,1,0
0.186,50,0,1,1,1,1,1,0,1,0
0.187,1,0,1,1,1,1,1,0,1,0
0.187,1,0,1,1,1,1,1,0,1,0
0.188,1,0,1,1,1,1,1,0,1,0
0.188,1,0,1,1,1,1,1,0,1,0
0.189,1,0,1,1,1,1,1,0,1,0
0.189,1,0,1,1,1,1,1,0,1,0
0.19,1,0,1,1,1,1,1,0,1,0
0.19,1,0,1,1,1,1,1,0,1,0
0.191,175,0,1,1,1,1,1,0,1,0
0.191,175,0,1,1,1,1,1,0,1,0
0.192,175,0,1,1,1,1,1,0,1,0
0.192,175,0,1,1,1,1,1,0,1,0
0.193,175,0,1,1,1,1,1,0,1,0
0.193,175,0,1,1,1,1,1,0,1,0
0.194,175,0,1,1,1,1,1,0,1,0
0.194,175,0,1,1,1,1,1,0,1,0
0.195,175,0,1,1,1,1,1,0,1,0
0.195,175,0,1,1,1,1,1,0,1,0
0.196,175,0,1,1,1,1,1,0,1,0
0.196,175,0,1,1,1,1,1,0,1,0
0.197,175,0,1,1,1,1,1,0,1,0
0.197,175,0,1,1,1,1,1,0,1,0
0.198,175,0,1,1,1,1,1,0,1,0
0.198,175,0,1,1,1,1,1,0,1,0
0.199,25,0,1,1,1,1,1,0,1,0
0.199,25,0,1,1,1,1,1,0,1,0
0.2,25,0,1,1,1,1,1,0,1,0
0.2,25,0,1,1,1,1,1,0,1,0
0.201,196,0,1,1,1,1,1,0,1,0
0.201,196,0,1,1,1,1,1,0,1,0
0.202,196,0,1,1,1,1,1,0,1,0
0.202,196,0,1,1,1,1,1,0,1,0
0.203,196,0,1,1,1,1,1,0,1,0
0.203,196,0,1,1,1,1,1,0,1,0
0.204,196,0,1,1,1,1,1,0,1,0
0.204,196,0,1,1,1,1,1,0,1,0
0.205,192,0,1,1,1,1,1,0,1,0
0.205,192,0,1,1,1,1,1,0,1,0
0.206,192,0,1,1,1,1,1,0,1,0
0.206,192,0,1,1,1,1,1,0,1,0
0.207,192,0,1,1,1,1,1,0,1,0
0.207,192,0,1,1,1,1,1,0,1,0
0.208,192,0,1,1,1,1,1,0,1,0
0.208,192,0,1,1,1,1,1,0,1,0
0.209,192,0,1,1,1,1,1,0,1,0
0.209,192,0,1,1,1,1,1,0,1,0
0.21,192,0,1,1,1,1,1,0,1,0
0.21,192,0,1,1,1,1,1,0,1,0
0.211,192,0,1,1,1,1,1,0,1,0
0.211,192,0,1,1,1,1,1,0,1,0
0.212,192,0,1,1,1,1,1,0,1,0
0.212,192,0,1,1,1,1,1,0,1,0
0.213,192,0,1,1,1,1,1,0,1,0
0.213,192,0,1,1,1,1,1,0,1,0
0.214,192,0,1,1,1,1,1,0,1,0
0.214,192,0,1,1,1,1,1,0,1,0
0.215,192,0,1,1,1,1,1,0,1,0
0.215,192,0,1,1,1,1,1,0,1,0
0.216,192,0,1,1,1,1,1,0,1,0
0.216,192,0,1,1,1,1,1,0,1,0
0.217,192,0,1,1,1,1,1,0,1,0
0.217,192,0,1,1,1,1,1,0,1,0
0.218,192,0,1,1,1,1,1,0,1,0
0.218,192,0,1,1,1,1,1,0,1,0
0.219,192,0,1,1,1,1,1,0,1,0
0.219,192,0,1,1,1,1,1,0,1,0
0.22,192,0,1,1,1,1,1,0,1,0
0.22,192,0,1,1,1,1,1,0,1,0
0.221,25,0,1,1,1,1,1,0,1,0
0.221,25,0,1,1,1,1,1,0,1,0
0.222,25,0,1,1,1,1,1,0,1,0
0.222,25,0,1,1,1,1,1,0,1,0
0.223,25,0,1,1,1,1,1,0,1,0
0.223,25,0,1,1,1,1,1,0,1,0
0.224,50,0,1,1,1,1,1,0,1,0
0.224,50,0,1,1,1,1,1,0,1,0
0.225,50,0,1,1,1,1,1,0,1,0
0.225,50,0,1,1,1,1,1,0,1,0
0.226,50,0,1,1,1,1,1,0,1,0
0.226,50,0,1,1,1,1,1,0,1,0
0.227,50,0,1,1,1,1,1,0,1,0
0.227,50,0,1,1,1,1,1,0,1,0
0.228,50,0,1,1,1,1,1,0,1,0
0.228,50,0,1,1,1,1,1,0,1,0
0.229,50,0,1,1,1,1,1,0,1,0
0.229,50,0,1,1,1,1,1,0,1,0
0.23,0,0,1,1,1,1,1,0,1,0
0.23,0,0,1,1,1,1,1,0,1,0
0.231,0,0,1,1,1,1,1,0,1,0
0.231,0,0,1,1,1,1,1,0,1,0
0.232,0,0,1,1,1,1,1,0,1,0
0.232,0,0,1,1,1,1,1,0,1,0
0.233,0,0,1,1,1,1,1,0,1,0
0.233,0,0,1,1,1,1,1,0,1,0
0.234,0,0,1,1,1,1,1,0,1,0
0.234,0,0,1,1,1,1,1,0,1,0
0.235,81,0,1,1,1,1,1,0,1,0
0.235,81,0,1,1,1,1,1,0,1,0
0.236,81,0,1,1,1,1,1,0,1,0
0.236,81,0,1,1,1,1,1,0,1,0
0.237,59,0,1,1,1,1,1,0,1,0
0.237,59,0,1,1,1,1,1,0,1,0
0.238,59,0,1,1,1,1,1,0,1,0
0.238,59,0,1,1,1,1,1,0,1,0
0.239,0,0,1,1,1,1,1,0,1,0
0.239,0,0,1,1,1,1,1,0,1,0
0.24,0,0,1,1,1,1,1,0,1,0
0.24,0,0,1,1,1,1,1,0,1,0
0.241,0,0,1,1,1,1,1,0,1,0
0.241,0,0,1,1,1,1,1,0,1,0
0.242,0,0,1,1,1,1,1,0,1,0
0.242,0,0,1,1,1,1,1,0,1,0
0.243,0,0,1,1,1,1,1,0,1,0
0.243,0,0,1,1,1,1,1,0,1,0
0.244,0,0,1,1,1,1,1,0,1,0
0.244,0,0,1,1,1,1,1,0,1,0
0.245,175,0,1,1,1,1,1,0,1,0
0.245,175,0,1,1,1,1,1,0,1,0
0.246,175,0,1,1,1,1,1,0,1,0
0.246,175,0,1,1,1,1,1,0,1,0
0.247,175,0,1,1,1,1,1,0,1,0
0.247,175,0,1,1,1,1,1,0,1,0
0.248,175,0,1,1,1,1,1,0,1,0
0.248,175,0,1,1,1,1,1,0,1,0
0.249,175,0,1,1,1,1,1,0,1,0
0.249,175,0,1,1,1,1,1,0,1,0
0.25,175,0,1,1,1,1,1,0,1,0
0.25,175,0,1,1,1,1,1,0,1,0
0.251,175,0,1,1,1,1,1,0,1,0
0.251,175,0,1,1,1,1,1,0,1,0
0.252,1,0,1,1,1,1,1,0,1,0
0.252,1,0,1,1,1,1,1,0,1,0
0.253,1,0,1,1,1,1,1,0,1,0
0.253,1,0,1,1,1,1,1,0,1,0
0.254,25,0,1,1,1,1,1,0,1,0
0.254,25,0,1,1,1,1,1,0,1,0
0.255,25,0,1,1,1,1,1,0,1,0
0.255,25,0,1,1,1,1,1,0,1,0
0.256,25,0,1,1,1,1,1,0,1,0
0.256,25,0,1,1,1,1,1,0,1,0
0.257,25,0,1,1,1,1,1,0,1,0
0.257,25,0,1,1,1,1,1,0,1,0
0.258,25,0,1,1,1,1,1,0,1,0
0.258,25,0,1,1,1,1,1,0,1,0
0.259,25,0,1,1,1,1,1,0,1,0
0.259,25,0,1,1,1,1,1,0,1,0
0.26,25,0,1,1,1,1,1,0,1,0
0.26,25,0,1,1,1,1,1,0,1,0
0.261,25,0,1,1,1,1,1,0,1,0
0.261,25,0,1,1,1,1,1,0,1,0
0.262,25,0,1,1,1,1,1,0,1,0
0.262,25,0,1,1,1,1,1,0,1,0
0.263,0,0,1,0,0,0,1,0,1,0
0.263,0,0,1,0,0,0,1,0,1,0
0.264,0,0,1,0,0,0,1,0,1,0
0.264,0,0,1,0,0,0,1,0,1,0
0.265,0,0,1,0,0,0,1,0,1,0
0.265,0,0,1,0,0,0,1,0,1,0
0.266,81,0,1,0,0,0,1,0,1,0
0.266,81,0,1,0,0,0,1,0,1,0
0.267,81,0,1,0,0,0,1,0,1,0
0.267,81,0,1,0,0,0,1,0,1,0
0.268,207,0,1,0,0,0,1,0,1,0
0.268,207,0,1,0,0,0,1,0,1,0
0.269,207,0,1,0,0,0,1,0,1,0
0.269,207,0,1,0,0,0,1,0,1,0
0.27,207,0,1,0,0,0,1,0,1,0
0.27,207,0,1,0,0,0,1,0,1,0
0.271,207,0,1,0,0,0,1,0,1,0
0.271,207,0,1,0,0,0,1,0,1,0
0.272,1,0,1,0,0,0,1,0,1,0
0.272,1,0,1,0,0,0,1,0,1,0
0.273,1,0,1,0,0,0,1,0,1,0
0.273,1,0,1,0,0,0,1,0,1,0
0.274,1,0,1,0,0,0,1,0,1,0
0.274,1,0,1,0,0,0,1,0,1,0
0.275,1,0,1,0,0,0,1,0,1,0
0.275,1,0,1,0,0,0,1,0,1,0
0.276,1,0,1,0,0,0,1,0,1,0
0.276,1,0,1,0,0,0,1,0,1,0
0.277,1,0,1,0,0,0,1,0,1,0
0.277,1,0,1,0,0,0,1,0,1,0
0.278,1,0,1,0,0,0,1,0,1,0
0.278,1,0,1,0,0,0,1,0,1,0
0.279,81,0,1,0,0,0,1,0,1,0
0.279,81,0,1,0,0,0,1,0,1,0
0.28,81,0,1,0,0,0,1,0,1,0
0.28,81,0,1,0,0,0,1,0,1,0
0.281,81,0,1,0,0,0,1,0,1,0
0.281,81,0,1,0,0,0,1,0,1,0
0.282,81,0,1,0,0,0,1,0,1,0
0.282,81,0,1,0,0,0,1,0,1,0
0.283,81,0,1,0,0,0,1,0,1,0
0.283,81,0,1,0,0,0,1,0,1,0
0.284,81,0,1,0,0,0,1,0,1,0
0.284,81,0,1,0,0,0,1,0,1,0
0.285,81,0,1,0,0,0,1,0,1,0
0.285,81,0,1,0,0,0,1,0,1,0
0.286,81,0,1,0,0,0,1,0,1,0
0.286,81,0,1,0,0,0,1,0,1,0
0.287,81,0,1,0,0,0,1,0,1,0
0.287,81,0,1,0,0,0,1,0,1,0
0.288,81,0,1,0,0,0,1,0,1,0
0.288,81,0,1,0,0,0,1,0,1,0
0.289,1,0,1,0,0,0,1,0,1,0
