"time","TAmb","TDif","TRes","heatCapacitor.T"
6.02,293.15,2,298.38,298.38
6.05,293.15,2,298.38,298.38
6.08,293.15,2,298.38,298.38
6.11,293.15,2,298.38,298.38
6.14,293.15,2,298.38,298.38
6.17,293.15,2,298.38,298.38
6.2,293.15,2,298.38,298.38
6.23,293.15,2,298.38,298.38
6.26,293.15,2,298.38,298.38
6.29,293.15,2,298.38,298.38
6.32,293.15,2,298.38,298.38
6.35,293.15,2,298.38,298.38
6.38,293.15,2,298.38,298.38
6.41,293.15,2,298.38,298.38
6.44,293.15,2,298.38,298.38
6.47,293.15,2,298.38,298.38
6.5,293.15,2,298.38,298.38
6.53,293.15,2,298.38,298.38
6.56,293.15,2,298.38,298.38
6.59,293.15,2,298.38,298.38
6.62,293.15,2,298.38,298.38
6.65,293.15,2,298.38,298.38
6.68,293.15,2,298.38,298.38
6.71,293.15,2,298.38,298.38
6.74,293.15,2,298.38,298.38
6.77,293.15,2,298.38,298.38
6.8,293.15,2,298.38,298.38
6.83,293.15,2,298.38,298.38
6.86,293.15,2,298.38,298.38
6.89,293.15,2,298.38,298.38
6.92,293.15,2,298.38,298.38
6.95,293.15,2,298.38,298.38
6.98,293.15,2,298.38,298.38
7.01,293.15,2,298.38,298.38
7.04,293.15,2,298.38,298.38
7.07,293.15,2,298.38,298.38
7.1,293.15,2,298.38,298.38
7.13,293.15,2,298.38,298.38
7.16,293.15,2,298.38,298.38
7.19,293.15,2,298.38,298.38
7.22,293.15,2,298.38,298.38
7.25,293.15,2,298.38,298.38
7.28,293.15,2,298.38,298.38
7.31,293.15,2,298.38,298.38
7.34,293.15,2,298.38,298.38
7.37,293.15,2,298.38,298.38
7.4,293.15,2,298.38,298.38
7.43,293.15,2,298.38,298.38
7.46,293.15,2,298.38,298.38
7.49,293.15,2,298.38,298.38
7.52,293.15,2,298.38,298.38
7.55,293.15,2,298.38,298.38
7.58,293.15,2,298.38,298.38
7.61,293.15,2,298.38,298.38
7.64,293.15,2,298.38,298.38
7.67,293.15,2,298.38,298.38
7.7,293.15,2,298.38,298.38
7.73,293.15,2,298.38,298.38
7.76,293.15,2,298.38,298.38
7.79,293.15,2,298.38,298.38
7.82,293.15,2,298.38,298.38
7.85,293.15,2,298.38,298.38
7.88,293.15,2,298.38,298.38
7.91,293.15,2,298.38,298.38
7.94,293.15,2,298.38,298.38
7.97,293.15,2,298.38,298.38
8,293.15,2,298.38,298.38
8.03,293.15,2,298.38,298.38
8.06,293.15,2,298.38,298.38
8.09,293.15,2,298.38,298.38
8.12,293.15,2,298.38,298.38
8.15,293.15,2,298.38,298.38
8.18,293.15,2,298.38,298.38
8.21,293.15,2,298.38,298.38
8.24,293.15,2,298.38,298.38
8.27,293.15,2,298.38,298.38
8.3,293.15,2,298.38,298.38
8.33,293.15,2,298.38,298.38
8.36,293.15,2,298.38,298.38
8.39,293.15,2,298.38,298.38
8.42,293.15,2,298.38,298.38
8.45,293.15,2,298.38,298.38
8.48,293.15,2,298.38,298.38
8.51,293.15,2,298.38,298.38
8.54,293.15,2,298.38,298.38
8.57,293.15,2,298.38,298.38
8.6,293.15,2,298.38,298.38
8.63,293.15,2,298.38,298.38
8.66,293.15,2,298.38,298.38
8.69,293.15,2,298.38,298.38
8.72,293.15,2,298.38,298.38
8.75,293.15,2,298.38,298.38
8.78,293.15,2,298.38,298.38
8.81,293.15,2,298.38,298.38
8.84,293.15,2,298.38,298.38
8.87,293.15,2,298.38,298.38
8.9,293.15,2,298.38,298.38
8.93,293.15,2,298.38,298.38
8.96,293.15,2,298.38,298.38
8.99,293.15,2,298.38,298.38
9.02,293.15,2,298.38,298.38
9.05,293.15,2,298.38,298.38
9.08,293.15,2,298.38,298.38
9.11,293.15,2,298.38,298.38
9.14,293.15,2,298.38,298.38
9.17,293.15,2,298.38,298.38
9.2,293.15,2,298.38,298.38
9.23,293.15,2,298.38,298.38
9.26,293.15,2,298.38,298.38
9.29,293.15,2,298.38,298.38
9.32,293.15,2,298.38,298.38
9.35,293.15,2,298.38,298.38
9.38,293.15,2,298.38,298.38
9.41,293.15,2,298.38,298.38
9.44,293.15,2,298.38,298.38
9.47,293.15,2,298.38,298.38
9.5,293.15,2,298.38,298.38
9.53,293.15,2,298.38,298.38
9.56,293.15,2,298.38,298.38
9.59,293.15,2,298.38,298.38
9.62,293.15,2,298.38,298.38
9.65,293.15,2,298.38,298.38
9.68,293.15,2,298.38,298.38
9.71,293.15,2,298.38,298.38
9.74,293.15,2,298.38,298.38
9.77,293.15,2,298.38,298.38
9.8,293.15,2,298.38,298.38
9.83,293.15,2,298.38,298.38
9.86,293.15,2,298.38,298.38
9.89,293.15,2,298.38,298.38
9.92,293.15,2,298.38,298.38
9.95,293.15,2,298.38,298.38
9.98,293.15,2,298.38,298.38
10.01,293.15,2,298.38,298.38
