"time","B1.f2.Pt","B1.f2.m","B2.f2.Pt","B2.f2.m","C1.V_bubble","C2.V_bubble","D1.f_out.m","D2.f_out.m","D3.f_out.m","D4.f_out.m","D5.f_out.m","D6.f_out.m","D7.f_out.m","D8.f_out.m","E1.on.signal[1]","E2.on.signal[1]","V1.s_pos.signal[1]","V2.s_pos.signal[1]"
12.5,5.22885,56.5705,1.40056,-69.1328,0.152272,5.24816,56.5705,-69.1328,-1.25207e-05,-3.9756e-05,7.04627e-05,-1.06769e-05,-2.01759e-07,-7.30738e-06,1,0,0,0
12.75,5.22885,56.5705,1.40056,-69.1328,0.138121,5.26546,56.5705,-69.1328,-1.25205e-05,-3.97548e-05,7.04607e-05,-1.06764e-05,-2.0176e-07,-7.30717e-06,1,0,0,0
13,5.22885,56.5705,1.40056,-69.1328,0.12397,5.28275,56.5705,-69.1328,-1.25204e-05,-3.97537e-05,7.04587e-05,-1.06759e-05,-2.0176e-07,-7.30695e-06,1,0,0,0
13.25,5.22885,56.5705,1.40056,-69.1328,0.109819,5.30005,56.5705,-69.1328,-1.25202e-05,-3.97526e-05,7.04567e-05,-1.06754e-05,-2.0176e-07,-7.30674e-06,1,0,0,0
13.5,5.22885,56.5705,1.40056,-69.1328,0.0956676,5.31734,56.5705,-69.1328,-1.25201e-05,-3.97514e-05,7.04548e-05,-1.0675e-05,-2.0176e-07,-7.30653e-06,1,0,0,0
13.75,5.22885,56.5705,1.40056,-69.1328,0.0815165,5.33463,56.5705,-69.1328,-1.25199e-05,-3.97503e-05,7.04528e-05,-1.06745e-05,-2.01761e-07,-7.30631e-06,1,0,0,0
14,5.22885,56.5705,1.40056,-69.1328,0.0673653,5.35193,56.5705,-69.1328,-1.25198e-05,-3.97491e-05,7.04508e-05,-1.0674e-05,-2.01761e-07,-7.3061e-06,1,0,0,0
14.25,5.22885,56.5705,1.40056,-69.1328,0.0532142,5.36922,56.5705,-69.1328,-1.25196e-05,-3.9748e-05,7.04488e-05,-1.06735e-05,-2.01761e-07,-7.30589e-06,1,0,0,0
14.5,5.22885,56.5705,1.40056,-69.1328,0.0390631,5.38651,56.5705,-69.1328,-1.25195e-05,-3.97468e-05,7.04468e-05,-1.06731e-05,-2.01761e-07,-7.30567e-06,1,0,0,0
14.75,5.22885,56.5705,1.40056,-69.1328,0.024912,5.40381,56.5705,-69.1328,-1.25194e-05,-3.97457e-05,7.04449e-05,-1.06726e-05,-2.01762e-07,-7.30546e-06,1,0,0,0
15,5.22885,56.5705,1.40056,-69.1328,0.0107608,5.4211,56.5705,-69.1328,-1.25192e-05,-3.97446e-05,7.04429e-05,-1.06721e-05,-2.01762e-07,-7.30525e-06,1,0,0,0
15.25,5.26841,-10.1639,1.40056,-69.1328,0,5.43839,-41.6638,-69.1328,-1.25191e-05,-3.97434e-05,7.04409e-05,-1.06716e-05,-2.01762e-07,-7.30503e-06,1,0,0,0
15.5,5.27411,-0.0779116,1.40056,-69.1328,0,5.45569,-7.12549,-69.1328,-1.25189e-05,-3.97423e-05,7.04389e-05,-1.06712e-05,-2.01762e-07,-7.30482e-06,1,0,0,0
15.75,5.274,-0.0125166,1.40056,-69.1328,0,5.47298,-1.107,-69.1328,-1.25188e-05,-3.97411e-05,7.0437e-05,-1.06707e-05,-2.01763e-07,-7.30461e-06,1,0,0,0
16,5.27395,-0.00178169,1.40056,-69.1328,0,5.49028,-0.15076,-69.1328,-1.25186e-05,-3.974e-05,7.0435e-05,-1.06702e-05,-2.01763e-07,-7.30439e-06,1,0,0,0
16.25,5.27394,-0.000155832,1.40056,-69.1328,0,5.50757,-0.0110693,-69.1328,-1.25185e-05,-3.97389e-05,7.0433e-05,-1.06697e-05,-2.01763e-07,-7.30418e-06,1,0,0,0
16.5,5.27393,3.04872e-05,1.40056,-69.1328,0,5.52486,0.00330813,-69.1328,-1.25183e-05,-3.97377e-05,7.0431e-05,-1.06693e-05,-2.01763e-07,-7.30396e-06,1,0,0,0
16.75,5.27393,2.193e-06,1.40056,-69.1328,0,5.54216,0.000185025,-69.1328,-1.25182e-05,-3.97366e-05,7.04291e-05,-1.06688e-05,-2.01764e-07,-7.30375e-06,1,0,0,0
17,5.27393,-3.00487e-07,1.40056,-69.1328,0,5.55945,-2.85365e-05,-69.1328,-1.2518e-05,-3.97354e-05,7.04271e-05,-1.06683e-05,-2.01764e-07,-7.30354e-06,1,0,0,0
17.25,5.27393,6.40698e-08,1.40056,-69.1328,0,5.57674,2.96441e-06,-69.1328,-1.25179e-05,-3.97343e-05,7.04251e-05,-1.06678e-05,-2.01764e-07,-7.30332e-06,1,0,0,0
17.5,5.27393,3.46344e-09,1.40056,-69.1328,0,5.59404,2.1731e-07,-69.1328,-1.25178e-05,-3.97332e-05,7.04231e-05,-1.06674e-05,-2.01764e-07,-7.30311e-06,1,0,0,0
17.75,5.27393,-4.91724e-10,1.40056,-69.1328,0,5.61133,-3.85955e-08,-69.1328,-1.25176e-05,-3.9732e-05,7.04212e-05,-1.06669e-05,-2.01765e-07,-7.3029e-06,1,0,0,0
18,5.27393,2.11724e-10,1.40056,-69.1328,0,5.62862,1.33343e-08,-69.1328,-1.25175e-05,-3.97309e-05,7.04192e-05,-1.06664e-05,-2.01765e-07,-7.30268e-06,1,0,0,0
18.25,5.27393,-9.6282e-12,1.40056,-69.1328,0,5.64592,-7.06734e-10,-69.1328,-1.25173e-05,-3.97297e-05,7.04172e-05,-1.06659e-05,-2.01765e-07,-7.30247e-06,1,0,0,0
18.5,5.27393,4.31576e-13,1.40056,-69.1328,0,5.66321,3.33605e-11,-69.1328,-1.25172e-05,-3.97286e-05,7.04152e-05,-1.06655e-05,-2.01765e-07,-7.30226e-06,1,0,0,0
18.75,5.27393,-4.62932e-14,1.40056,-69.1328,0,5.6805,-1.02246e-12,-69.1328,-1.2517e-05,-3.97274e-05,7.04133e-05,-1.0665e-05,-2.01765e-07,-7.30204e-06,1,0,0,0
19,5.27393,-2.17683e-14,1.40056,-69.1328,0,5.6978,4.33703e-14,-69.1328,-1.25169e-05,-3.97263e-05,7.04113e-05,-1.06645e-05,-2.01766e-07,-7.30183e-06,1,0,0,0
19.25,5.27393,1.10313e-13,1.40056,-69.1328,0,5.71509,3.15102e-13,-69.1328,-1.25167e-05,-3.97252e-05,7.04093e-05,-1.0664e-05,-2.01766e-07,-7.30162e-06,1,0,0,0
19.5,5.27393,-2.67766e-14,1.40056,-69.1328,0,5.73239,3.4872e-13,-69.1328,-1.25166e-05,-3.9724e-05,7.04073e-05,-1.06636e-05,-2.01766e-07,-7.3014e-06,1,0,0,0
19.75,5.27393,6.44469e-14,1.40056,-69.1328,0,5.74968,5.39528e-13,-69.1328,-1.25165e-05,-3.97229e-05,7.04054e-05,-1.06631e-05,-2.01766e-07,-7.30119e-06,1,0,0,0
20,5.27393,7.29174e-15,1.40056,-69.1328,0,5.76697,8.56685e-13,-69.1328,-1.25163e-05,-3.97217e-05,7.04034e-05,-1.06626e-05,-2.01766e-07,-7.30098e-06,1,0,0,0
20.25,5.2637,13.6819,1.40056,-69.1328,0,5.78427,15.1725,-69.1328,-0.100541,-0.0163376,-0.00178306,-0.000299095,-2.65016e-05,-9.4561e-06,1,0,0.02,0
20.5,5.2507,30.9229,1.40056,-69.1328,0,5.80156,32.0273,-69.1328,-19.4269,-7.72101,-2.63325,-0.973059,-0.261407,-0.0644095,1,0,0.045,0
20.75,5.23541,48.8408,1.40056,-69.1328,0,5.81885,49.8248,-69.1328,-39.7594,-15.8658,-5.42158,-2.00497,-0.54131,-0.135194,1,0,0.07,0
21,5.2184,67.0375,1.40056,-69.1328,0,5.83615,67.9613,-69.1328,-41.7433,-16.6365,-5.67274,-2.0947,-0.564633,-0.140898,1,0,0.095,0
21.25,5.04259,213.215,1.40056,-69.1328,0,5.85344,220.282,-69.1328,-46.1658,-18.1924,-6.16616,-2.27159,-0.61118,-0.152362,1,0,0.12,0
21.5,4.8772,331.652,1.40056,-69.1328,0,5.87073,331.991,-69.1328,-236.052,-94.463,-32.3022,-11.9391,-3.21261,-0.797284,1,0,0.145,0
21.75,4.6134,531.233,1.40056,-69.1328,0,5.88803,532.857,-69.1328,-365.028,-147.93,-50.8315,-18.8193,-5.08871,-1.27772,1,0,0.17,0
22,4.42385,698.925,1.40056,-69.1328,0,5.90532,700.6,-69.1328,-419.108,-172.408,-59.5807,-22.0918,-5.97586,-1.50101,1,0,0.195,0
22.25,4.21244,884.197,1.40056,-69.1328,0,5.92261,885.736,-69.1328,-497.188,-207.844,-72.342,-26.8855,-7.2799,-1.82963,1,0,0.22,0
22.5,4.13575,1060.46,1.40056,-69.1328,0,5.93991,1060.21,-69.1328,-662.633,-280.855,-98.3915,-36.6477,-9.93534,-2.49943,1,0,0.245,0
22.75,3.94106,1304.77,1.40056,-69.1328,0,5.9572,1305.58,-69.1328,-783.399,-339.73,-120.32,-44.9793,-12.2117,-3.07303,1,0,0.27,0
23,3.73557,1487.27,1.40056,-69.1328,0,5.9745,1487.68,-69.1328,-898.483,-399.953,-143.501,-53.8866,-14.6585,-3.69113,1,0,0.295,0
23.25,3.61272,1683.54,1.40056,-69.1328,0,5.99179,1684.18,-69.1328,-973.932,-447.144,-162.979,-61.5347,-16.7756,-4.22666,1,0,0.32,0
23.5,3.54034,1830.39,1.40056,-69.1328,0,6.00908,1830.41,-69.1328,-1064.6,-503.046,-186.295,-70.7412,-19.3319,-4.87416,1,0,0.345,0
23.75,3.44718,1994.23,1.40056,-69.1328,0,6.02638,1994.8,-69.1328,-1125.99,-549.506,-207.289,-79.2467,-21.7177,-5.48005,1,0,0.37,0
24,3.38541,2122.48,1.40056,-69.1328,0,6.04367,2122.42,-69.1328,-1188,-597.852,-229.843,-88.505,-24.3304,-6.14493,1,0,0.395,0
24.25,3.32382,2247.52,1.40056,-69.1328,0,6.06096,2247.86,-69.1328,-1229.76,-639.088,-250.836,-97.3703,-26.8606,-6.79066,1,0,0.42,0
24.5,3.25996,2344.46,1.40056,-69.1328,0,6.07826,2344.38,-69.1328,-1263.29,-677.398,-271.655,-106.371,-29.4561,-7.45521,1,0,0.445,0
24.75,3.18639,2428.95,1.40056,-69.1328,0,6.09555,2429.14,-69.1328,-1279.9,-708.464,-290.665,-114.897,-31.9509,-8.0965,1,0,0.47,0
25,3.12252,2491.36,1.40056,-69.1328,0,6.11284,2491.32,-69.1328,-1288.54,-735.333,-308.791,-123.291,-34.441,-8.73919,1,0,0.495,0
25.25,3.06173,2546.01,1.40056,-69.1328,0,6.13014,2546.12,-69.1328,-1286.84,-756.54,-325.366,-131.295,-36.8561,-9.3655,1,0,0.52,0
25.5,3.01458,2586.45,1.40056,-69.1328,0,6.14743,2586.44,-69.1328,-1284.99,-776.035,-341.638,-139.367,-39.3222,-10.0074,1,0,0.545,0
25.75,2.96932,2624.03,1.40056,-69.1328,0,6.16472,2624.11,-69.1328,-1277.45,-791.529,-356.725,-147.176,-41.7502,-10.6426,1,0,0.57,0
26,2.93459,2652.6,1.40056,-69.1328,0,6.18202,2652.62,-69.1328,-1269.13,-804.969,-371.2,-154.925,-44.1968,-11.2856,1,0,0.595,0
26.25,2.89437,2685.14,1.40056,-69.1328,0,6.19931,2685.31,-69.1328,-1257.9,-815.531,-384.693,-162.469,-46.623,-11.9267,1,0,0.62,0
26.5,2.86724,2707.11,1.40056,-69.1328,0,6.21661,2707.1,-69.1328,-1254.99,-827.963,-398.805,-170.398,-49.1909,-12.607,1,0,0.645,0
26.75,2.83263,2735.04,1.40056,-69.1328,0,6.2339,2735.17,-69.1328,-1244.17,-835.854,-411.293,-177.876,-51.6751,-13.2697,1,0,0.67,0
27,2.81264,2751.38,1.40056,-69.1328,0,6.25119,2751.4,-69.1328,-1235.35,-843.197,-423.448,-185.368,-54.2021,-13.9473,1,0,0.695,0
27.25,2.79256,2767.76,1.40056,-69.1328,0,6.26849,2767.84,-69.1328,-1222.35,-847.555,-434.375,-192.526,-56.6782,-14.616,1,0,0.72,0
27.5,2.7806,2777.53,1.40056,-69.1328,0,6.28578,2777.52,-69.1328,-1210.03,-850.945,-444.712,-199.575,-59.1639,-15.2914,1,0,0.745,0
27.75,2.76969,2786.48,1.40056,-69.1328,0,6.30307,2786.52,-69.1328,-1196.14,-852.535,-454.13,-206.377,-61.622,-15.9642,1,0,0.77,0
28,2.76286,2792.08,1.40056,-69.1328,0,6.32037,2792.07,-69.1328,-1183.07,-853.387,-462.967,-213.044,-64.0824,-16.6421,1,0,0.795,0
28.25,2.75679,2797.04,1.40056,-69.1328,0,6.33766,2797.06,-69.1328,-1169.74,-853.166,-471.085,-219.509,-66.5272,-17.3208,1,0,0.82,0
28.5,2.75273,2800.36,1.40056,-69.1328,0,6.35495,2800.36,-69.1328,-1157.14,-852.372,-478.646,-225.821,-68.9686,-18.0034,1,0,0.845,0
28.75,2.74926,2803.19,1.40056,-69.1328,0,6.37225,2803.2,-69.1328,-1144.84,-850.929,-485.615,-231.954,-71.3994,-18.6882,1,0,0.87,0
29,2.74679,2805.2,1.40056,-69.1328,0,6.38954,2805.2,-69.1328,-1133.24,-849.084,-492.077,-237.927,-73.8241,-19.3767,1,0,0.895,0
29.25,2.7447,2806.9,1.40056,-69.1328,0,6.40683,2806.91,-69.1328,-1122.15,-846.845,-498.034,-243.731,-76.2395,-20.068,1,0,0.92,0
29.5,2.74311,2808.19,1.40056,-69.1328,0,6.42413,2808.19,-69.1328,-1111.72,-844.344,-503.54,-249.375,-78.6471,-20.7628,1,0,0.945,0
29.75,2.74175,2809.3,1.40056,-69.1328,0,6.44142,2809.3,-69.1328,-1101.85,-841.607,-508.61,-254.854,-81.0451,-21.4606,1,0,0.97,0
30,2.74065,2810.19,1.40056,-69.1328,0,6.45872,2810.19,-69.1328,-1092.56,-838.709,-513.28,-260.172,-83.4335,-22.1617,1,0,0.995,0
30.25,2.73974,2810.93,1.40056,-69.1328,0,6.47601,2810.93,-69.1328,-1083.81,-835.676,-517.568,-265.329,-85.8111,-22.8659,1,0,1,0
30.5,2.73899,2811.54,1.40056,-69.1328,0,6.4933,2811.54,-69.1328,-1075.52,-832.537,-521.501,-270.326,-88.1768,-23.5728,1,0,1,0
30.75,2.73839,2812.02,1.40056,-69.1328,0,6.5106,2812.02,-69.1328,-1067.71,-829.33,-525.1,-275.164,-90.5299,-24.2826,1,0,1,0
31,2.73788,2812.43,1.40056,-69.1328,0,6.52789,2812.43,-69.1328,-1060.34,-826.076,-528.386,-279.843,-92.8695,-24.995,1,0,1,0
31.25,2.73747,2812.77,1.40056,-69.1328,0,6.54518,2812.77,-69.1328,-1053.39,-822.802,-531.38,-284.365,-95.1949,-25.7101,1,0,1,0
31.5,2.73711,2813.06,1.40056,-69.1328,0,6.56248,2813.06,-69.1328,-1046.83,-819.525,-534.101,-288.733,-97.505,-26.4277,1,0,1,0
31.75,2.7368,2813.31,1.40056,-69.1328,0,6.57977,2813.31,-69.1328,-1040.65,-816.26,-536.569,-292.948,-99.7991,-27.1475,1,0,1,0
32,2.73652,2813.54,1.40056,-69.1328,0,6.59706,2813.54,-69.1328,-1034.81,-813.019,-538.8,-297.012,-102.076,-27.8697,1,0,1,0
32.25,2.73628,2813.73,1.40056,-69.1328,0,6.61436,2813.73,-69.1328,-1029.3,-809.815,-540.811,-300.929,-104.336,-28.5939,1,0,1,0
32.5,2.73606,2813.91,1.40056,-69.1328,0,6.63165,2813.91,-69.1328,-1024.09,-806.653,-542.618,-304.699,-106.577,-29.32,1,0,1,0
32.75,2.73586,2814.07,1.40056,-69.1328,0,6.64894,2814.07,-69.1328,-1019.16,-803.543,-544.234,-308.327,-108.799,-30.048,1,0,1,0
33,2.73567,2814.22,1.40056,-69.1328,0,6.66624,2814.22,-69.1328,-1014.5,-800.489,-545.674,-311.814,-111.002,-30.7776,1,0,1,0
33.25,2.7355,2814.36,1.40056,-69.1328,0,6.68353,2814.36,-69.1328,-1010.09,-797.496,-546.951,-315.163,-113.183,-31.5088,1,0,1,0
33.5,2.73535,2814.48,1.40056,-69.1328,0,6.70083,2814.48,-69.1328,-1005.91,-794.566,-548.076,-318.378,-115.343,-32.2413,1,0,1,0
33.75,2.7352,2814.6,1.40056,-69.1328,0,6.71812,2814.6,-69.1328,-1001.95,-791.703,-549.06,-321.461,-117.481,-32.9752,1,0,1,0
34,2.73506,2814.71,1.40056,-69.1328,0,6.73541,2814.71,-69.1328,-998.196,-788.908,-549.914,-324.416,-119.596,-33.7101,1,0,1,0
34.25,2.73493,2814.82,1.40056,-69.1328,0,6.75271,2814.82,-69.1328,-994.632,-786.183,-550.649,-327.246,-121.688,-34.446,1,0,1,0
34.5,2.73481,2814.91,1.40056,-69.1328,0,6.77,2814.91,-69.1328,-991.247,-783.528,-551.273,-329.953,-123.757,-35.1827,1,0,1,0
