    "time","Piston_r2","Inertia_w"
    0.1315,0.29933548, 105.58201
     0.132,0.29987216, 105.98545
    0.1325,0.29998967, 106.08001
     0.133,0.29968575, 105.96964
    0.1335,0.29896376, 105.71923
     0.134,0.29783111, 105.34737
    0.1345,0.29629866, 104.87941
     0.135,0.29438015,  104.3467
    0.1355,0.29209145, 103.78088
     0.136, 0.2894498, 103.21291
    0.1365,0.28647318, 102.67124
     0.137,0.28317974, 102.18092
    0.1375,0.27958745, 101.76327
     0.138,0.27571385, 101.43612
    0.1385,0.27157587, 101.21422
     0.139,0.26718982, 101.10974
    0.1395, 0.2625714, 101.13289
      0.14,0.25773578, 101.29237
    0.1405,0.25269771, 101.59584
     0.141,0.24747167, 102.05027
    0.1415,0.24207206, 102.66219
     0.142,0.23651334, 103.43789
    0.1425, 0.2308103, 104.38356
     0.143,0.22497817, 105.50527
    0.1435,0.21903292, 106.80896
     0.144,0.21299144, 108.30029
    0.1445,0.20687174,  109.9844
     0.145,0.20069426, 111.86509
    0.1455, 0.1944803, 113.94544
     0.146,0.18825153, 116.22652
    0.1465,0.18203179, 118.70659
     0.147,0.17584681, 121.37991
    0.1475,0.16972427, 124.23592
     0.148,0.16369352, 127.25808
    0.1485,0.15778527, 130.42309
     0.149,0.15203109, 133.70024
    0.1495, 0.1464629, 137.05148
      0.15,0.14111219, 140.43213
    0.1505,0.13600922, 143.79255
     0.151,0.13118216, 147.08059
    0.1515,0.12665627, 150.24469
     0.152,0.12245321, 153.23709
    0.1525,0.11859055,  156.0168
     0.153,0.11508162, 158.55172
    0.1535,0.11193557, 160.81875
     0.154,0.10915785, 162.80576
    0.1545,0.10675071, 164.50935
     0.155,0.10471393, 165.93262
    0.1555,0.10304563, 167.08291
     0.156,0.10174305, 167.96963
    0.1565,0.10080325, 168.60233
     0.157,0.10022366, 168.98913
    0.1575, 0.1000025, 169.13557
     0.158,0.10013898, 169.02137
    0.1585,0.10063339, 168.68531
     0.159,0.10148726, 168.11484
    0.1595,0.10270278, 167.30072
      0.16,0.10428296, 166.23939
    0.1605,0.10623103, 164.92868
     0.161,0.10854982,  163.3688
    0.1615,0.11124111, 161.56396
     0.162,0.11430502, 159.52397
    0.1625,0.11773931, 157.26533
     0.163,0.12153885, 154.81306
    0.1635,0.12569519, 152.19944
     0.164,0.13019629, 149.46301
    0.1645,0.13502655,  146.6503
     0.165,  0.140167, 143.80887
    0.1655,0.14559566, 140.98727
     0.166, 0.1512881, 138.23229
    0.1665,0.15721802, 135.58685
     0.167,0.16335788, 133.08863
    0.1675,0.16967946, 130.76942
     0.168,0.17615435, 128.65504
    0.1685,0.18275429,  126.7659
     0.169,0.18945151, 125.11783
    0.1695,0.19621883, 123.72352
      0.17,0.20302969, 122.59191
    0.1705,0.20985814,  121.7314
     0.171,0.21667868, 121.14958
    0.1715,0.22346606, 120.85398
     0.172,0.23019493, 120.85264
