"time","J1_0w","J2_0w","J3_0w","J4_0w"
0.1545,8.73797,1.53543,3.33067e-015,3.34537e-015
0.156,8.73797,1.53543,3.33067e-015,3.34537e-015
0.156,8.70846,1.55015,3.10862e-015,3.12327e-015
0.1575,8.70846,1.55015,3.10862e-015,3.12327e-015
0.1575,8.67908,1.56486,3.55271e-015,3.56727e-015
0.159,8.67908,1.56486,3.55271e-015,3.56727e-015
0.159,8.64987,1.57957,3.33067e-015,3.3451e-015
0.1605,8.64987,1.57957,3.33067e-015,3.3451e-015
0.1605,8.62087,1.59427,3.55271e-015,3.56702e-015
0.162,8.62087,1.59427,3.55271e-015,3.56702e-015
0.162,8.5921,1.60896,3.55271e-015,3.56689e-015
0.1635,8.5921,1.60896,3.55271e-015,3.56689e-015
0.1635,8.5636,1.62365,3.9968e-015,4.01086e-015
0.165,8.5636,1.62365,3.9968e-015,4.01086e-015
0.165,8.53539,1.63834,2.22045e-015,2.2344e-015
0.1665,8.53539,1.63834,2.22045e-015,2.2344e-015
0.1665,8.50751,1.65302,3.77476e-015,3.78859e-015
0.168,8.50751,1.65302,3.77476e-015,3.78859e-015
0.168,8.47998,1.66769,2.44249e-015,2.4562e-015
0.1695,8.47998,1.66769,2.44249e-015,2.4562e-015
0.1695,8.45283,1.68235,2.44249e-015,2.4561e-015
0.171,8.45283,1.68235,2.44249e-015,2.4561e-015
0.171,8.4261,1.69702,2.44249e-015,2.45601e-015
0.1725,8.4261,1.69702,2.44249e-015,2.45601e-015
0.1725,8.3998,1.71167,3.33067e-015,3.34412e-015
0.174,8.3998,1.71167,3.33067e-015,3.34412e-015
0.174,8.37398,1.72632,3.55271e-015,3.56614e-015
0.1755,8.37398,1.72632,3.55271e-015,3.56614e-015
0.1755,8.34864,1.74096,2.66454e-015,2.67794e-015
0.177,8.34864,1.74096,2.66454e-015,2.67794e-015
0.177,8.32382,1.7556,3.10862e-015,3.12201e-015
0.1785,8.32382,1.7556,3.10862e-015,3.12201e-015
0.1785,8.29954,1.77023,1.9984e-015,2.01179e-015
0.18,8.29954,1.77023,1.9984e-015,2.01179e-015
0.18,8.27581,1.78485,2.22045e-015,2.23384e-015
0.1815,8.27581,1.78485,2.22045e-015,2.23384e-015
0.1815,8.25267,1.79947,3.55271e-015,3.56606e-015
0.183,8.25267,1.79947,3.55271e-015,3.56606e-015
0.183,8.23012,1.81408,3.55271e-015,3.56595e-015
0.1845,8.23012,1.81408,3.55271e-015,3.56595e-015
