"time","Resistor_1.R","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.003700,1.000000,0.917755,-0.802820,-0.114942
0.003800,1.000000,0.929776,-0.783696,-0.146088
0.003900,1.000000,0.940881,-0.763799,-0.177090
0.004000,1.000000,0.951057,-0.743148,-0.207916
0.004100,1.000000,0.960294,-0.721764,-0.238538
0.004200,1.000000,0.968583,-0.699667,-0.268925
0.004300,1.000000,0.975917,-0.676880,-0.299045
0.004400,1.000000,0.982287,-0.653424,-0.328871
0.004500,1.000000,0.987688,-0.629324,-0.358373
0.004600,1.000000,0.992115,-0.604603,-0.387520
0.004700,1.000000,0.995562,-0.579285,-0.416285
0.004800,1.000000,0.998027,-0.553396,-0.444640
0.004900,1.000000,0.999507,-0.526960,-0.472555
0.005000,1.000000,1.000000,-0.500004,-0.500004
0.005100,1.000000,0.999507,-0.472555,-0.526960
0.005200,1.000000,0.998027,-0.444640,-0.553396
0.005300,1.000000,0.995562,-0.416285,-0.579285
0.005400,1.000000,0.992115,-0.387520,-0.604603
0.005500,1.000000,0.987688,-0.358373,-0.629324
0.005600,1.000000,0.982287,-0.328871,-0.653424
0.005700,1.000000,0.975917,-0.299045,-0.676880
0.005800,1.000000,0.968583,-0.268925,-0.699667
0.005900,1.000000,0.960294,-0.238538,-0.721764
0.006000,1.000000,0.951057,-0.207916,-0.743148
0.006100,1.000000,0.940881,-0.177090,-0.763799
0.006200,1.000000,0.929776,-0.146088,-0.783696
0.006300,1.000000,0.917755,-0.114942,-0.802820
0.006400,1.000000,0.904827,-0.083683,-0.821152
0.006500,1.000000,0.891007,-0.052341,-0.838673
0.006600,1.000000,0.876307,-0.020947,-0.855367
0.006700,1.000000,0.860742,0.010467,-0.871216
0.006800,1.000000,0.844328,0.041871,-0.886206
0.006900,1.000000,0.827081,0.073233,-0.900321
0.007000,1.000000,0.809017,0.104524,-0.913547
0.007100,1.000000,0.790155,0.135711,-0.925872
0.007200,1.000000,0.770513,0.166764,-0.937284
0.007300,1.000000,0.750111,0.197653,-0.947770
0.007400,1.000000,0.728969,0.228346,-0.957321
0.007500,1.000000,0.707107,0.258814,-0.965927
0.007600,1.000000,0.684547,0.289027,-0.973580
0.007700,1.000000,0.661312,0.318955,-0.980272
0.007800,1.000000,0.637424,0.348567,-0.985997
0.007900,1.000000,0.612907,0.377836,-0.990749
0.008000,1.000000,0.587785,0.406732,-0.994522
0.008100,1.000000,0.562083,0.435227,-0.997315
0.008200,1.000000,0.535827,0.463292,-0.999123
0.008300,1.000000,0.509041,0.490899,-0.999945
0.008400,1.000000,0.481754,0.518023,-0.999781
0.008500,1.000000,0.453990,0.544635,-0.998629
0.008600,1.000000,0.425779,0.570710,-0.996492
0.008700,1.000000,0.397148,0.596221,-0.993372
0.008800,1.000000,0.368125,0.621144,-0.989272
0.008900,1.000000,0.338738,0.645454,-0.984195
0.009000,1.000000,0.309017,0.669127,-0.978147
0.009100,1.000000,0.278991,0.692140,-0.971133
0.009200,1.000000,0.248690,0.714469,-0.963161
0.009300,1.000000,0.218143,0.736094,-0.954239
0.009400,1.000000,0.187381,0.756992,-0.944375
0.009500,1.000000,0.156434,0.777143,-0.933579
0.009600,1.000000,0.125333,0.796527,-0.921861
0.009700,1.000000,0.094108,0.815125,-0.909234
0.009800,1.000000,0.062791,0.832919,-0.895710
0.009900,1.000000,0.031411,0.849890,-0.881301
0.010000,1.000000,-0.000000,0.866023,-0.866023
0.010100,1.000000,-0.031411,0.881301,-0.849890
0.010200,1.000000,-0.062791,0.895710,-0.832919
0.010300,1.000000,-0.094108,0.909234,-0.815125
0.010400,1.000000,-0.125333,0.921861,-0.796527
0.010500,1.000000,-0.156434,0.933579,-0.777143
0.010600,1.000000,-0.187381,0.944375,-0.756992
0.010700,1.000000,-0.218143,0.954239,-0.736094
0.010800,1.000000,-0.248690,0.963161,-0.714469
0.010900,1.000000,-0.278991,0.971133,-0.692140
0.011000,1.000000,-0.309017,0.978147,-0.669127
0.011100,1.000000,-0.338738,0.984195,-0.645454
0.011200,1.000000,-0.368125,0.989272,-0.621144
0.011300,1.000000,-0.397148,0.993372,-0.596221
0.011400,1.000000,-0.425779,0.996492,-0.570710
0.011500,1.000000,-0.453990,0.998629,-0.544635
0.011600,1.000000,-0.481754,0.999781,-0.518023
0.011700,1.000000,-0.509041,0.999945,-0.490899
0.011800,1.000000,-0.535827,0.999123,-0.463292
0.011900,1.000000,-0.562083,0.997315,-0.435227
0.012000,1.000000,-0.587785,0.994522,-0.406732
0.012100,1.000000,-0.612907,0.990749,-0.377836
0.012200,1.000000,-0.637424,0.985997,-0.348567
0.012300,1.000000,-0.661312,0.980272,-0.318955
0.012400,1.000000,-0.684547,0.973580,-0.289027
0.012500,1.000000,-0.707107,0.965927,-0.258814
0.012600,1.000000,-0.728969,0.957321,-0.228346
0.012700,1.000000,-0.750111,0.947770,-0.197653
0.012800,1.000000,-0.770513,0.937284,-0.166764
0.012900,1.000000,-0.790155,0.925872,-0.135711
0.013000,1.000000,-0.809017,0.913547,-0.104524
0.013100,1.000000,-0.827081,0.900321,-0.073233
0.013200,1.000000,-0.844328,0.886206,-0.041871
0.013300,1.000000,-0.860742,0.871216,-0.010467
0.013400,1.000000,-0.876307,0.855367,0.020947
0.013500,1.000000,-0.891007,0.838673,0.052341
0.013600,1.000000,-0.904827,0.821152,0.083683
0.013700,1.000000,-0.917755,0.802820,0.114942
0.013800,1.000000,-0.929776,0.783696,0.146088
0.013900,1.000000,-0.940881,0.763799,0.177090
0.014000,1.000000,-0.951057,0.743148,0.207916
0.014100,1.000000,-0.960294,0.721764,0.238538
0.014200,1.000000,-0.968583,0.699667,0.268925
0.014300,1.000000,-0.975917,0.676880,0.299045
0.014400,1.000000,-0.982287,0.653424,0.328871
0.014500,1.000000,-0.987688,0.629324,0.358373
0.014600,1.000000,-0.992115,0.604603,0.387520
0.014700,1.000000,-0.995562,0.579285,0.416285
0.014800,1.000000,-0.998027,0.553396,0.444640
0.014900,1.000000,-0.999507,0.526960,0.472555
0.015000,1.000000,-1.000000,0.500004,0.500004
0.015100,1.000000,-0.999507,0.472555,0.526960
0.015200,1.000000,-0.998027,0.444640,0.553396
0.015300,1.000000,-0.995562,0.416285,0.579285
0.015400,1.000000,-0.992115,0.387520,0.604603
0.015500,1.000000,-0.987688,0.358373,0.629324
0.015600,1.000000,-0.982287,0.328871,0.653424
0.015700,1.000000,-0.975917,0.299045,0.676880
0.015800,1.000000,-0.968583,0.268925,0.699667
0.015900,1.000000,-0.960294,0.238538,0.721764
0.016000,1.000000,-0.951057,0.207916,0.743148
0.016100,1.000000,-0.940881,0.177090,0.763799
0.016200,1.000000,-0.929776,0.146088,0.783696
0.016300,1.000000,-0.917755,0.114942,0.802820
0.016400,1.000000,-0.904827,0.083683,0.821152
0.016500,1.000000,-0.891007,0.052341,0.838673
0.016600,1.000000,-0.876307,0.020947,0.855367
0.016700,1.000000,-0.860742,-0.010467,0.871216
0.016800,1.000000,-0.844328,-0.041871,0.886206
0.016900,1.000000,-0.827081,-0.073233,0.900321
0.017000,1.000000,-0.809017,-0.104524,0.913547
0.017100,1.000000,-0.790155,-0.135711,0.925872
0.017200,1.000000,-0.770513,-0.166764,0.937284
0.017300,1.000000,-0.750111,-0.197653,0.947770
0.017400,1.000000,-0.728969,-0.228346,0.957321
0.017500,1.000000,-0.707107,-0.258814,0.965927
0.017600,1.000000,-0.684547,-0.289027,0.973580
0.017700,1.000000,-0.661312,-0.318955,0.980272
0.017800,1.000000,-0.637424,-0.348567,0.985997
0.017900,1.000000,-0.612907,-0.377836,0.990749
0.018000,1.000000,-0.587785,-0.406732,0.994522
0.018100,1.000000,-0.562083,-0.435227,0.997315
0.018200,1.000000,-0.535827,-0.463292,0.999123
0.018300,1.000000,-0.509041,-0.490899,0.999945
0.018400,1.000000,-0.481754,-0.518023,0.999781
0.018500,1.000000,-0.453990,-0.544635,0.998629
0.018600,1.000000,-0.425779,-0.570710,0.996492
0.018700,1.000000,-0.397148,-0.596221,0.993372
0.018800,1.000000,-0.368125,-0.621144,0.989272
0.018900,1.000000,-0.338738,-0.645454,0.984195
0.019000,1.000000,-0.309017,-0.669127,0.978147
0.019100,1.000000,-0.278991,-0.692140,0.971133
0.019200,1.000000,-0.248690,-0.714469,0.963161
0.019300,1.000000,-0.218143,-0.736094,0.954239
0.019400,1.000000,-0.187381,-0.756992,0.944375
0.019500,1.000000,-0.156434,-0.777143,0.933579
0.019600,1.000000,-0.125333,-0.796527,0.921861
0.019700,1.000000,-0.094108,-0.815125,0.909234
0.019800,1.000000,-0.062791,-0.832919,0.895710
0.019900,1.000000,-0.031411,-0.849890,0.881301
0.020000,1.000000,-0.000000,-0.866023,0.866023
0.020100,1.000000,0.031411,-0.881301,0.849890
0.020200,1.000000,0.062791,-0.895710,0.832919
0.020300,1.000000,0.094108,-0.909234,0.815125
0.020400,1.000000,0.125333,-0.921861,0.796527
0.020500,1.000000,0.156434,-0.933579,0.777143
0.020600,1.000000,0.187381,-0.944375,0.756992
0.020700,1.000000,0.218143,-0.954239,0.736094
0.020800,1.000000,0.248690,-0.963161,0.714469
0.020900,1.000000,0.278991,-0.971133,0.692140
0.021000,1.000000,0.309017,-0.978147,0.669127
0.021100,1.000000,0.338738,-0.984195,0.645454
0.021200,1.000000,0.368125,-0.989272,0.621144
0.021300,1.000000,0.397148,-0.993372,0.596221
0.021400,1.000000,0.425779,-0.996492,0.570710
0.021500,1.000000,0.453990,-0.998629,0.544635
0.021600,1.000000,0.481754,-0.999781,0.518023
0.021700,1.000000,0.509041,-0.999945,0.490899
0.021800,1.000000,0.535827,-0.999123,0.463292
0.021900,1.000000,0.562083,-0.997315,0.435227
0.022000,1.000000,0.587785,-0.994522,0.406732
0.022100,1.000000,0.612907,-0.990749,0.377836
0.022200,1.000000,0.637424,-0.985997,0.348567
0.022300,1.000000,0.661312,-0.980272,0.318955
0.022400,1.000000,0.684547,-0.973580,0.289027
0.022500,1.000000,0.707107,-0.965927,0.258814
0.022600,1.000000,0.728969,-0.957321,0.228346
0.022700,1.000000,0.750111,-0.947770,0.197653
0.022800,1.000000,0.770513,-0.937284,0.166764
0.022900,1.000000,0.790155,-0.925872,0.135711
0.023000,1.000000,0.809017,-0.913547,0.104524
0.023100,1.000000,0.827081,-0.900321,0.073233
0.023200,1.000000,0.844328,-0.886206,0.041871
0.023300,1.000000,0.860742,-0.871216,0.010467
0.023400,1.000000,0.876307,-0.855367,-0.020947
0.023500,1.000000,0.891007,-0.838673,-0.052341
0.023600,1.000000,0.904827,-0.821152,-0.083683
0.023700,1.000000,0.917755,-0.802820,-0.114942
0.023800,1.000000,0.929776,-0.783696,-0.146088
0.023900,1.000000,0.940881,-0.763799,-0.177090
0.024000,1.000000,0.951057,-0.743148,-0.207916
0.024100,1.000000,0.960294,-0.721764,-0.238538
0.024200,1.000000,0.968583,-0.699667,-0.268925
0.024300,1.000000,0.975917,-0.676880,-0.299045
0.024400,1.000000,0.982287,-0.653424,-0.328871
0.024500,1.000000,0.987688,-0.629324,-0.358373
0.024600,1.000000,0.992115,-0.604603,-0.387520
0.024700,1.000000,0.995562,-0.579285,-0.416285
0.024800,1.000000,0.998027,-0.553396,-0.444640
0.024900,1.000000,0.999507,-0.526960,-0.472555
0.025000,1.000000,1.000000,-0.500004,-0.500004
0.025100,1.000000,0.999507,-0.472555,-0.526960
0.025200,1.000000,0.998027,-0.444640,-0.553396
0.025300,1.000000,0.995562,-0.416285,-0.579285
0.025400,1.000000,0.992115,-0.387520,-0.604603
0.025500,1.000000,0.987688,-0.358373,-0.629324
0.025600,1.000000,0.982287,-0.328871,-0.653424
0.025700,1.000000,0.975917,-0.299045,-0.676880
0.025800,1.000000,0.968583,-0.268925,-0.699667
0.025900,1.000000,0.960294,-0.238538,-0.721764
0.026000,1.000000,0.951057,-0.207916,-0.743148
0.026100,1.000000,0.940881,-0.177090,-0.763799
0.026200,1.000000,0.929776,-0.146088,-0.783696
0.026300,1.000000,0.917755,-0.114942,-0.802820
0.026400,1.000000,0.904827,-0.083683,-0.821152
0.026500,1.000000,0.891007,-0.052341,-0.838673
0.026600,1.000000,0.876307,-0.020947,-0.855367
0.026700,1.000000,0.860742,0.010467,-0.871216
0.026800,1.000000,0.844328,0.041871,-0.886206
0.026900,1.000000,0.827081,0.073233,-0.900321
0.027000,1.000000,0.809017,0.104524,-0.913547
0.027100,1.000000,0.790155,0.135711,-0.925872
0.027200,1.000000,0.770513,0.166764,-0.937284
0.027300,1.000000,0.750111,0.197653,-0.947770
0.027400,1.000000,0.728969,0.228346,-0.957321
0.027500,1.000000,0.707107,0.258814,-0.965927
0.027600,1.000000,0.684547,0.289027,-0.973580
0.027700,1.000000,0.661312,0.318955,-0.980272
0.027800,1.000000,0.637424,0.348567,-0.985997
0.027900,1.000000,0.612907,0.377836,-0.990749
0.028000,1.000000,0.587785,0.406732,-0.994522
0.028100,1.000000,0.562083,0.435227,-0.997315
0.028200,1.000000,0.535827,0.463292,-0.999123
0.028300,1.000000,0.509041,0.490899,-0.999945
0.028400,1.000000,0.481754,0.518023,-0.999781
0.028500,1.000000,0.453990,0.544635,-0.998629
0.028600,1.000000,0.425779,0.570710,-0.996492
0.028700,1.000000,0.397148,0.596221,-0.993372
0.028800,1.000000,0.368125,0.621144,-0.989272
0.028900,1.000000,0.338738,0.645454,-0.984195
0.029000,1.000000,0.309017,0.669127,-0.978147
0.029100,1.000000,0.278991,0.692140,-0.971133
0.029200,1.000000,0.248690,0.714469,-0.963161
0.029300,1.000000,0.218143,0.736094,-0.954239
0.029400,1.000000,0.187381,0.756992,-0.944375
0.029500,1.000000,0.156434,0.777143,-0.933579
0.029600,1.000000,0.125333,0.796527,-0.921861
0.029700,1.000000,0.094108,0.815125,-0.909234
0.029800,1.000000,0.062791,0.832919,-0.895710
0.029900,1.000000,0.031411,0.849890,-0.881301
0.030000,1.000000,0.000000,0.866023,-0.866023
0.030100,1.000000,-0.031411,0.881301,-0.849890
0.030200,1.000000,-0.062791,0.895710,-0.832919
0.030300,1.000000,-0.094108,0.909234,-0.815125
0.030400,1.000000,-0.125333,0.921861,-0.796527
0.030500,1.000000,-0.156434,0.933579,-0.777143
0.030600,1.000000,-0.187381,0.944375,-0.756992
0.030700,1.000000,-0.218143,0.954239,-0.736094
0.030800,1.000000,-0.248690,0.963161,-0.714469
0.030900,1.000000,-0.278991,0.971133,-0.692140
0.031000,1.000000,-0.309017,0.978147,-0.669127
0.031100,1.000000,-0.338738,0.984195,-0.645454
0.031200,1.000000,-0.368125,0.989272,-0.621144
0.031300,1.000000,-0.397148,0.993372,-0.596221
0.031400,1.000000,-0.425779,0.996492,-0.570710
0.031500,1.000000,-0.453990,0.998629,-0.544635
0.031600,1.000000,-0.481754,0.999781,-0.518023
0.031700,1.000000,-0.509041,0.999945,-0.490899
0.031800,1.000000,-0.535827,0.999123,-0.463292
0.031900,1.000000,-0.562083,0.997315,-0.435227
0.032000,1.000000,-0.587785,0.994522,-0.406732
0.032100,1.000000,-0.612907,0.990749,-0.377836
0.032200,1.000000,-0.637424,0.985997,-0.348567
0.032300,1.000000,-0.661312,0.980272,-0.318955
0.032400,1.000000,-0.684547,0.973580,-0.289027
0.032500,1.000000,-0.707107,0.965927,-0.258814
0.032600,1.000000,-0.728969,0.957321,-0.228346
0.032700,1.000000,-0.750111,0.947770,-0.197653
0.032800,1.000000,-0.770513,0.937284,-0.166764
0.032900,1.000000,-0.790155,0.925872,-0.135711
0.033000,1.000000,-0.809017,0.913547,-0.104524
0.033100,1.000000,-0.827081,0.900321,-0.073233
0.033200,1.000000,-0.844328,0.886206,-0.041871
0.033300,1.000000,-0.860742,0.871216,-0.010467
0.033400,1.000000,-0.876307,0.855367,0.020947
0.033500,1.000000,-0.891007,0.838673,0.052341
0.033600,1.000000,-0.904827,0.821152,0.083683
0.033700,1.000000,-0.917755,0.802820,0.114942
0.033800,1.000000,-0.929776,0.783696,0.146088
0.033900,1.000000,-0.940881,0.763799,0.177090
0.034000,1.000000,-0.951057,0.743148,0.207916
0.034100,1.000000,-0.960294,0.721764,0.238538
0.034200,1.000000,-0.968583,0.699667,0.268925
0.034300,1.000000,-0.975917,0.676880,0.299045
0.034400,1.000000,-0.982287,0.653424,0.328871
0.034500,1.000000,-0.987688,0.629324,0.358373
0.034600,1.000000,-0.992115,0.604603,0.387520
0.034700,1.000000,-0.995562,0.579285,0.416285
0.034800,1.000000,-0.998027,0.553396,0.444640
0.034900,1.000000,-0.999507,0.526960,0.472555
0.035000,1.000000,-1.000000,0.500004,0.500004
0.035100,1.000000,-0.999507,0.472555,0.526960
0.035200,1.000000,-0.998027,0.444640,0.553396
0.035300,1.000000,-0.995562,0.416285,0.579285
0.035400,1.000000,-0.992115,0.387520,0.604603
0.035500,1.000000,-0.987688,0.358373,0.629324
0.035600,1.000000,-0.982287,0.328871,0.653424
0.035700,1.000000,-0.975917,0.299045,0.676880
0.035800,1.000000,-0.968583,0.268925,0.699667
0.035900,1.000000,-0.960294,0.238538,0.721764
0.036000,1.000000,-0.951057,0.207916,0.743148
0.036100,1.000000,-0.940881,0.177090,0.763799
0.036200,1.000000,-0.929776,0.146088,0.783696
0.036300,1.000000,-0.917755,0.114942,0.802820
0.036400,1.000000,-0.904827,0.083683,0.821152
0.036500,1.000000,-0.891007,0.052341,0.838673
0.036600,1.000000,-0.876307,0.020947,0.855367
0.036700,1.000000,-0.860742,-0.010467,0.871216
0.036800,1.000000,-0.844328,-0.041871,0.886206
0.036900,1.000000,-0.827081,-0.073233,0.900321
0.037000,1.000000,-0.809017,-0.104524,0.913547
0.037100,1.000000,-0.790155,-0.135711,0.925872
0.037200,1.000000,-0.770513,-0.166764,0.937284
0.037300,1.000000,-0.750111,-0.197653,0.947770
0.037400,1.000000,-0.728969,-0.228346,0.957321
0.037500,1.000000,-0.707107,-0.258814,0.965927
0.037600,1.000000,-0.684547,-0.289027,0.973580
0.037700,1.000000,-0.661312,-0.318955,0.980272
0.037800,1.000000,-0.637424,-0.348567,0.985997
0.037900,1.000000,-0.612907,-0.377836,0.990749
0.038000,1.000000,-0.587785,-0.406732,0.994522
0.038100,1.000000,-0.562083,-0.435227,0.997315
0.038200,1.000000,-0.535827,-0.463292,0.999123
0.038300,1.000000,-0.509041,-0.490899,0.999945
0.038400,1.000000,-0.481754,-0.518023,0.999781
0.038500,1.000000,-0.453990,-0.544635,0.998629
0.038600,1.000000,-0.425779,-0.570710,0.996492
0.038700,1.000000,-0.397148,-0.596221,0.993372
0.038800,1.000000,-0.368125,-0.621144,0.989272
0.038900,1.000000,-0.338738,-0.645454,0.984195
0.039000,1.000000,-0.309017,-0.669127,0.978147
0.039100,1.000000,-0.278991,-0.692140,0.971133
0.039200,1.000000,-0.248690,-0.714469,0.963161
0.039300,1.000000,-0.218143,-0.736094,0.954239
0.039400,1.000000,-0.187381,-0.756992,0.944375
0.039500,1.000000,-0.156434,-0.777143,0.933579
0.039600,1.000000,-0.125333,-0.796527,0.921861
0.039700,1.000000,-0.094108,-0.815125,0.909234
0.039800,1.000000,-0.062791,-0.832919,0.895710
0.039900,1.000000,-0.031411,-0.849890,0.881301
